in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
7,9,64,2,7,3,512,305,0.2285979769814831,1.5428461462219733e-05,True,12.671242830201129,16.452087451992426,15.993937475128092
24,18,64,2,2,5,512,194,0.2607978198954769,1.5255077077057528e-05,True,13.032839446478151,13.552337778418766,13.723012501892654
25,16,64,8,3,6,256,208,0.2578154343702354,1.3307788305303694e-05,True,13.052222961092417,16.33396562636471,16.034089461056258
23,18,64,2,2,5,512,175,0.26561285484658,1.991566198959793e-05,True,13.08765892562884,18.89498452595416,20.234443053983824
26,12,64,8,2,6,256,271,0.2992825882835758,1.429289854746169e-05,True,13.652144898596845,15.563891416755283,15.439538439258085
23,18,64,2,2,5,512,182,0.2620310318232153,1.9364397960744605e-05,True,13.688723159290957,16.40552524539735,17.021278700935706
28,18,64,2,2,6,512,268,0.2626504100241812,1.8170086497535836e-05,True,13.736819052499794,14.14662693488381,13.554785727436036
19,16,64,2,2,4,512,173,0.2724585693403422,1.7332276674068404e-05,True,14.017141125367903,16.347833465030423,16.69151917257714
25,16,64,8,3,6,256,205,0.2565017943243906,1.1100382702531814e-05,True,14.090701756004108,15.600467387172792,15.202240348326368
27,14,64,2,3,6,256,349,0.2327061780986297,1.3508859848887146e-05,True,14.523910430089831,13.451228161764744,12.491554339853826
19,14,64,2,3,3,512,136,0.2679064587998812,1.8998931950529155e-05,True,15.336007287643849,19.790331300079682,21.2498548834294
24,18,64,2,2,5,512,197,0.260850006207329,1.9366400747435288e-05,True,15.724023677184675,15.32509693181208,16.012598912399948
28,23,128,4,3,7,512,197,0.2468043482643118,1.865265731182058e-05,True,15.885643586962304,18.579533738398926,19.777759278681227
22,12,64,2,5,5,512,298,0.2931121728159726,1.9789003602882258e-05,False,16.00090413422164,22.314420916452157,25.300942223300698
17,16,64,2,2,4,512,176,0.2746589407048035,1.6866289595509073e-05,True,16.052269788203436,18.122684342791782,18.945973498266312
13,9,64,2,7,3,512,291,0.2648248680459495,1.5768912315004008e-05,True,16.21712424398399,16.66668114555386,15.714762448810738
30,23,128,2,3,7,512,228,0.2394736481255175,2.5989229408206903e-05,False,16.526396656116876,109.13668128823089,345.26768826305204
30,22,128,4,3,7,512,255,0.2237448676402929,2.638931707704113e-05,True,16.657569660367592,60.00771618376629,93.1715395575821
