in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
7,9,64,2,7,3,512,305,0.2285979769814831,1.5428461462219733e-05,True,12.671242830201129,16.102136419328914,17.145067911378444
24,18,64,2,2,5,512,194,0.2607978198954769,1.5255077077057528e-05,True,13.032839446478151,13.032081329794797,12.7253300317276
25,16,64,8,3,6,256,208,0.2578154343702354,1.3307788305303694e-05,True,13.052222961092417,13.052284868013203,13.016744789215648
23,18,64,2,2,5,512,175,0.26561285484658,1.991566198959793e-05,True,13.08765892562884,13.087684528053225,13.010250632834921
26,12,64,8,2,6,256,271,0.2992825882835758,1.429289854746169e-05,True,13.652144898596845,13.655256746981713,14.460938515849945
23,18,64,2,2,5,512,182,0.2620310318232153,1.9364397960744605e-05,True,13.688723159290957,13.696138099054094,12.910781727018186
28,18,64,2,2,6,512,268,0.2626504100241812,1.8170086497535836e-05,True,13.736819052499794,11.19829724150856,11.364677278176185
19,16,64,2,2,4,512,173,0.2724585693403422,1.7332276674068404e-05,True,14.017141125367903,14.017635041607162,14.711926890118024
25,16,64,8,3,6,256,205,0.2565017943243906,1.1100382702531814e-05,True,14.090701756004108,14.08985001802148,14.01774555878693
27,14,64,2,3,6,256,349,0.2327061780986297,1.3508859848887146e-05,True,14.523910430089831,70.81474643672615,136.56111142149354
19,14,64,2,3,3,512,136,0.2679064587998812,1.8998931950529155e-05,True,15.336007287643849,15.331535623375963,16.786099508749057
24,18,64,2,2,5,512,197,0.260850006207329,1.9366400747435288e-05,True,15.724023677184675,15.720463757823758,16.664496773390997
28,23,128,4,3,7,512,197,0.2468043482643118,1.865265731182058e-05,True,15.885643586962304,15.877185837614455,17.267084653688737
22,12,64,2,5,5,512,298,0.2931121728159726,1.9789003602882258e-05,False,16.00090413422164,133.77979241518833,4835.434786429579
17,16,64,2,2,4,512,176,0.2746589407048035,1.6866289595509073e-05,True,16.052269788203436,16.054018020915663,17.049185495380083
13,9,64,2,7,3,512,291,0.2648248680459495,1.5768912315004008e-05,True,16.21712424398399,16.224342061936646,14.97871672640467
30,23,128,2,3,7,512,228,0.2394736481255175,2.5989229408206903e-05,False,16.526396656116876,16.52899261641587,18.04229446088644
30,22,128,4,3,7,512,255,0.2237448676402929,2.638931707704113e-05,True,16.657569660367592,16.668976798325453,18.068141034909946
20,20,128,4,3,7,512,216,0.2421345415509657,1.9508037324773708e-05,False,16.900164440012297,16.91605821852004,18.38830116154248
29,21,64,2,3,5,512,256,0.2992352268091919,1.641719639819908e-05,False,16.91034821312387,20.525954370689632,23.42346362433463
28,19,64,4,7,4,512,286,0.0504942568909012,3.377044764465258e-05,True,10.420058367223684,30.62949607312969,37.973324908696284
24,21,64,4,7,4,512,341,0.0733697260218266,4.1290307060409664e-05,True,11.992274950625577,38.93311821232495,50.72841907395998
26,28,32,4,6,6,512,97,0.0756071974988951,2.7304540149720875e-05,False,12.620354059449904,52.24964304325952,77.17615043529197
28,22,64,4,7,4,512,281,0.0225066469599886,3.939906303126876e-05,True,13.694262486613509,14.934186806298676,15.046403967895184
22,30,32,4,6,6,512,54,0.0767812707899024,3.1152884314851444e-05,False,13.926894534032847,22.84823957808247,27.14397871470822
26,23,64,4,6,4,512,312,0.0344241613536833,4.2843930785278974e-05,True,14.381088333828396,25.982342900001342,31.38558560391233
30,19,64,4,7,4,512,273,0.0235889509462333,3.76690030409088e-05,True,14.531665627333748,20.735752604582558,24.297262748545066
27,26,64,4,8,6,512,91,0.0819113341227846,3.15836611824859e-05,False,14.73367948363293,13.862631926764795,15.001299934028225
30,29,64,4,7,6,512,103,0.0806339116759814,3.2162632764986385e-05,False,14.79524760612014,12.283305423548088,12.211672728531896
30,28,64,4,7,5,512,133,0.0819265294779699,3.185560872218325e-05,False,15.03611079439712,14.596544835938813,14.822673363484274
29,25,64,4,7,5,512,312,0.0521261800746614,3.843953951944244e-05,False,15.447380772111943,14.050745684637489,14.689139298923148
30,29,64,4,7,7,512,112,0.0977945969209452,3.2917786818960466e-05,False,15.652662174901048,14.943421333297783,13.993099505887985
28,21,64,4,7,4,512,292,0.0335047170906693,4.223424012358275e-05,True,16.2937186697906,15.957206562686668,16.146458089104552
24,16,64,4,7,5,1024,348,0.027363169175879,3.590848266682254e-05,True,16.372088717299814,13.9642079430956,13.62544324043013
15,21,64,4,8,3,512,298,0.001498524123319,2.9775634511986053e-05,True,16.447540379640873,20.09015884386972,23.195444209681938
28,27,64,8,8,6,512,74,0.0682054752938975,3.4773044498070234e-05,False,16.616163085734044,11.01376689763341,11.593569436964039
29,21,64,4,7,4,512,257,0.030895525269203,4.696415607270205e-05,True,16.807109443884038,19.53457703162797,17.13120889585734
18,25,64,4,7,4,512,198,0.0116167324815198,3.0380765841991027e-05,True,17.84124635107783,20.620060288053065,24.094846083031907
30,18,64,4,8,4,512,272,0.0602391309529513,4.986151566110451e-05,True,17.927533454071234,16.119190411888457,14.733666325501583
7,26,128,4,8,4,512,347,0.0298924683058735,4.30713478138035e-05,True,18.077444973330135,44.643065266202456,61.009935914851965
16,26,32,8,7,4,1024,25,0.0019628713660598,1.1167191121345314e-05,True,9.791918914624157,11.287491304915411,12.123813208869056
16,29,32,8,5,2,1024,48,0.0009220969991334,2.376568039489521e-05,False,9.990415513928024,10.113193262839971,10.573368353553652
12,30,32,8,5,2,1024,10,0.0142841703422985,1.0137754558325512e-05,False,10.564068782473733,12.256821735063548,11.288326748950295
