in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
19,26,32,4,2,2,256,58,0.04081652697787101,3.921007815449385e-05,False,45.436132163124654
7,13,128,8,3,4,1024,257,0.1900295835853239,3.182226911290793e-05,True,36.090880900553266
21,24,64,8,2,6,1024,34,0.19318584908035083,1.8113291878644363e-05,True,28.37834605173751
22,17,64,2,8,5,1024,102,0.01869101159682781,3.567495540538163e-05,False,42.40276039154093
9,20,128,8,2,4,512,195,0.05864197797745965,2.9662282656463212e-05,False,80.91682207037289
17,16,32,4,3,2,256,317,0.21945976144194626,1.0172832763490155e-05,True,60.62086255835483
8,8,128,8,8,8,512,89,0.28856931231926064,3.5526502866322034e-05,False,19.80737051806854
22,29,64,8,7,4,1024,177,0.20059787658002073,3.6229845648296785e-05,True,36.09167348813022
27,17,64,8,6,5,256,299,0.2875810056839096,3.960353834375794e-05,False,64.65691495507244
19,18,128,4,8,5,1024,128,0.21774855491212236,1.5859890315136267e-05,True,65.82586381223719
12,7,128,2,5,8,512,24,0.29662530927216985,4.982427087111979e-05,False,103.41585693073124
14,23,64,8,5,8,512,15,0.12021469875513206,2.063421784176448e-05,True,65.787419832802
26,7,128,8,4,7,512,92,0.13574269174687884,2.180373545712652e-05,False,95.75618557412832
14,23,64,8,6,7,1024,174,0.2535781600121494,1.6420912330866313e-05,True,49.39389513031967
23,11,32,8,7,7,512,65,0.09663659736864766,2.5301718643455397e-05,True,41.917714979129364
30,30,128,2,4,6,1024,137,0.16899880305220694,1.5416291045937e-05,False,45.90541717376595
16,22,64,8,6,6,512,47,0.2572704239001389,1.1781733505464548e-05,True,54.24050299203008
10,12,64,8,4,8,512,222,0.2493872031089439,2.5130273969257357e-05,False,20.99815236800567
10,11,128,4,4,8,512,233,0.2559683743529289,2.6011079546761633e-05,False,99.63687224832847
7,10,32,2,5,8,512,362,0.2687207255308775,4.642013703089635e-05,False,77.63450278814182
11,14,128,8,7,7,512,229,0.23104283986530158,2.7873048209150196e-05,False,98.6246068497715
13,9,64,8,3,6,512,151,0.1729375315615077,1.847780029221698e-05,False,67.05696289913037
9,26,64,8,2,8,1024,94,0.23345946293513148,2.3932241390635552e-05,False,27.3850108160616
9,14,64,8,3,8,256,89,0.2831583960240676,2.342871861604008e-05,False,20.503458304620782
7,14,64,8,4,7,256,209,0.2838876657529772,3.221014329609777e-05,False,27.874242792353726
