in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE
8,23,18,3,7,0.09063397645872404,8,False,64,0.0011647170339192173,0.04371684789657593,7.134710997343063,7.456847280263901
17,21,32,2,6,0.08041288898905588,6,True,32,0.0028193480177887194,0.057810649275779724,9.576985985040665,9.547257423400879
16,11,12,2,4,0.045399211328452725,8,True,128,0.002926105499761481,0.04277785122394562,6.854861229658127,7.131379097700119
26,16,9,2,6,0.29750156031763986,10,True,256,0.003854448485031642,0.04116293042898178,6.4811475574970245,6.9434210658073425
28,7,22,3,5,0.014361644377045478,9,False,32,0.0020664299176247542,0.0535568967461586,8.746381103992462,9.063956886529922
30,22,30,2,2,0.24324000740478216,7,False,256,0.002173581083751617,0.04124334827065468,6.386275589466095,6.796536594629288
15,25,16,2,7,0.08851718145903162,6,False,64,0.003882733829877017,0.043063726276159286,7.037515938282013,6.921730935573578
15,29,8,1,3,0.0646487344669647,10,True,32,0.0014669172287839554,0.04887368530035019,8.599776774644852,8.509193360805511
4,27,8,2,2,0.19198239826047034,10,False,256,0.003489612842766695,0.04153314605355263,6.430243700742722,6.932847201824188
12,27,30,3,7,0.20517997554288747,6,False,64,0.0014803900871006724,0.047207146883010864,8.203531801700592,8.701299130916595
23,1,24,1,8,0.29311158502972706,9,True,256,0.004971283094310382,0.041853684931993484,6.5701305866241455,6.889470666646957
31,17,28,2,5,0.29575935629490196,7,True,256,0.003987847487776958,0.04153395816683769,6.601961702108383,7.190016657114029
25,16,27,2,2,0.24620795962011846,7,True,256,0.00224925792454578,0.04133306071162224,6.447382271289825,6.9286152720451355
23,18,14,2,4,0.24325008259263847,7,False,256,0.00474420255983398,0.04118100553750992,6.400801241397858,6.852027773857117
22,15,13,2,4,0.16657798751191133,9,False,128,0.004956624440847799,0.04374786093831062,7.295825332403183,7.631739974021912
20,11,12,1,4,0.2486175268994316,8,True,256,0.0043488084722801655,0.042637769132852554,6.982902437448502,7.627967000007629
27,19,15,2,6,0.13944060975111902,10,False,256,0.004484748248245469,0.041441407054662704,6.496486812829971,7.01584666967392
19,12,10,2,6,0.2686127071487406,7,True,256,0.0036316514862441618,0.040963247418403625,6.440726667642593,6.9197118282318115
19,11,10,3,6,0.27393111124530023,9,True,128,0.003425890708664387,0.04119260609149933,6.3763536512851715,6.815320253372192
12,5,19,1,8,0.12900118537208957,7,True,256,0.0032959236205535496,0.04200377315282822,6.586615741252899,7.005670666694641
26,14,10,2,6,0.21007564792547365,8,True,256,0.003957380526029393,0.04144684597849846,6.522680819034576,7.063493877649307
23,13,14,2,5,0.26919750842907947,7,True,256,0.004431368102710935,0.042174529284238815,6.620649993419647,6.979057937860489
