in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE
12,15,28,3,4,0.035224647783539884,6,True,128,0.004629125253611893,0.027673592790961266,3.3992204815149307,3.4071002155542374
21,20,13,2,3,0.13825585940754948,8,False,32,0.002693058779408235,0.027556942775845528,3.3218733966350555,3.339798003435135
30,16,29,1,2,0.10114658519085057,7,True,128,0.0026272279355511177,0.029283104464411736,3.7886913865804672,3.777477517724037
15,25,26,3,6,0.28988191020848436,7,False,64,0.003340158940733398,0.028820060193538666,3.6076169461011887,3.584768995642662
20,30,16,3,2,0.17258593018761298,10,True,64,0.0016872999463048348,0.027360083535313606,3.2387983053922653,3.304707258939743
23,23,30,3,4,0.01807754572714999,7,True,256,0.004590226478309135,0.029237573966383934,3.6427579820156097,3.6251407116651535
7,2,9,2,7,0.14632205611422058,8,False,256,0.002866543110342196,0.027581974864006042,3.329160064458847,3.33220511674881
19,8,23,1,2,0.21499407228624584,7,True,32,0.0023105516981888298,0.040624361485242844,5.647989362478256,5.511731281876564
16,28,21,3,4,0.27355703929683906,9,True,64,0.004527426101110147,0.027553584426641464,3.315514698624611,3.394205868244171
12,23,29,1,3,0.08469366117542376,10,False,64,0.0018047115552126934,0.02869720384478569,3.607603907585144,3.6010250449180603
3,31,16,3,8,0.20638803368328534,10,True,64,0.0010847670043444549,0.0266595259308815,3.110804967582226,3.148852288722992
1,31,16,3,8,0.20871320891845094,10,True,64,0.00111577074210772,0.02660367451608181,3.1067663803696632,3.1395893543958664
1,31,16,3,8,0.22379699792050334,9,True,64,0.0010370013609483073,0.027169518172740936,3.3128540962934494,3.3805228769779205
2,27,17,3,8,0.22530196987405007,10,True,64,0.0011125590071036516,0.02702980861067772,3.161570429801941,3.1992703676223755
6,10,11,3,6,0.1856479031288059,9,True,64,0.0016226137818193243,0.027798937633633614,3.403954952955246,3.400038555264473
5,20,19,2,7,0.24229381824175528,10,True,64,0.0037338013180255774,0.02889791503548622,3.639853745698929,3.620479628443718
9,31,14,3,7,0.18976459702573423,9,True,32,0.002004239059956636,0.02869965136051178,3.5792212933301926,3.5821467638015747
3,20,8,3,8,0.2614773997596243,10,True,128,0.0014135905728725566,0.026678476482629776,3.1935591250658035,3.248777613043785
10,27,24,2,6,0.11190531524973835,8,False,256,0.0021838780730090842,0.026853319257497787,3.1359169632196426,3.164049983024597
26,15,19,1,7,0.20408640164151057,9,True,64,0.0038919616394619584,0.02709122933447361,3.1938299536705017,3.2482221722602844
1,24,13,3,8,0.16286315618743819,10,True,64,0.0013103665345359822,0.027349576354026794,3.26625257730484,3.330249711871147
4,20,8,3,8,0.2601497492347986,10,True,128,0.0014222528044052797,0.02660725638270378,3.1682629138231277,3.2192975282669067
4,28,11,3,8,0.249989853140724,10,True,128,0.0010650143937331674,0.028295524418354034,3.635362535715103,3.7271596491336823
8,11,32,3,7,0.2948915581597715,9,True,128,0.00143382761897918,0.026683565229177475,3.1389910727739334,3.1899701803922653
4,18,10,3,5,0.23948533052266754,10,True,128,0.001958123499401561,0.026717672124505043,3.1321540474891663,3.1580310314893723
6,6,21,3,8,0.19757130156575986,9,True,128,0.002378970890767153,0.026882043108344078,3.134613111615181,3.1759578734636307
11,26,14,3,6,0.2715124058115258,10,False,32,0.0014706778750308834,0.0293364729732275,3.682520240545273,3.6727916449308395
1,29,17,3,7,0.23533885208446356,8,True,256,0.0010179738099345957,0.02685973420739174,3.1225429847836494,3.1704258173704147
4,12,12,1,5,0.12780729692092904,10,True,64,0.0031623382845476214,0.027727272361516953,3.3267326653003693,3.349921852350235
13,21,8,2,8,0.16736636163108562,6,True,128,0.004906358419277064,0.02681424468755722,3.1329333782196045,3.180820494890213
8,17,15,3,7,0.07664224244749984,9,True,128,0.001311614495377484,0.026717543601989746,3.135877102613449,3.1720049679279327
3,21,8,3,8,0.25991290137374873,10,True,128,0.0016107805915943965,0.026607464998960495,3.1615905463695526,3.211917355656624
3,13,10,3,8,0.2626976633673311,10,True,128,0.0017169863357398426,0.026866106316447258,3.160743787884712,3.1883805990219116
6,22,12,3,8,0.2064770213967088,10,True,128,0.00199997813399798,0.026929540559649467,3.1755372881889343,3.201296180486679
3,18,19,3,7,0.28981485112133476,10,False,128,0.0012532027342150728,0.026675764471292496,3.183223307132721,3.2319869846105576
14,25,9,3,8,0.2558741396899191,6,True,32,0.0015543328941303883,0.02784894034266472,3.3531930297613144,3.3740583807229996
1,29,26,3,6,0.22468863289496643,9,True,64,0.0018440297421309332,0.02703646756708622,3.213625028729439,3.253072500228882
31,25,13,2,7,0.2815792764827346,10,True,128,0.0025376175275704945,0.02681569755077362,3.152996301651001,3.1768951565027237
17,14,17,1,8,0.17586559119863507,8,False,256,0.0012225196102111004,0.026862436905503273,3.153596818447113,3.197416290640831
7,31,8,3,3,0.2116479184197941,10,True,64,0.002835375221617911,0.026805173605680466,3.1291596591472626,3.1685348600149155
23,3,23,3,6,0.056527364770477706,9,True,128,0.002218836068631191,0.0276812631636858,3.4210380166769028,3.4224551171064377
3,18,19,3,7,0.286040333796291,10,False,128,0.0013186575384782372,0.026683928444981575,3.1824585050344467,3.230930119752884
5,16,21,3,8,0.2915653955818391,10,False,128,0.001591725891316842,0.026821419596672058,3.2221373170614243,3.280278667807579
2,19,18,3,7,0.2981306552707046,10,False,128,0.0011735507678607392,0.02723555453121662,3.241199254989624,3.3121980726718903
3,22,15,3,8,0.2651817972067291,10,False,64,0.0012144957476135899,0.02704000100493431,3.2065939158201218,3.2505489885807037
