in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE
22,17,10,1,2,0.11866757828532609,10,True,32,0.0021988682138895915,0.030131086707115173,4.027803987264633,3.968360647559166
18,2,12,3,2,0.198080925439437,7,True,128,0.0013119144169658318,0.03055097721517086,3.9768341928720474,3.9290577173233032
12,14,16,2,3,0.1808747484439763,6,False,256,0.003555594268185755,0.026734206825494766,3.25937420129776,3.3184021711349487
20,3,8,1,3,0.23643580295181876,9,False,256,0.0033381921460953323,0.026739032939076424,3.283455967903137,3.3432122319936752
15,4,15,2,8,0.07335602471379296,6,False,64,0.0041792550214273735,0.02701362408697605,3.3136218786239624,3.3736977726221085
27,17,27,1,2,0.04864092173450935,9,False,128,0.0040898718202435035,0.028129175305366516,3.4885913133621216,3.483467176556587
6,10,31,2,8,0.28432599037603856,10,True,128,0.001361248191203261,0.027127837762236595,3.182162716984749,3.2138485461473465
31,14,14,2,5,0.2080295412770157,9,True,256,0.0025132814237223693,0.026111608371138573,3.089146688580513,3.1284749507904053
22,8,29,3,5,0.07920041934057977,6,False,64,0.004000620270904377,0.02655782178044319,3.1737949699163437,3.2092615962028503
16,1,14,2,7,0.0043539016787517365,9,False,256,0.003364309374640726,0.02683417685329914,3.2470691949129105,3.2480765134096146
28,27,23,2,5,0.2643793068865393,8,True,32,0.0024184869255622883,0.027663277462124825,3.289082646369934,3.3109162002801895
30,10,20,3,5,0.13343214592858343,7,True,64,0.004885328426245998,0.027009421959519386,3.219185397028923,3.23718823492527
24,21,20,3,6,0.09525214612666928,8,False,64,0.002266479179350776,0.026174115017056465,3.090021386742592,3.128373622894287
31,24,20,3,6,0.19407431352324958,8,True,256,0.002475346888834209,0.026439599692821503,3.1739305704832077,3.225334733724594
25,21,24,3,6,0.15083602933662052,8,False,64,0.0018605632734413236,0.02713100239634514,3.364645317196846,3.4327268600463867
1,30,18,2,4,0.2341199338691927,9,True,256,0.002793214334501344,0.026678085327148438,3.210781142115593,3.2689861953258514
24,20,22,3,6,0.10222490505214052,7,True,64,0.0017961071338122078,0.028577931225299835,3.638112172484398,3.6171726882457733
31,15,17,2,7,0.026303858079656822,10,False,32,0.0028738305768409066,0.02973877638578415,3.5289503633975983,3.5189568996429443
26,22,12,3,4,0.16702860054863708,9,True,64,0.002261439594127045,0.027429524809122086,3.2645907253026962,3.276170790195465
9,25,26,1,7,0.22464597097222455,8,False,256,0.0017525814816630372,0.026661191135644913,3.135208413004875,3.1655870378017426
28,13,20,3,4,0.09881758949478643,8,True,256,0.002765418248669515,0.027037611231207848,3.2481245696544647,3.254210948944092
31,24,18,3,6,0.1992581770425711,8,True,256,0.002470936036090129,0.027530714869499207,3.451675921678543,3.5310719162225723
29,29,20,3,6,0.1484032193542518,7,True,256,0.002047837604848971,0.027102621272206306,3.232688829302788,3.282710537314415
23,18,13,3,6,0.20614549376773114,8,True,256,0.0026593949186412844,0.02850242890417576,3.689979761838913,3.789016604423523
26,25,22,3,7,0.2644319822162027,9,True,256,0.0031042542694316895,0.026570986956357956,3.1552445143461227,3.180137276649475
31,19,25,2,5,0.1663231365787865,8,True,64,0.0016622383164092834,0.026272200047969818,3.1128520146012306,3.146088868379593
20,11,26,2,5,0.16492253354329933,7,False,64,0.0010573509169148774,0.02698357403278351,3.182864934206009,3.203536942601204
28,19,28,2,5,0.12529280167562662,9,True,64,0.0014120432262523597,0.02616243250668049,3.176000714302063,3.190245106816292
28,6,32,2,4,0.05651123398649756,10,False,64,0.0014533679472796027,0.02707619033753872,3.218485787510872,3.233524411916733
21,16,10,1,3,0.13346352440407344,10,True,32,0.002077515104852752,0.03433908522129059,3.8855940103530884,3.9217889308929443
24,22,28,2,4,0.1167379212612681,9,True,64,0.002142723675871257,0.034170374274253845,4.823485389351845,4.7035787254571915
29,19,30,2,5,0.10385623264131458,8,True,64,0.0016025197582969159,0.026606587693095207,3.1633980572223663,3.204994276165962
26,13,25,2,5,0.12665096946472007,9,True,64,0.0011440116633457626,0.026913901790976524,3.2801110297441483,3.280368447303772
31,18,28,2,5,0.17774145094486082,8,True,128,0.0016022786532056306,0.026923490688204765,3.291383385658264,3.3561941236257553
29,16,24,2,5,0.15113664950915975,9,True,64,0.0019795712887026523,0.03190871328115463,4.261981695890427,4.198913648724556
18,20,10,2,6,0.08976518595171776,9,True,64,0.0012461405758868063,0.029982971027493477,3.941020742058754,3.897177428007126
26,13,15,1,4,0.21394764735648708,7,False,64,0.0023247413597651447,0.02710326388478279,3.2241173088550568,3.232058510184288
13,22,27,2,3,0.18507358721927408,10,True,128,0.0015613588028056539,0.026724383234977722,3.2329924404621124,3.280230239033699
19,19,30,2,5,0.11829682803002656,8,False,32,0.0031675582318034475,0.0353020578622818,4.454154893755913,4.340844228863716
22,15,8,2,7,0.057328646196124426,9,False,64,0.0036420134036754944,0.033581942319869995,4.667565226554871,4.567840322852135
27,11,16,1,2,0.07952716116981212,6,True,128,0.0018371022934970784,0.026637237519025803,3.168884664773941,3.209763765335083
31,24,19,3,6,0.18631468930362904,8,True,256,0.0024386727106354214,0.026432078331708908,3.122265264391899,3.163790702819824
29,28,18,3,6,0.24781939679431492,8,True,256,0.0013603024578774689,0.027067746967077255,3.328024595975876,3.3955812454223633
30,23,22,3,5,0.16635248226606544,8,True,256,0.0026045567902430347,0.026725919917225838,3.183399885892868,3.2379034906625748
