in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE
4,11,15,2,6,0.07640619554313023,6,False,128,0.003769533355583693,0.026579860597848892,3.0907677486538887,3.120422177016735
5,21,29,3,8,0.11639563314342455,9,True,64,0.004939189078628846,0.02679356373846531,3.1363319605588913,3.1682606786489487
19,31,17,1,6,0.025328568298764707,7,False,256,0.0038506522989285486,0.026473604142665863,3.119366243481636,3.157326579093933
6,15,12,2,3,0.05709627103249992,9,False,128,0.0018692115091944305,0.026814229786396027,3.1419649720191956,3.1620796769857407
10,21,9,1,4,0.2355710087706137,6,True,32,0.00207185140990857,0.028692932799458504,3.6018218845129013,3.586086630821228
4,15,9,1,8,0.24323939157012292,8,True,256,0.0012619289754231683,0.026710184291005135,3.1456999480724335,3.165625035762787
3,7,16,2,8,0.1651182489092148,6,False,64,0.004588737713023145,0.03809967637062073,5.0673604011535645,5.05998469889164
18,7,22,3,3,0.12237912009282438,8,True,64,0.004810730868006984,0.027561547234654427,3.395508974790573,3.471825271844864
2,7,8,3,8,0.14179231163687492,8,True,32,0.0019129370490000345,0.02725733071565628,3.2654888927936554,3.303588181734085
19,8,31,2,4,0.14251923842298203,7,True,32,0.0028557445232473408,0.02978643961250782,3.8250118494033813,3.7916064262390137
28,29,23,1,6,0.007565014871998704,10,False,256,0.003705828360149786,0.028456801548600197,3.53107787668705,3.5106025636196136
25,30,17,2,6,0.04852224000859445,7,False,128,0.0035800053967102547,0.02674667350947857,3.137725219130516,3.169351816177368
13,1,16,1,6,0.05604777188119759,7,False,128,0.0038467223299047115,0.02695322036743164,3.304341435432434,3.332628309726715
22,22,19,1,5,0.010921012119845891,6,False,256,0.0030816267273165608,0.02764079160988331,3.390096500515938,3.3892445266246796
13,12,25,2,7,0.08474979771039368,7,False,256,0.004280618226545922,0.026689905673265457,3.159308433532715,3.2046817243099213
11,25,13,1,5,0.19675295992486597,6,False,128,0.0030406660679408747,0.02685984969139099,3.15474234521389,3.1723037362098694
31,2,14,2,7,0.09003123555185823,7,False,256,0.0041948030177949075,0.026852693408727646,3.1767185777425766,3.196629509329796
21,11,26,1,2,0.029470293742475603,6,False,128,0.0026389780640997578,0.026914317160844803,3.18465419113636,3.20221446454525
16,18,20,2,7,0.07953186998817394,7,False,256,0.003353264043312228,0.027101945132017136,3.2205432653427124,3.228490799665451
8,25,19,3,6,0.2830964648299513,9,False,128,0.004170416516988324,0.026988940313458443,3.1885523349046707,3.2014653086662292
25,18,11,2,4,0.03065450505070741,6,False,256,0.0025103189416254114,0.02758881263434887,3.358842059969902,3.3620521426200867
15,12,25,2,7,0.10540433666397592,7,False,256,0.004267870512622652,0.02665748819708824,3.157063201069832,3.2030701637268066
16,11,26,2,7,0.11058136208426705,7,False,256,0.0039778026578574585,0.02790156751871109,3.4077759832143784,3.3978983759880066
1,4,23,2,6,0.17330242248412395,8,False,256,0.004520334085724909,0.026625972241163254,3.149056062102318,3.1932462006807327
1,4,22,2,5,0.16785474620154145,8,False,256,0.004546550576717478,0.026846658438444138,3.196314349770546,3.249388560652733
7,9,18,1,6,0.1954482045952759,8,False,128,0.0033769661834941117,0.026800593361258507,3.145962953567505,3.1720690429210663
1,4,15,2,5,0.19318063610442093,10,False,64,0.0034568123123262014,0.02703806757926941,3.185378760099411,3.206529840826988
9,4,22,2,6,0.06854921324545457,8,False,32,0.004538216160419658,0.030271247029304504,3.895767033100128,3.8693714886903763
4,28,17,3,5,0.03604938151316502,9,False,256,0.003934741281522335,0.02686131000518799,3.1425096094608307,3.1704269349575043
