in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE
11,30,9,1,2,0.1372039217740746,8,True,128,0.0034189236529850184,0.026928331702947617,3.2188575714826584,3.2816242426633835
6,22,10,2,3,0.24657331953463102,6,False,256,0.0018887190954214002,0.027451166883111,3.464742749929428,3.5265259444713593
11,26,20,3,6,0.15003219458170056,9,False,256,0.004287466524092156,0.026508139446377754,3.101709298789501,3.129670023918152
17,7,30,1,8,0.24862402411808165,7,False,64,0.004852676887323978,0.028991874307394028,3.743269667029381,3.70572991669178
21,2,21,2,3,0.007573559932963513,9,True,32,0.0012566363278022304,0.031381767243146896,4.2236171662807465,4.146302863955498
6,24,13,3,3,0.11640888504240687,8,False,256,0.001559145902463695,0.026874152943491936,3.2251961529254913,3.2710105180740356
17,22,26,3,5,0.10636242650382391,7,False,64,0.003226559247912441,0.02690165489912033,3.1524192541837692,3.20533886551857
7,31,29,1,3,0.1227290630582351,6,True,64,0.0029016060965179552,0.027034031227231026,3.2083041965961456,3.2313622534275055
30,30,15,2,5,0.14874921623421847,10,True,128,0.003763322301063189,0.02766130119562149,3.4610342234373093,3.5315558314323425
24,24,30,2,6,0.16158905729270429,8,False,64,0.0023842960295745196,0.027734991163015366,3.44855859875679,3.4561485052108765
1,14,21,3,7,0.008681038643175404,10,False,256,0.004545059455727474,0.027341144159436226,3.2696038484573364,3.284154087305069
10,18,15,3,4,0.07402254128969592,9,False,256,0.004162687660723432,0.026877600699663162,3.214721754193306,3.2724473625421524
2,26,15,3,6,0.1892406053820603,9,False,256,0.0013758725062293115,0.02659883163869381,3.1137455254793167,3.1384259462356567
1,14,18,3,6,0.19785195758350047,9,False,256,0.0024416914795364654,0.02668118290603161,3.140214830636978,3.1835604459047318
12,26,24,3,7,0.2934138710444761,9,False,32,0.0010866626257516926,0.028470875695347786,3.539203852415085,3.524712473154068
5,18,18,3,6,0.19339790984828592,10,False,256,0.004112764030841113,0.026616772636771202,3.1479530036449432,3.193403407931328
15,9,24,3,8,0.06292942495506204,9,False,256,0.002728780340256918,0.026611311361193657,3.1310956925153732,3.156571462750435
2,27,12,3,7,0.19444808103645783,7,False,256,0.0018787755212493758,0.026697847992181778,3.1731147319078445,3.214677795767784
9,20,18,3,5,0.23449762667468416,10,True,32,0.0035482486185887474,0.027339644730091095,3.306921198964119,3.321404755115509
14,28,15,1,6,0.16912024291052807,9,False,128,0.003978491845810837,0.026879189535975456,3.161565214395523,3.2211128622293472
21,14,23,3,4,0.07209932571570858,8,False,256,0.0049445069077363275,0.027047395706176758,3.2047055661678314,3.228021413087845
15,7,27,3,8,0.07642163911866202,9,False,256,0.0028186523184234973,0.027333730831742287,3.266807273030281,3.2851580530405045
21,10,23,3,8,0.04489693403578069,9,False,256,0.0023981315356719295,0.029677214100956917,3.8666371256113052,3.826608881354332
13,1,19,3,7,0.09884586435828686,8,False,256,0.0019425620899098323,0.030764399096369743,4.214925691485405,4.156111553311348
4,10,27,3,7,0.21210744858585984,10,False,256,0.002671601343718993,0.026640526950359344,3.117142803966999,3.1508713960647583
18,10,21,3,5,0.17516563825568487,9,False,256,0.0045436447716968725,0.026748917996883392,3.1332068145275116,3.1807783991098404
8,5,32,3,8,0.03944753642260555,8,True,256,0.003310153877670649,0.02717173658311367,3.2194845378398895,3.241143375635147
26,24,16,3,6,0.14248392711462862,9,False,128,0.0015428560724720126,0.02708490565419197,3.2418880611658096,3.243924304842949
19,17,25,2,4,0.2871009077898843,10,False,32,0.0021610218826141193,0.027236009016633034,3.2505057752132416,3.26445996761322
12,29,9,1,2,0.1358343260484532,8,True,128,0.0030925670107812015,0.02681564912199974,3.1765196472406387,3.233182802796364
15,12,13,1,7,0.22050957388258308,9,False,256,0.0036258792727690606,0.027356229722499847,3.392457589507103,3.463934361934662
4,19,18,3,6,0.19271574502959812,10,False,256,0.0042170208852828,0.02663075365126133,3.1533043831586838,3.200797736644745
4,22,17,3,6,0.17753563489780974,10,False,256,0.004326221983966563,0.027386102825403214,3.3928941935300827,3.4694865345954895
10,26,22,3,5,0.2665478928292596,10,False,256,0.003942741974312967,0.026609504595398903,3.15154567360878,3.203141689300537
10,26,22,3,5,0.26732055176163017,9,False,256,0.003857145818482929,0.02740986831486225,3.2590843737125397,3.277573361992836
12,21,20,3,4,0.2584858614552743,10,False,256,0.004627093869886123,0.026450013741850853,3.1206611543893814,3.1619206070899963
8,21,11,2,4,0.26118647428690656,10,False,64,0.004609851032014916,0.0268262829631567,3.1446024775505066,3.1790655106306076
11,25,20,3,5,0.2386802709815059,10,True,256,0.00469669438450327,0.026930322870612144,3.1900733709335327,3.2517094165086746
6,23,20,1,4,0.27367232020776655,10,False,32,0.004419707307762727,0.027107996866106987,3.2918840646743774,3.3122029155492783
13,31,14,2,2,0.22296383156505295,6,False,64,0.004794154182185291,0.027860768139362335,3.357486054301262,3.364259749650955
8,29,22,3,3,0.24626093036469193,7,True,256,0.003913948795714142,0.027940867468714714,3.5086385905742645,3.595714643597603
16,27,25,3,5,0.12976099652071646,9,False,256,0.00498622463191881,0.026762785390019417,3.195064887404442,3.2453425228595734
11,4,23,3,4,0.09603839711196477,9,False,256,0.0013761834055824973,0.026493920013308525,3.108876198530197,3.142823651432991
