in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE
5,6,13,3,6,0.19708842798455162,7,False,64,0.00483314693787733,0.0262613408267498,3.1512338668107986,3.162684291601181
3,8,19,2,8,0.16557344359654255,9,False,64,0.0022188868505313647,0.02662142738699913,3.216147795319557,3.265860676765442
23,28,31,1,4,0.1597742976613703,6,True,128,0.002323107447410394,0.026816682890057564,3.165286034345627,3.187749907374382
7,27,26,3,5,0.1366151159661532,7,False,256,0.004663005376130551,0.029565641656517982,3.783555328845978,3.75203937292099
14,31,22,1,2,0.09480258391562131,8,True,32,0.0036230440246386307,0.025490732863545418,3.214554116129875,3.2035410404205322
21,15,14,3,4,0.0005610068971571236,9,True,32,0.0043288422999896315,0.027275878936052322,3.2982945442199707,3.321465849876404
23,21,26,2,5,0.08183728855885487,9,False,64,0.0029129299452162424,0.03370976820588112,4.902791231870651,4.81141023337841
19,22,16,2,6,0.17374037700880993,7,False,256,0.0013722179271158132,0.027307216078042984,3.294755145907402,3.29313762485981
22,28,14,1,4,0.09577989555926116,7,False,256,0.003394046352691665,0.026651833206415176,3.1492989510297775,3.1781747937202454
15,5,17,2,4,0.09530354479603177,8,True,256,0.0029800981626104655,0.027031106874346733,3.335532173514366,3.403189033269882
31,16,8,1,2,0.27172969679896014,10,True,32,0.003881661068136503,0.02697676420211792,3.2276280224323273,3.2843902707099915
10,1,8,3,2,0.23667720034862644,8,True,64,0.004936549503207181,0.032176531851291656,4.4693998992443085,4.627096280455589
2,10,23,3,7,0.21173217266244287,6,False,32,0.003917027337033176,0.027760419994592667,3.3467698842287064,3.3716414123773575
12,11,11,1,6,0.04020557953986327,7,True,128,0.004117924543326942,0.026750652119517326,3.181983157992363,3.192422166466713
7,31,22,3,3,0.29748202561202075,8,False,64,0.003411489880211106,0.027626829221844673,3.3195432275533676,3.324000909924507
16,21,20,1,7,0.2240424788890995,6,True,32,0.00493072374419864,0.02709078975021839,3.358699381351471,3.399127721786499
6,2,28,1,6,0.12934592669924103,7,True,32,0.0035515679632541117,0.033576078712940216,3.5421282052993774,3.5542473196983337
28,13,12,3,3,0.05807003103243236,10,False,64,0.0023709104594362386,0.03044622205197811,3.9683181792497635,3.9332840591669083
12,6,22,1,8,0.19939310332670956,8,False,128,0.0010522854577432632,0.026640895754098892,3.1718261539936066,3.2198213040828705
10,19,18,3,7,0.12274358657745159,9,True,32,0.00447880299696594,0.028233615681529045,3.263038769364357,3.313325345516205
1,25,32,3,3,0.01587796931672053,8,True,64,0.001837462294031321,0.028033064678311348,3.4663785248994827,3.460981696844101
4,7,19,2,8,0.18720369427031947,9,False,64,0.0024843761979343485,0.02704646997153759,3.451208770275116,3.5184532403945923
5,9,15,2,8,0.24919539735231538,9,False,64,0.0017742133718935032,0.02772432565689087,3.4792255610227585,3.4551169723272324
1,4,23,2,7,0.15597015359754374,10,False,64,0.002825982918184234,0.026701897382736206,3.143070265650749,3.1893905252218246
9,17,25,2,6,0.11634188687066843,9,False,64,0.00197301551894977,0.026357006281614304,3.1581811606884003,3.207963705062866
9,12,25,2,6,0.06811786208088282,8,False,64,0.0036992606343745947,0.02629789523780346,3.1478922814130783,3.1711120158433914
13,12,29,1,5,0.06800689031949858,8,False,32,0.003690257578666366,0.03786241263151169,5.247141793370247,5.099419504404068
17,14,24,3,5,0.039120631475818006,7,False,128,0.0031940516498898896,0.032508764415979385,4.474275186657906,4.390237107872963
8,3,28,1,6,0.04353900812719076,8,True,64,0.0041796376335744255,0.03368673473596573,4.865137115120888,4.757991433143616
14,8,21,2,5,0.09433785344542733,7,False,64,0.004656071098304786,0.03121376223862171,4.1268277913331985,4.06532846391201
4,24,20,2,7,0.1437974830606881,8,False,32,0.003845056629835473,0.030003773048520088,3.526585176587105,3.516475483775139
10,17,26,2,6,0.11189131574084145,9,False,64,0.0019490906888970931,0.02753477357327938,3.3117469400167465,3.3200766891241074
9,18,25,2,6,0.10987180723715867,8,False,64,0.0027242476248109005,0.02728530950844288,3.3781882375478745,3.373562917113304
11,31,29,2,6,0.17448863466548192,6,False,64,0.003211255585428931,0.031066814437508583,3.924330323934555,3.948773071169853
7,9,25,2,5,0.07490083215096231,9,False,64,0.0025937619702941965,0.026418009772896767,3.2195497304201126,3.2384969294071198
18,15,27,2,5,0.14343787751235218,8,False,128,0.004332166313603008,0.02661273628473282,3.1301915645599365,3.181055933237076
8,27,30,3,7,0.05524858875175488,7,True,256,0.0020909397866156567,0.031519707292318344,4.209817945957184,4.138389229774475
14,20,24,1,4,0.1145266688079011,9,False,64,0.0016470245584244373,0.02699926868081093,3.1810857355594635,3.2135628163814545
5,23,12,2,6,0.019409460562599283,9,False,64,0.0031221497487241303,0.026797043159604073,3.1792469322681427,3.220948204398155
3,29,17,3,5,0.08616321346569895,7,True,256,0.0046867079407511775,0.026628969237208366,3.1059570610523224,3.153245523571968
20,12,21,2,2,0.16265482283489108,10,False,32,0.0014698162624706913,0.027694085612893105,3.647991269826889,3.6671169102191925
7,9,25,2,6,0.07313201698961337,9,False,64,0.0025574651047409764,0.02629872038960457,3.113699145615101,3.1484168022871017
8,5,26,2,6,0.10526502009954555,10,False,64,0.002168207037363271,0.029604481533169746,3.967677801847458,3.912699967622757
6,7,23,2,7,0.07805475615427779,9,False,64,0.0035824947668426617,0.03724018484354019,4.581959545612335,4.4595301151275635
9,10,25,2,6,0.12981541501041688,8,False,64,0.0026534027630167357,0.02705804631114006,3.325275331735611,3.3991675823926926
24,11,10,1,6,0.05710605768663753,9,False,64,0.002335002496975259,0.02686847746372223,3.162255510687828,3.2055221498012543
12,14,27,2,7,0.09503937274078414,8,True,256,0.002970091085048011,0.026711249724030495,3.1617235392332077,3.2207973301410675
15,16,24,3,5,0.02943466652728087,6,False,32,0.004007696887097317,0.04490964859724045,5.818712338805199,5.762923136353493
3,1,22,1,4,0.07117842145110337,9,True,64,0.003409927535431634,0.02715683914721012,3.3244214951992035,3.39394249022007
6,6,20,2,6,0.17923957384293945,7,False,128,0.0020653243870516597,0.026550665497779846,3.1278643757104874,3.170819953083992
