in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
11,20,128,8,6,2,1024,269,0.28243403956879287,1.0013451551364973e-05,False,21.167643388912534
23,16,64,4,6,5,256,282,0.15818723621179567,3.177467467567799e-05,False,78.82572355573937
21,21,64,8,4,4,1024,86,0.2724848353643922,4.2257117443289915e-05,True,92.93353822814667
19,19,64,2,8,8,512,326,0.17228081904602585,3.6701063848781845e-05,False,102.70088489118876
7,17,32,2,7,5,1024,157,0.16047243934876873,1.0421466149336058e-05,False,45.7383321548992
29,22,128,2,6,8,256,272,0.23511463246424485,2.6996331792789624e-05,False,24.089697534605257
25,13,128,4,6,5,512,99,0.24831098175919547,3.142096876211222e-05,False,135.0895494610526
28,13,64,8,3,8,512,252,0.11539285539845483,3.6118808836000254e-05,True,53.662793889470464
25,18,64,8,3,5,512,87,0.17608233450891664,4.679887331498663e-05,True,42.21706755057678
23,24,128,8,2,3,256,112,0.15145778069343238,3.5937312214794394e-05,True,57.58600676565339
12,28,32,8,5,2,1024,16,0.008752487486722915,1.017084832603691e-05,False,15.644315653078007
12,30,32,8,5,2,1024,10,0.014284170342298551,1.0137754558325512e-05,False,10.564068782473733
14,30,32,8,4,2,1024,11,0.017959803041491584,1.5167726583477533e-05,False,13.314499761243964
15,30,32,8,4,3,1024,19,0.0002919368393513276,1.5336889410040097e-05,False,12.985579459793254
16,27,32,8,4,3,1024,47,0.06403857631182802,1.5750374436426306e-05,False,41.22253104489089
8,7,32,4,5,3,1024,145,0.06423241988595846,1.4341409043605733e-05,False,90.23263542279672
17,25,32,8,2,4,1024,210,0.05073045722453312,1.9699716187630762e-05,False,41.338885818042094
11,30,32,8,3,7,1024,45,0.10455037638193396,1.324302867565302e-05,False,44.576059559125824
14,27,32,2,5,4,1024,60,0.03340808966909215,1.8700341782631182e-05,True,40.15757573649402
9,24,32,4,8,3,256,182,0.09501757131675462,1.2585456322792704e-05,False,49.916095664780016
14,30,32,8,4,6,1024,362,0.2096650794097132,2.2644441568598494e-05,False,61.75020961482159
14,30,32,8,4,2,1024,7,0.0042877967393588345,1.667045288857003e-05,False,10.957570336453054
17,28,32,8,5,2,1024,7,0.0013905083098668253,1.807593409666827e-05,False,24.633815205875322
13,26,32,8,3,2,1024,46,0.038561743474384326,1.2402650944169792e-05,False,15.59716175402787
10,29,32,8,4,3,1024,69,0.08045130402709673,2.3287017127703175e-05,False,33.77625404732185
19,24,32,8,5,2,1024,124,0.029950919656737286,1.653888250775702e-05,False,21.295590870658597
16,26,32,8,7,4,1024,25,0.001962871366059827,1.1167191121345314e-05,True,9.791918914624157
17,22,32,8,7,6,1024,39,0.13240753238683803,1.1319214993051439e-05,True,34.783927125573385
12,26,32,2,7,4,512,68,0.05602556923117259,1.1544526895800993e-05,True,25.959246173748884
10,28,128,4,7,2,256,32,0.08387199693040892,1.3393160804042017e-05,True,43.14115115896522
20,26,128,8,6,6,1024,128,0.022324109791638222,1.1415296181537061e-05,True,21.389912298280123
15,30,32,8,5,3,1024,25,0.005743146009662609,1.0034502177187235e-05,False,22.583482691312625
16,28,32,8,4,4,1024,9,0.043729308001247025,1.6866100513464337e-05,True,14.25092435170491
12,29,32,8,4,3,1024,66,0.0048440270182550735,2.0287695644415546e-05,False,12.380176449434877
12,28,64,8,6,2,1024,75,0.023960758970711076,2.145543716199729e-05,False,14.270991486141583
10,22,32,8,8,4,1024,93,0.07366496258184964,2.5859679466328587e-05,True,13.176824092025512
13,25,32,2,3,3,256,59,0.019149489473351697,2.017138524774492e-05,False,25.569884867830243
7,20,64,4,5,2,1024,226,0.29092164584447766,2.5803646957195654e-05,False,24.158960196336444
18,7,32,8,6,3,512,35,0.044732497596271494,1.413949592560362e-05,True,82.88456252332254
11,29,128,8,4,5,1024,103,0.1913922776662264,2.90991754819953e-05,False,21.976376154553552
15,23,64,2,7,4,512,161,0.1336490789357039,1.0884031148997926e-05,False,28.03222358166649
15,29,32,8,4,3,1024,26,0.0024568967113377405,1.7370801799733654e-05,False,11.968106559145701
13,29,32,8,4,2,1024,28,0.013858737455878824,1.7984462051689884e-05,False,17.16059037969764
21,27,32,8,3,3,1024,82,0.031124880303913055,1.2186229714493929e-05,False,18.663524063743054
16,29,32,8,5,2,1024,48,0.0009220969991334369,2.3765680394895214e-05,False,9.990415513928024
16,10,32,8,5,2,1024,54,0.26764786665223006,2.4152782236718296e-05,False,84.54035481956524
18,15,32,8,5,2,256,7,0.015015477085989687,2.936205697428817e-05,True,36.69383180652859
22,27,128,8,6,2,1024,298,0.05749631036820229,1.688857644823989e-05,False,23.770607275416218
19,29,32,4,6,5,1024,34,0.0005384885603881987,1.4373905313352795e-05,False,18.108147854181773
15,25,64,8,5,3,512,28,0.03374240116184221,3.404838594483257e-05,False,28.938976694383285
27,30,32,8,3,2,1024,19,0.020079299729833272,2.1670652639205974e-05,True,15.711443809086473
14,29,32,8,4,4,1024,54,0.009795929694858076,2.076737752067701e-05,False,20.04053904775954
11,27,32,8,4,3,1024,78,0.0063513471159107274,1.907652359679009e-05,False,23.878552562964263
13,30,32,8,4,3,1024,44,0.04725309282623964,1.0692811247384763e-05,False,14.09759818228617
