in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
8,29,64,4,4,3,1024,265,0.09254552316862381,3.081438486504727e-05,False,45.16267714842673
21,23,128,2,2,8,1024,178,0.19346669669218255,2.790168442374529e-05,True,34.15673310684365
30,11,64,8,7,7,256,104,0.12686699988934116,2.5161693135747087e-05,True,117.45889725725083
28,9,128,4,7,8,1024,109,0.03673307515598873,2.8359089839342448e-05,False,56.4477936067863
20,27,128,2,6,8,256,64,0.011793013964191622,1.4670183705738754e-05,True,24.631027746063662
28,8,32,8,8,8,512,106,0.22168509074473186,1.6415649245400295e-05,False,29.061424304011997
15,14,32,2,8,3,1024,260,0.029489110658687655,2.3291457212066738e-05,False,54.46460819936432
22,23,32,2,6,4,512,178,0.2658406227119753,1.2316191892992551e-05,True,29.525167283220316
29,8,64,2,8,5,256,290,0.18438759942853508,2.5759066871440038e-05,False,44.545013416026855
22,8,64,4,5,8,512,136,0.16394423609633146,1.6274138527279105e-05,True,108.82408129673382
15,30,128,2,3,6,256,19,0.017722333376728044,4.78616318441037e-05,True,17.5016471497246
14,30,128,2,3,6,256,14,0.009176173919386639,4.0770495686808424e-05,True,23.61264983856309
13,30,128,2,2,6,256,8,0.0677782782013567,4.924157956984665e-05,True,17.617454315426293
10,24,128,2,2,6,256,9,0.07039836451154056,4.96122670932475e-05,True,41.978064392870266
15,18,128,8,3,5,256,55,0.07195031729977096,4.83584043197164e-05,True,22.515145928114617
17,26,128,2,3,6,256,363,0.12517094449191124,3.802757983917657e-05,True,27.588438249028773
12,19,128,2,4,2,256,52,0.057363530889153545,3.602401859528834e-05,True,21.37013930077003
7,20,128,2,2,7,256,37,0.0025204463759245076,4.538163486523279e-05,True,43.619359533008286
18,27,128,8,4,4,256,84,0.10269397630267982,3.574601677557567e-05,True,25.841184259425276
11,30,32,4,3,7,512,145,0.04664113291621114,3.3267759835331615e-05,True,27.36765969678887
12,15,128,2,2,6,256,210,0.0844757931574201,4.184377869597994e-05,True,94.7781027876733
12,20,128,2,4,2,256,41,0.05517557640498849,4.001825420308785e-05,True,22.442141091081577
14,25,128,2,5,4,256,10,0.05486514796417153,4.856526360684547e-05,True,14.95046329259935
16,28,128,2,5,4,256,14,0.03487284530429466,4.467498088906201e-05,True,33.71356407057145
9,25,128,2,3,5,256,82,0.0633790550367195,4.9705278436180246e-05,True,22.76961665661739
25,22,128,2,6,5,256,9,0.10572147280837374,3.249698317865961e-05,True,22.776085461172528
14,28,128,2,5,3,256,37,0.028894335567449234,4.313298772813865e-05,False,25.569836309448142
19,30,128,2,2,4,256,151,0.07750762848234644,3.81459640066622e-05,True,59.576736897446615
13,26,64,8,4,6,1024,85,0.02052981631229888,4.436267688995696e-05,True,58.990488205884326
9,28,32,4,4,7,512,224,0.04724668381323313,3.351713057639039e-05,False,25.228329715402953
17,25,64,4,3,5,1024,33,0.09244396446971864,3.07442511545612e-05,True,17.7325067021978
17,25,64,4,3,5,1024,31,0.08555275214432091,3.0169583741438005e-05,True,33.33268173661843
17,22,64,4,2,5,1024,70,0.0010772853139994348,4.5911567838194625e-05,True,23.71584326664998
15,29,64,4,3,4,1024,28,0.09907438589658277,4.01609226569961e-05,True,17.390661013566994
14,29,64,4,2,4,1024,119,0.04434216923428429,4.028127831872538e-05,True,52.100062922521616
15,29,64,4,7,3,1024,62,0.1230014101037658,4.779594311782375e-05,True,30.13847338737486
19,27,128,2,4,4,1024,25,0.0634791791384113,4.2682967166010354e-05,True,24.60989602238301
11,30,128,8,2,6,256,96,0.018575595751606305,3.752737010309115e-05,False,52.37152459012889
13,28,64,2,6,3,1024,63,0.1076480855710267,4.883951007143427e-05,True,25.876529154590873
20,29,32,4,3,7,256,8,0.03536048528657456,4.4511607050149583e-05,False,15.67334988486696
23,11,32,4,3,7,512,333,0.028541040902986214,2.0314631816955087e-05,False,48.74990039798519
20,29,32,4,5,7,256,7,0.043894215028500966,4.6117644893174255e-05,False,40.447134947331385
25,27,32,4,3,6,256,45,0.05945421284242974,4.235135493952418e-05,False,71.65363928960092
16,30,32,4,7,7,256,27,0.01680166932484347,4.9672845931341484e-05,False,25.890401407568227
21,26,32,2,2,8,256,22,0.07484786382194306,3.940189991407317e-05,False,41.752768132495596
16,23,128,4,3,6,256,72,0.033504522423256966,4.400798164172243e-05,False,17.960363490640585
13,29,32,2,3,4,256,48,0.14534652670840537,4.5795605639835217e-05,True,53.26949282409919
15,16,128,8,4,3,256,120,0.01297403861848358,3.566644263763649e-05,True,26.338053083655254
