in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
11,10,128,16,6,8,1024,256,0.3,0.0013227008146570864,False,19.43061686697776
27,16,64,32,4,3,1024,256,0.3,0.0020126732992945843,True,20.063407481200258
31,29,256,16,4,3,512,256,0.1,0.0016727043105021415,False,19.453408425557868
27,24,512,32,8,6,1024,256,0.3,0.004172563143315842,False,19.218509579254643
21,18,512,8,7,6,1024,256,0.2,0.001063276450186139,False,19.582162213755566
18,26,128,16,5,7,256,32,0.3,0.002497769603259362,True,18.843707636868015
14,14,512,32,5,4,256,32,0.2,0.001528876728180411,True,18.786238465268227
22,25,64,8,3,5,512,256,0.2,0.0016302431746810448,False,85.80808785570207
9,23,512,4,7,3,256,512,0.1,0.004644485683832078,True,19.933680869488434
30,20,64,4,6,5,512,512,0.3,0.00175695386107776,True,20.06213143338903
14,7,256,32,5,4,256,32,0.2,0.0029566521619667913,True,18.920629413508472
16,13,128,16,5,8,256,32,0.2,0.002485926740835062,True,19.39600691226739
17,30,128,16,4,7,256,32,0.3,0.003222917886140112,True,20.744369482049173
13,14,128,32,5,7,256,64,0.2,0.0023942595843003613,True,19.41795315775036
7,21,512,16,3,4,256,32,0.1,0.0012806064515298778,True,18.940259373574563
19,27,128,32,6,7,256,32,0.3,0.003165373545358838,True,18.9988879366186
22,12,512,8,4,4,256,64,0.2,0.0020756009143759854,True,19.014817111317647
17,18,256,4,7,6,256,32,0.2,0.0013819231583734057,True,20.454592339172013
13,8,128,32,5,5,256,32,0.3,0.0010129723450580442,True,90.02672584389062
25,16,512,16,6,7,512,32,0.1,0.0036693686485905702,True,19.50808500755405
20,27,512,16,8,4,256,64,0.3,0.00263369841748306,True,19.033805554771767
14,8,256,32,5,4,256,32,0.2,0.0028673486298077745,True,18.99716865819017
15,11,256,32,5,5,256,32,0.2,0.001983366179960753,True,19.498254433172907
