text,sen,WC
according x people asked held bitcoin point life im yet see convincing study report bitcoin adoption country whole world,-1,19
goingparabolic trillion scam others company asset bitcoin smoke air nothing,-1,10
kucoincom btc greatest scam money burning th century never worth btc ponzi,-1,12
always leaf little amount anything like buy coin minimum amount purchase annoying,-1,12
typical rbitcoin user he used grandma birthday money buy btc he cry he,-1,13
bitcoin btc back earth nice easy landing bullish hard work vanished hard work thats call bear market,-1,17
stackthefuture agreed diet bitcoin totally unrelated another toxic part bitcoin community,-1,11
hhh balance stuck cryptocurrency btc dawn,-1,6
impossible graft new branch speculative currency onto dying tree capitalism bitcoin,-1,11
important understand happening bitcoin right manipulated momentum ignition algorithm btc example here definition source trading bitcoin right dangerous bc manipulated,-1,20
btc guru talking giant head shoulder weekly tf scenario happenswe see k even lower bitcoin,-1,15
cant pay bitcoin,-1,3
bitcoin mempool clear first time since november bubble sign current situation may indicate upcoming market crash,-1,16
bitcoin lost footing gold silver ready ath chartwise,-1,8
elon musk bitcoin bet cost tesla million bitcoin btc,-1,9
start selling btc bitcoin bear market stay least year untill good luck,-1,12
look scam surrounding cryptocurrency limit risk trade crypto bitcoin crypto fraud,-1,11
lot uneducated day trader,-1,4
tmobile breach includes name phone number physical address also sensitive data like ssn driver license information imei number info sold bitcoin tmus,-1,22
damn miss bull market bitcoin crypto,-1,6
forget bitcoin altcoins moving analyze volumeprice movin,-1,7
bitcoin btc price fall sharply brief rebound k level new alltime high btc balance specific bitcoin address category revealed intotheblock terra dumped bitcoin market early may,-1,26
another month crashing,-1,3
ive never transfer money country credit card payment instant fee major institution may find compelling feature bitcoin major institution wont dumping million billion asset class chart like btcs save couple day dollar transaction theyve living fine decade current paradigm btc solves problem ive never heard major concern best use case crypto drug dealer criminal thats perfectly reasonable use case im sure btc find floor around know thanks market participant hmm,-1,70
one michael saylor pomp joe lubein claytonhinman buying movie ticket btc eth,-1,12
never job anything useful good world try impress family friend money withdrawal get invited party everyone hate lazy knucklehead,-1,19
im talking network network always go underground agree there way stop im talking monetary value btc currently exchanging fiat btc btc still used exchange tangible product like example stated whats stopping u gov officially outright declare btc illegal currency imposing hefty finesjail term business big small caught transacting btc still think business would risk accepting slowly surely fade away monetary value exchange physical good btc another example walk store kilo drugscontrolled substance exchange van soda kilo definitely much much much monetary value illegal business accept yes business would still take wont layman term future btc actually super fancy technologically perfect hyped digital ingame currency value tagged something live monetarywordly value spent year exchanging dcaing fiat cant actually use regulation officially imposed global scale get im trying say,-1,127
thing last year bullshit bitcoin magazine trying create big tent conference fucking affinity scammer,-1,14
bitcoin fall k trader say bull need hail mary avoid bear market bitcoin via,-1,14
btc bitcoin fun watch fall close many long term investor around,-1,11
exactly even need government central bank hold bitcoin longer faster get buried irrelevant financial system,-1,15
jfcargo bryanbsolstin right bitcoin,-1,4
bitcoin getting bashed bitcoin bearmarket,-1,5
startonio czbinance binance bitcoin dipping deeper old resistance area effort flip new support area weekly retest progress ethbtc super underrated bitcoiner ive taking tweet tip seriously ive superb,-1,28
ok thats entering mental sickness stage,-1,6
intelligence squared bitcoin v gold debate scaramucci since bitcoin pumpers forgot rig vote time actually able win one check judge,-1,20
bitcoin price near bottom k dip say bullish institutional report,-1,10
bitcoin plunge first time since january world top digital asset bitcoin suffered daily plunge dragging cryptocurre bitcoin cryptocurrency digitalasset,-1,19
ummmm bottom zero needed telescope see needed binoculars see need look,-1,11
cashapp would party bitcoin wasnt dropping like cashappfridaynight crashrs,-1,9
invested bitcoin year ago alltime high youd,-1,7
switzerland hesitant possible mass adoption bitcoin,-1,6
rovercrc checked btc nothing bullish price still market still unstable however find pptorn vault auto compounding apr maximizes user deposit torn reward increase profit reduces gas fee bullish,-1,28
new trezor paid fee btc move k worth btc coinbase pro trezor normal much money transfer fund,-1,17
dunno risk earning interest holding btc worth lot risk managing crypto people,-1,12
hurt see whole crypto portfolio fall minus money buy dip dogecoin bitcoin eth,-1,13
bitcoin literally crashing,-1,3
bitcoin ready bearmarket btc take profit,-1,6
jamie dimon remains skeptic bitcoin stating bitcoin regulated government click detail leapwealth texasadvisor bitcoin,-1,14
tesla currently million bitcoin investment buy dip elon,-1,8
buy ford bitcoin buy money lose wisdom,-1,7
btc retraced time high still le retracement past september btc crypto bitcoin,-1,12
tesla revers decision bitcoin car payment environmental concern bitcoin,-1,9
ethereum better bitcoin better money continues scale meet demand better finance supporting service required money defi better store value lower inflation long term security,-1,24
yes btc crash run sadly missed btc ever k seriously doubt hey one know sure anything possible im saying opinion likely think btc rose last time downhill stop around k would best nonexpert guess,-1,34
cryptohayes im willing bet wont see btc k,-1,8
depression type irresponsible statement going hurt new investor misled buy wrong time btc going fall due ftx genesis crisis crypto market absolutely chance btc going k week,-1,27
tonevays excuse btc price manipulation,-1,5
got ta say fucking suck trading btc,-1,7
head shoulder inside bear flag looking good btc btc,-1,9
digital currency riskyinvest cautionbtc ethereum,-1,5
monthly closed like shit whole summer boring gg bull trash btc,-1,11
mathieusylvain see bfx btc already fallen k sign life,-1,9
buyer lost last week trading bitcoin im coming back range bias lot ppl cashed much loss coming back soon im still profit planning rebuy lower price eye spx untill,-1,29
fun staying poor guy bitcoin,-1,5
anyone know mana moon hard broke mana crypto bitcoin btc,-1,10
smart company wouldnt say getting bitcoin wouldnt want spike price would,-1,11
curious see new imaginary support line permanentbull guy find bitcoin fall expectation,-1,12
bitcoin pyramid scheme wreak havoc brazil new egypt currency worldnews,-1,10
trading volume extremely unusual suspicious look exactly expect heavily manipulated market bitcoin,-1,12
sold land house car even borrowed money bought bitcoin k april thinking keep going one day learn lesson dont make investment decision greed praisesnuggets bitcoin,-1,25
bitcoin update btc ended crashing bounce range flipped support back resistance clear range bottom k lost price since continued pretty clear downtrend remains intact bounce k relief rally btc,-1,29
bitcoin slow futile go offchain even crazier system try save face btc legit peertopeer system pump bag,-1,17
mayhemmarkets real question going happen btc corrects couple day btc corrected le,-1,12
unfortunately id never safe thats risk take buying using coinbase similar exchange,-1,12
