text,sen,WC
sideways,-1,1
trap,-1,1
explode,-1,1
bitcoin going,-1,2
betches bitcoin,-1,2
zero valued,-1,2
wtf sht,-1,2
bitcoin ugly,-1,2
fuck bitcoin,-1,2
kwon scammer,-1,2
joke decade,-1,2
dump coin,-1,2
btc outdated,-1,2
know going,-1,2
fucking pathetic,-1,2
meltdown continues,-1,2
life support,-1,2
room drop,-1,2
time sell,-1,2
well fuck,-1,2
pump dump,-1,2
bitcoin going,-1,2
ethereum shitcoin,-1,2
awful lol,-1,2
drop another,-1,2
bitcoin dying,-1,2
hows hell like,-1,3
exposing pointless crypto,-1,3
bitcoin k loading,-1,3
another month crashing,-1,3
imho bitcoin worst,-1,3
acab cryptos bad,-1,3
record didnt need,-1,3
flyguyinthesky bitcoin stink,-1,3
annoy fuck everyone,-1,3
bitcoin literally crashing,-1,3
dont like bitcoin,-1,3
bitcoin okay bro,-1,3
wow glad cashed,-1,3
record didnt need,-1,3
stop supporting garbage,-1,3
luna return scam,-1,3
crypto project scam,-1,3
soon go zero,-1,3
wtf woke crazy,-1,3
spending cryptocurrency nonsensical,-1,3
go fuck bum,-1,3
btc bottom btc,-1,3
nah good retarded,-1,3
fuck kwon version,-1,3
squawkcnbc jerrymoran bitcoin,-1,3
safemoon isnt safe,-1,3
cant pay bitcoin,-1,3
described pyramid scheme,-1,3
far many shitcoins,-1,3
bitcoin pussy sometimes,-1,3
full audit usdc,-1,3
denial disbelief btc,-1,3
bitcoin shit day,-1,3
china fuck bitcoin fuck,-1,4
remember price never recovered,-1,4
stay away luna scam,-1,4
unlocked developer dude scamming,-1,4
pace coin worth nothing,-1,4
thats literally crypto ponzi,-1,4
lot uneducated day trader,-1,4
going dump smooth brain,-1,4
almost bottom bitcoin btc,-1,4
prophecy bitcoin k gang,-1,4
stupid people comment irony,-1,4
bitcoin need defibrillator flatline,-1,4
thecryptolark see dead btc,-1,4
johalmiles tf buying bitcoin,-1,4
nope drop k k,-1,4
bitcoin k btc bitcoin,-1,4
followed even larger dip,-1,4
bitcoin dead kinzcash alive,-1,4
who clown btc bitcoin,-1,4
bitcoin fucked question btc,-1,4
prefer gold investment trading,-1,4
shitcoins got ta shitcoin,-1,4
elonmusk bitcoin hate u,-1,4
time valuable bitcoin drawing,-1,4
go home bitcoin drunk,-1,4
send k bitcoin cryptocrash,-1,4
intrinsic value produce anything,-1,4
stay away luna scam,-1,4
jfcargo bryanbsolstin right bitcoin,-1,4
ada awful post cope,-1,4
closer k k btc,-1,4
blockchain even work correctly,-1,4
wow really supporting scam,-1,4
millionaire made shit coin,-1,4
shitty ethereum bye bye,-1,4
two word free fall,-1,4
must missed memosorry bud,-1,4
still investing kwonartist coin,-1,4
went shit dip hurting,-1,4
fell whats next support,-1,4
still going bottom isnt,-1,4
gm welcome anon btc,0,4
gon na fomo k,0,4
btc trading pair crazy,0,4
johalmiles btc ceo confirm,0,4
btc support zone k,0,4
trying fomo right now,0,4
btc btc k support,0,4
price see first bitcoin,0,4
watch bitcoin like movie,0,4
quote btc waiting bottoming,0,4
link buy blockchaincom explorer,0,4
vra moving faster btc,0,4
leverage good bad bitcoin,0,4
bitcoin bitcoin btc btcusd,0,4
american bitcoin calling b,0,4
bitcoin everyone longed careful,0,4
filter bigger scam bitcoin,0,4
btc bitcoin double top,0,4
buy dip anon bitcoin,0,4
yea man lol percentage,0,4
next bitcoin cryptocurrency cryptos,0,4
bitcoin btc hellow h,0,4
time try men soul,0,4
let see tomorrow btc,0,4
apr around percent yes,0,4
falling wedge daily bitcoin,0,4
btc liquidated long k,0,4
buying top forever bitcoin,0,4
hard thing break bitcoin,0,4
black aventador sv roaster,0,4
like saturday never happen,0,4
morning start crypto btc,0,4
ill find lambo bridge,0,4
fucking confused going btc,0,4
give opinion slp btc,0,4
go discovered hodler dilema,0,4
bitcoin hr chart interpretation,0,4
ltc btc ltcbtc observation,0,4
yes signing exec order,0,4
bought k worth k,0,4
btc liquidated long k,0,4
xrp kick btc crypto,0,4
emergentbtc sound like bitcoin,0,4
proofofwork essentially onecpuonevote bitcoin,0,4
told btc store value,0,4
cryptobusy done bitcoin cryptobusy,0,4
sold dont make habit,0,4
well obviously people selling,0,4
bitcoin bitcoin btc btcusd,0,4
anyone try nexo app,0,4
separate money state btc,0,4
everything cryptocurrency bitcoin via,0,4
looking short tonight btc,0,4
mindset ignorance maxi post,0,4
apecoin looking btc like,0,4
bitcoin wallet sold year,0,4
k breached coinbase pro,0,4
raoulgmi never easy bitcoin,0,4
depends op like coin,0,4
grt warming btc btc,0,4
honey badger give shit,0,4
invest something else meanwhile,0,4
btc liquidated short k,0,4
btc liquidated long k,0,4
key key crypto bitcoin,0,4
somebody really pushing right,0,4
coinbase anyone else bitcoin,0,4
btc hold k ill,0,4
btc liquidated long k,0,4
bitcoinqutes bitcoin advocate pleb,0,4
bitcoin bitcoin btc btcusd,0,4
k gn yall btc,0,4
volatility separate men boy,0,4
bitcoin last price btc,0,4
think bitcoin ever go,0,4
sound like smart criminal,0,4
btc liquidated short k,0,4
depends year within year,0,4
zoom month love god,0,4
elonmusk longing btc btc,0,4
check btcd analysis tradingview,0,4
bitcoin want btc btc,0,4
k btc btc deck,0,4
ummm hope packed dinner,0,4
swear sound like copypasta,0,4
bitcoin n binance cake,0,4
huobiglobal predict bitcoin k,0,4
protip ownership legal term,0,4
bitcoin broke today high,0,4
bnb warming btc btc,0,4
nobody asking net worth,0,4
come brand new chicken,0,4
janet yellen dump bitcoins,0,4
future football btc btcusd,0,4
btc liquidated long k,0,4
ahh see make sense,0,4
he child seek attention,0,4
bitcoin risk v reward,0,4
ohhhhh zing got lol,0,4
silly bear dip drip,0,4
fschaeffler btc shib king,1,4
bitcoin new favorite stablecoin,1,4
spoken like true savant,1,4
always come back stronger,1,4
xlm going great year,1,4
cashapp bitcoin way meltedcube,1,4
never stoped buying buying,1,4
bitcoin moving towards moon,1,4
doge go back soon,1,4
itching lil stack btc,1,4
happy see guy citadel,1,4
grab sale ladsthats thinking,1,4
now time buy bitchez,1,4
bitcoin one investment time,1,4
one wise answer bitcoin,1,4
send k haste bitcoin,1,4
roadmap bank adopting bitcoinbtc,1,4
added candle get welcome,1,4
peak fiat bitcoin fix,1,4
optimism rally real btc,1,4
btc liquidated long k,1,4
bitcoin omg feel wealthy,1,4
great time buy missed,1,4
ruskadevushka bitcoin defunds war,1,4
bitcoin many passionate individual,1,4
barereality fatemperor bitcoin fix,1,4
doubled solana cardano algorand,1,4
bitcoin warming rebel cryptocurrencies,1,4
mood btc eth bnb,1,4
buy bitcoin gun ammo,1,4
let sink go back,1,4
aight cool thanks man,1,4
fhncrypto bitcoin freedom technology,1,4
el salvador leading way,1,4
dennisporter bitcoin progress anyway,1,4
fsamueltolani home sweet bitcoin,1,4
bitcoin freedom freed lifesaving,1,4
week great day strap,1,4
bitcoin unique event life,1,4
squirrelbits til end btc,1,4
documentingbtc cynthiamlummis bitcoin magic,1,4
wheeeee good ride shorters,1,4
cmon btc fight love,1,4
btc send hell cheap,1,4
perfect time buy luna,1,4
bitcoin since china banned,1,4
stacked sat bitcoin btc,1,4
wish everyone nice weekend,1,4
hang fam btc ride,1,4
never bend knee bitcoin,1,4
buy bitcoin jp morgan,1,4
future brightorange bitcoin bitcoinkiddos,1,4
bitcoin final diamond update,1,4
bitcoinmagazine bitcoin new future,1,4
stock flow life btc,1,4
moon btc bitcoin bitcoinnews,1,4
hodling bitcoin made easy,1,4
keep playing game btc,1,4
lb gaborgurbacs bitcoin fix,1,4
day dream sat bitcoin,1,4
blockfi duh earns bitcoin,1,4
algo one best top,1,4
way up bitcoin cryptocurrency,1,4
cryptokaleo bitcoin slapped sense,1,4
use cash app scam,1,4
nashville shining tonight btc,1,4
buy another buck worth,1,4
aim target millionorbust bitcoin,1,4
shooting star bitcoin bitcoins,1,4
yes buying opportunity satoshis,1,4
ozraeliavi protect buy bitcoin,1,4
friday th bitcoin day,1,4
nah short holding btc,1,4
nothing else interest nothing,1,4
time greatest leverage bitcoin,1,4
privacy advocate bitcoin privacy,1,4
surpass soon bitcoin moon,1,4
themooncarl bitcoin ticket freedom,1,4
got sat bitcoin supportthetalented,1,4
wow volume increasing bitcoin,1,4
daddy bitcoin indeed king,1,4
buy forget trust process,1,4
eth great matic way,1,4
jackfowler dimartinobooth davidbahnsen btcliterallyfixesallofthis,1,4
cant go wrong eth,1,4
bitcoin zeitgeist st century,1,4
perfect tuesdaymotivaton cryptocurrecy bitcoin,1,4
bouquet dream bitcoin digitalart,1,4
peterschiff btc go volatile,1,4
google thousand btc outpace,1,4
wait tesla dump tomorrow,1,4
etc warming btc btc,1,4
bitcoin money cant censored,1,4
trillionusd thank satoshi btc,1,4
okay btc see u,1,4
hodlingcarla btc new normal,1,4
geekwire buy bitcoin bitcoin,1,4
tried pay tab bitcoin,1,4
btc btc thanks play,1,4
happy day bit coiner,1,4
