type,eval_loss,eval_acc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,time_this_iter_s,training_iteration,learning_rate,num_train_epochs,per_device_eval_batch_size,per_device_train_batch_size,warmup_steps,weight_decay,testAccuracy
128_2T,0.8983339667320251,0.5966666666666667,0.3753,799.255,26.642,1.0,304.3072693347931,1,4.96884623716487e-05,5,32,32,0,0.0002336297523042,0.66
128_2T,0.8596824407577515,0.6266666666666667,0.3779,793.944,26.465,1.0,311.9340908527374,1,3.887995089067299e-05,5,32,32,250,0.01692347370813,0.66
128_2GTH,1.003752827644348,0.6366666666666667,0.3942,760.981,25.366,1.0,380.5892472267151,1,3.404460046972836e-05,3,32,32,500,0.2598528437324805,0.6566666666666666
128_2GTH,0.9384928345680236,0.63,0.3966,756.436,25.215,1.0,375.4325141906738,1,1.0282652208788698e-05,5,32,32,0,0.1834959481464842,0.6533333333333333
256GTH,1.21019184589386,0.5966666666666667,0.4206,713.234,23.774,1.0,755.5592820644379,1,3.473544037332349e-05,5,32,32,500,0.0271819303598462,0.6533333333333333
128_2GTH,0.9919221997261048,0.6233333333333333,0.3825,784.32,26.144,1.0,369.50813603401184,1,2.5994438868610224e-05,3,32,32,500,0.1574323980775167,0.65
128_2T,0.7968368530273438,0.64,0.4026,745.191,24.84,1.0,301.9613394737244,1,1.0282652208788698e-05,5,32,32,0,0.1834959481464842,0.6466666666666666
128_2GTH,1.0094244480133057,0.63,0.3869,775.486,25.85,1.0,366.1462769508362,1,3.473544037332349e-05,5,32,32,500,0.0271819303598462,0.6466666666666666
128_2GT,1.180292010307312,0.6433333333333333,0.3887,771.712,25.724,1.0,648.8568873405457,1,2.5994438868610224e-05,3,32,32,500,0.1574323980775167,0.6433333333333333
128_2GTH,0.9043839573860168,0.6533333333333333,0.378,793.551,26.452,1.0,370.2104470729828,1,1.6239780813448106e-05,3,32,32,500,0.0468055921327309,0.6433333333333333
