,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,lr,RMSE,sMAPE,MAPE,type
0,20,1,12,2,8,0.11335629181014276,7,256,0.0036054074182910634,0.026579665020108223,3.0828919261693954,3.1101252883672714,30
1,31,24,12,2,3,0.24655963305899398,6,64,0.003281750471982387,0.026591811329126358,3.203585371375084,3.252977505326271,30
2,16,24,17,1,7,0.028931989702678462,9,128,0.002023017153585118,0.026455165818333626,3.0889684334397316,3.100946545600891,30
3,28,12,10,3,6,0.010530275517519472,7,128,0.0018048856813060242,0.02685064822435379,3.1132908537983894,3.1156109645962715,30
4,12,3,10,2,5,0.042753175818391054,10,256,0.003748703119049572,0.026416858658194542,3.0305853113532066,3.0533432960510254,30
5,24,1,22,3,3,0.08918896556883181,8,32,0.0019528145325566886,0.030751416459679604,4.05593179166317,3.9886068552732468,30
6,31,21,27,2,7,0.2177866741629963,9,64,0.003592793856532576,0.02704339660704136,3.1531814485788345,3.1663119792938232,30
7,7,20,16,1,8,0.28292838040737844,9,32,0.002587531506570156,0.02796529233455658,3.1879067420959473,3.200877457857132,30
8,9,14,8,3,2,0.21590970770813053,8,128,0.0022352851607082592,0.026716994121670723,3.2097358256578445,3.261328488588333,30
9,23,14,30,1,8,0.05177757014109947,10,256,0.004735614166991215,0.028513019904494286,3.4999582916498184,3.472856432199478,30
10,2,31,21,2,5,0.13849795584672223,10,256,0.004608885809738336,0.02709922194480896,3.1361300498247147,3.141852468252182,30
11,14,6,16,1,5,0.039530266479439406,9,128,0.001206003071049524,0.02763756364583969,3.287907689809799,3.270668163895607,30
12,15,27,16,1,6,0.0020361131234572227,10,128,0.004112898060394673,0.02969512715935707,3.5964716225862503,3.573279082775116,30
13,11,9,25,1,4,0.07149552770148977,9,256,0.002813415108749195,0.026522072032094002,3.117557056248188,3.1486347317695618,30
14,19,18,17,2,6,0.14726709798527,10,256,0.00100197457131324,0.02693541906774044,3.1852688640356064,3.2205376774072647,30
15,6,26,13,2,7,0.10033866944582592,9,128,0.003899287239142349,0.02765173837542534,3.3019524067640305,3.316093236207962,30
16,13,6,8,1,4,0.030889347345242887,10,32,0.0015429441796201387,0.041231803596019745,5.489720404148102,5.286203324794769,30
