,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,lr,RMSE,sMAPE,MAPE,type
0,18,26,30,3,5,0.0090568908342192,6,32,0.004079110672374702,0.0425567664206028,4.668199270963669,4.687131568789482,30
1,7,29,8,1,6,0.06333193801269217,9,32,0.004124605622467402,0.03372407704591751,3.998469188809395,3.9889033883810043,30
2,18,30,26,3,4,0.18744863022826572,7,256,0.003547603825966136,0.027028946205973625,3.161745145916939,3.1626421958208084,30
3,26,24,8,3,4,0.165665327888965,10,128,0.0032944351936140025,0.027418557554483414,3.3412255346775055,3.3600445836782455,30
4,6,5,20,2,2,0.12025604007538565,6,64,0.0031234466933445486,0.028570493683218956,3.4976474940776825,3.5860657691955566,30
5,21,3,16,3,5,0.1968206947480197,8,64,0.004322669912371472,0.028547726571559906,3.6615844815969467,3.7488285452127457,30
6,19,30,21,3,2,0.13045485125837344,8,64,0.0016561839910114741,0.027109559625387192,3.212013468146324,3.231155499815941,30
7,29,30,19,2,2,0.1835104950466798,6,128,0.001204878922534889,0.0267188623547554,3.243241459131241,3.301771730184555,30
8,31,7,23,3,4,0.21355160415176444,6,64,0.0028191860872901027,0.027730576694011688,3.4069545567035675,3.4799035638570786,30
9,17,1,31,2,7,0.2678844556428735,10,256,0.003280075894010503,0.02749680168926716,3.210502862930298,3.1939055770635605,30
10,31,18,14,2,8,0.2825064840050959,7,128,0.0010665971160280984,0.026478132233023643,3.038209117949009,3.0457086861133575,30
11,31,17,14,2,8,0.29906027225278764,7,128,0.001131570279951743,0.026353947818279266,3.0470704659819603,3.072468936443329,30
12,25,16,13,2,8,0.29705407179974747,7,128,0.0020868592681153766,0.026981469243764877,3.1503718346357346,3.1540177762508392,30
13,11,17,14,2,8,0.23823688859362338,7,128,0.0010353804114799567,0.026536406949162483,3.0459703877568245,3.0527865514159203,30
14,25,16,12,1,7,0.29463602968468167,7,128,0.002301894243391076,0.026657337322831154,3.2131608575582504,3.2592114061117172,30
15,31,11,17,2,7,0.24646280162582812,8,128,0.00494732549176955,0.02614261955022812,3.0625097453594208,3.091147169470787,30
16,1,10,17,2,7,0.24507147700457188,9,128,0.004723148533885018,0.026423795148730278,3.0485864728689194,3.0764328315854073,30
17,22,11,11,2,6,0.24203750836527488,9,128,0.004842587934480131,0.026555325835943222,3.07654682546854,3.103497065603733,30
18,13,21,24,1,6,0.0834946363690171,8,256,0.0024171374441760056,0.026678109541535378,3.196299448609352,3.251168504357338,30
19,28,12,17,2,7,0.26324875196577974,8,32,0.0017586882912370757,0.02669060230255127,3.109123557806015,3.1135305762290955,30
20,24,14,10,2,8,0.21703901051152086,8,128,0.0037962745284725163,0.026883235201239586,3.2938919961452484,3.3532101660966873,30
21,12,9,17,2,7,0.24749135481338888,9,128,0.004978728970636024,0.026638338342308998,3.091215156018734,3.1342901289463043,30
22,1,9,15,2,7,0.22406612773032764,9,128,0.0045521062285607435,0.026415208354592323,3.0596666038036346,3.0698951333761215,30
23,1,20,15,2,8,0.22099143038806646,9,128,0.00442401548839649,0.026399312540888786,3.0723460018634796,3.0858956277370453,30
24,5,20,18,2,8,0.2692715781495597,10,128,0.0027481655011280305,0.026254385709762573,3.0841821804642677,3.1168628484010696,30
25,6,21,19,1,8,0.27179547312313174,10,128,0.0028533026395657435,0.026398053392767906,3.062618151307106,3.0906207859516144,30
26,28,13,22,2,6,0.2646503435808074,7,128,0.0015505845216828799,0.026874616742134094,3.0872542411088943,3.101751394569874,30
27,10,23,25,2,8,0.29310472291447354,8,32,0.002638293819002018,0.030308501794934273,3.2635893672704697,3.2615911215543747,30
28,22,14,18,2,5,0.1579653022959247,10,256,0.0019155290779825655,0.028363680467009544,3.5191699862480164,3.605154901742935,30
29,15,26,28,1,7,0.06851182786898372,8,32,0.0037989950029441296,0.05056365206837654,5.995338410139084,5.979872867465019,30
30,29,19,21,2,6,0.014447939466732868,6,128,0.001375891313144429,0.026568640023469925,3.0616916716098785,3.0822845175862312,30
31,5,22,19,1,8,0.2738323877285526,10,128,0.00286507831282865,0.026276176795363426,3.0486341565847397,3.073890134692192,30
32,4,24,18,1,8,0.2557553931003164,10,128,0.0024314417521720238,0.02656099572777748,3.055233135819435,3.0680784955620766,30
33,8,27,20,1,8,0.27828555164685925,10,128,0.0035673612843865835,0.026462582871317863,3.157557174563408,3.201354295015335,30
34,4,22,16,1,7,0.29852579474715224,9,128,0.002645695375571265,0.026536790654063225,3.1167319044470787,3.155406191945076,30
35,8,26,10,1,3,0.2030422835708529,10,32,0.004132240143883982,0.02694682963192463,3.219204396009445,3.2324042171239853,30
36,15,15,28,3,8,0.23029617270469765,9,128,0.003191546851066743,0.027015360072255135,3.16476933658123,3.179975599050522,30
37,3,19,13,1,6,0.27922206595314775,10,64,0.003486313818948456,0.028620855882763863,3.4892357885837555,3.579486906528473,30
38,9,17,20,3,7,0.13444681368080255,7,256,0.0030133831307312064,0.026215843856334686,3.052395209670067,3.073875606060028,30
39,9,24,22,3,7,0.1334071623717382,8,256,0.0029967960978255852,0.027600163593888283,3.2561045140028,3.2480809837579727,30
40,6,7,20,3,5,0.10787384877277276,6,256,0.003939193511704426,0.026356173679232597,3.0441731214523315,3.0708806589245796,30
41,4,18,19,3,8,0.11667662269827327,7,256,0.0021844679911695404,0.026475420221686363,3.0517205595970154,3.0848275870084763,30
42,6,17,18,3,7,0.1748192830613297,7,256,0.0034221869472261927,0.027610067278146744,3.2405268400907516,3.236939385533333,30
43,19,21,16,3,8,0.14716989548159898,6,64,0.0029974549176317953,0.026441607624292374,3.1078381463885307,3.1243938952684402,30
44,31,19,21,2,4,0.2553524274662375,7,128,0.00263840839855265,0.026560157537460327,3.0579824000597,3.077227436006069,30
45,13,15,14,3,7,0.19482166422332053,7,256,0.001988164886819712,0.02659117616713047,3.147152066230774,3.1917478889226913,30
46,27,17,15,2,8,0.28185560521257097,7,128,0.004125501415355814,0.02644665353000164,3.0577149242162704,3.090481460094452,30
47,3,22,19,2,6,0.033861006109367306,8,64,0.001268818916086661,0.02978312037885189,3.812268003821373,3.782140091061592,30
48,30,6,23,3,7,0.1726210284706756,10,128,0.0036581044544376305,0.029074668884277344,3.7377014756202698,3.832068294286728,30
49,7,28,16,2,8,0.09913912987223447,6,128,0.0017996145262910723,0.026008205488324165,3.04883886128664,3.0754216015338898,30
