,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,lr,RMSE,sMAPE,MAPE,type
0,21,19,24,2,8,0.09785124585271317,8,256,0.003550459587433937,0.027208009734749794,3.217162564396858,3.2511796802282333,30
1,29,26,12,3,5,0.03763601877379947,8,32,0.002800281470430172,0.0320308580994606,4.34713140130043,4.262633994221687,30
2,22,26,21,2,4,0.26437106458689824,6,64,0.002399391176665149,0.03814685717225075,4.776367545127869,4.658446833491325,30
3,1,10,19,3,7,0.16775861533663736,6,32,0.004503830317431028,0.0327567383646965,4.376707971096039,4.285741224884987,30
4,4,16,28,2,2,0.16622820107082317,10,32,0.0022872643107119664,0.027213482186198235,3.2436709851026535,3.291180357336998,30
5,20,1,13,2,2,0.07175811144735232,6,64,0.0036579623360535967,0.027918929234147072,3.3937912434339523,3.4572966396808624,30
6,18,3,11,3,4,0.010065850473249649,8,256,0.003404774436136149,0.027538852766156197,3.244761750102043,3.2314330339431763,30
7,4,23,10,3,6,0.05360859656179194,9,32,0.004299981370596893,0.02774299494922161,3.398505598306656,3.400377556681633,30
8,24,11,13,3,2,0.15904568020212523,9,64,0.0024280957159690175,0.026626549661159515,3.067575953900814,3.0790403485298157,30
9,26,23,9,1,4,0.14355245796783309,9,64,0.0048026027824150126,0.02706259675323963,3.1382929533720016,3.1431403011083603,30
10,12,10,32,1,2,0.25916293173278937,10,128,0.0010935758607948291,0.026527389883995056,3.0633969232439995,3.0959773808717728,30
11,11,10,31,1,2,0.2893208458968427,10,128,0.0010577743658954203,0.027361519634723663,3.2843250781297684,3.3447306603193283,30
12,12,9,16,1,3,0.2277281076040388,9,128,0.0011439533703907947,0.026756882667541504,3.142198920249939,3.187590464949608,30
13,13,14,24,1,3,0.21200676762302043,10,128,0.0019019762482424501,0.026495860889554024,3.036288544535637,3.062322363257408,30
14,12,14,32,1,3,0.23022785829665254,10,128,0.0017198048670472432,0.027038900181651115,3.1311828643083572,3.1343717128038406,30
15,14,6,26,1,3,0.21454494371262786,7,128,0.0016795529057472382,0.02667590230703354,3.1207963824272156,3.1638167798519135,30
16,8,18,23,1,5,0.2998328384841038,10,128,0.001690511475327311,0.026905525475740433,3.1079040840268135,3.1110290437936783,30
17,17,30,29,1,3,0.20686036741391423,10,128,0.001419267216734851,0.027151981368660927,3.1560882925987244,3.1619377434253693,30
