,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,lr,RMSE,sMAPE,MAPE,type
0,3,12,15,1,6,0.23557114425909656,8,32,0.0038430189141441264,0.027388786897063255,3.3891774713993073,3.4181486815214157,30
1,27,11,20,1,5,0.2619686123960513,9,64,0.0011319572063757382,0.027028340846300125,3.11628095805645,3.1281158328056335,30
2,23,6,22,2,8,0.2932593249381984,8,64,0.0037622131575250797,0.027165204286575317,3.1787648797035217,3.1693432480096817,30
3,7,8,32,1,4,0.08833402943066439,10,128,0.004380572028176264,0.03613831102848053,4.5893412083387375,4.47385273873806,30
4,24,20,15,2,2,0.157400801431311,8,128,0.0027969772227347256,0.026864968240261078,3.091001883149147,3.096887841820717,30
5,24,19,30,1,3,0.06264280465298215,10,256,0.0013931118470452565,0.026718096807599068,3.1439967453479767,3.1897742301225662,30
6,12,21,20,3,2,0.29275103272393493,8,256,0.0012474320995855988,0.026968659833073616,3.1870733946561813,3.235742822289467,30
7,8,6,16,2,6,0.10434171862827096,10,256,0.0023309536492151857,0.026868095621466637,3.1229643151164055,3.1595908105373383,30
8,18,17,25,2,2,0.08976851268311362,6,256,0.0039801950820946294,0.0281209796667099,3.3978302031755447,3.373846784234047,30
9,31,5,29,1,2,0.14263351870193627,8,256,0.004369171330525844,0.027912942692637444,3.3607501536607742,3.340268135070801,30
10,18,31,9,3,4,0.006369211257330656,6,32,0.0018390252363200826,0.04164627939462662,5.422798544168472,5.279867723584175,30
11,23,24,11,2,3,0.014776556473030028,7,128,0.0029099034379856687,0.027110369876027107,3.1662747263908386,3.160412609577179,30
12,23,24,15,1,3,0.17577735138433653,9,128,0.0028734906276395664,0.027411045506596565,3.2020073384046555,3.198547661304474,30
13,31,18,27,2,3,0.18241561747972143,9,128,0.002232100498858138,0.026858486235141754,3.1488489359617233,3.1935449689626694,30
14,31,15,27,3,4,0.20835897064815304,9,256,0.0018554959230094364,0.02627674490213394,3.0409060418605804,3.0674055218696594,30
15,28,13,32,3,5,0.04805011142061159,10,256,0.0016759259500396138,0.029308218508958817,3.671061620116234,3.6294829100370407,30
16,27,29,24,3,4,0.20725986058943785,9,256,0.0016305430281427934,0.02816363237798214,3.3794905990362167,3.3626332879066467,30
17,19,1,28,3,6,0.12394815733384512,10,256,0.002304207786723189,0.026638304814696312,3.0630087479948997,3.090343438088894,30
18,14,1,26,3,8,0.12966784444500262,9,256,0.002263326927265732,0.02694782242178917,3.1141437590122223,3.14781591296196,30
