,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE,type
0,2,4,13,3,8,0.17384824550933908,7,False,128,0.001575251282483055,0.05079972743988037,7.323620468378067,7.42427185177803,1
1,15,1,11,2,4,0.22880791546613735,6,True,128,0.004409007442531122,0.048397939652204514,6.792720407247543,6.981778144836426,1
2,31,10,8,1,7,0.047533604393966124,9,False,64,0.0013538497631899822,0.05998989939689636,9.572074562311172,9.340757131576538,1
3,30,7,22,2,5,0.03301888294327297,9,True,32,0.0038999016071029277,0.08421149104833603,12.894216179847717,12.833046913146973,1
4,8,28,10,1,2,0.16173532178674022,7,False,256,0.0014999283622959387,0.04806059971451759,6.707784533500671,6.987845152616501,1
5,24,17,32,1,3,0.24865461992844284,9,False,256,0.003779950716640603,0.04861452057957649,6.766857951879501,6.979003548622131,1
6,31,18,9,2,8,0.2517008440429701,6,True,64,0.0015171798871145572,0.04808470979332924,6.7474305629730225,6.9532714784145355,1
7,15,16,13,1,8,0.16234324758477947,8,False,32,0.0044119339315846495,0.08241491764783859,13.847272098064423,12.666279077529907,1
8,3,12,14,3,7,0.1330229759527233,8,False,32,0.0018018266302829717,0.08452417701482773,12.939859926700592,12.322409451007843,1
9,7,31,32,3,4,0.09795270795076216,8,True,128,0.0036881543737628457,0.05713647976517677,8.765505254268646,8.364712446928024,1
0,29,14,13,2,4,0.07656000771002734,8,False,64,0.0034516164893264633,0.0636414960026741,8.199788630008698,7.988197356462479,2
1,3,5,13,3,8,0.04954948775510204,10,False,64,0.0035356041806285823,0.08420033752918243,10.085461288690567,9.940128773450851,2
2,15,9,29,1,5,0.273254375092585,6,False,256,0.0014397082951530665,0.055994145572185516,6.73651248216629,7.00211226940155,2
3,30,31,15,2,7,0.107229858014954,7,False,64,0.0022013928758042546,0.06691581755876541,8.544588088989258,8.394931256771088,2
4,5,31,25,2,3,0.20922596318237072,6,True,128,0.003142972589199639,0.0586458295583725,7.46193453669548,7.799328863620758,2
5,4,23,21,2,8,0.19876444995736928,7,True,32,0.003102812654977895,0.0794762596487999,9.686020761728287,9.269464761018753,2
6,2,25,28,2,8,0.21845103204475447,10,True,32,0.004075445724942853,0.09529127180576324,12.452414631843567,12.422139197587967,2
7,26,2,9,3,7,0.24420535905319168,7,True,64,0.0023694158773190817,0.058051250874996185,7.213404029607773,7.6195187866687775,2
8,15,11,16,1,4,0.1526006696779201,6,True,256,0.004778392608999028,0.05602773651480675,6.805127859115601,7.09393173456192,2
9,30,14,19,3,7,0.02941998183032376,8,True,32,0.004328818883021337,0.09934987872838974,13.969756662845612,13.429214060306549,2
0,29,17,28,2,7,0.2424254686172606,9,False,64,0.004014940770101767,0.07116978615522385,9.058955311775208,8.850118517875671,3
1,3,4,31,3,5,0.07231557876634334,7,True,128,0.0036523842334854344,0.05734768509864807,7.2549499571323395,7.597949355840683,3
2,20,27,16,1,6,0.1650838581847562,7,False,64,0.001405655270527314,0.06538019329309464,8.44033882021904,8.243564516305923,3
3,14,17,10,3,2,0.13814513017247027,7,True,256,0.0024505609706186185,0.05600016564130783,6.702084094285965,7.0397064089775085,3
4,29,25,30,2,5,0.11546822361576665,6,False,32,0.0013507747433424552,0.08746746182441711,11.012013256549835,10.993947833776474,3
5,24,30,13,1,3,0.120853692249732,8,False,128,0.004817326177458515,0.06047060340642929,7.6042234897613525,7.471635937690735,3
