,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE,type
0,11,29,11,2,8,0.17872369505607147,9,False,128,0.002514768137761179,0.02244897000491619,2.9823819175362587,2.9537273570895195,60
1,22,1,13,1,6,0.024202527397268303,6,True,128,0.004645361981281107,0.02338554337620735,3.185301646590233,3.140013664960861,60
2,24,9,14,3,7,0.15675805783645205,10,True,256,0.0010168466258415898,0.020793501287698746,2.6381082832813263,2.68100555986166,60
3,22,1,17,2,3,0.07911018277964084,7,False,128,0.001191215790589606,0.019891100004315376,2.3617632687091827,2.3679161444306374,60
4,3,30,20,2,5,0.2198466954913951,10,False,32,0.0027716505030095442,0.021651865914463997,2.6282889768481255,2.6354191824793816,60
5,17,15,16,2,6,0.09994751660893893,10,False,64,0.001451300487251992,0.019855167716741562,2.4199550971388817,2.4325350299477577,60
6,23,23,11,1,7,0.29612098237852286,6,True,128,0.003249767524636638,0.02050807513296604,2.467963844537735,2.4845385923981667,60
7,7,17,16,2,4,0.007251529664826306,9,False,128,0.0036816898331015605,0.020982813090085983,2.5352953001856804,2.567410282790661,60
8,22,15,21,3,4,0.17202467875031835,10,False,64,0.0018199628699615813,0.020601117983460426,2.5897936895489693,2.5845136493444443,60
9,27,31,14,3,4,0.19839742121443535,7,True,32,0.0019441755124693567,0.024001870304346085,3.2987769693136215,3.3535245805978775,60
0,4,17,15,1,5,0.06046110019547752,10,True,256,0.003457501736347614,0.01923424005508423,2.7686627581715584,2.7888525277376175,365
1,15,28,16,1,2,0.06860336508938061,8,True,256,0.001933517261321121,0.00931346882134676,1.326839905232191,1.3284043408930302,365
2,13,4,11,3,8,0.11301782097798874,6,True,64,0.0025744659440981154,0.014179877936840057,1.5314138494431973,1.5527593903243542,365
3,24,26,9,2,5,0.06846446074336371,7,False,64,0.003440802161600373,0.018054187297821045,2.5335850194096565,2.524617500603199,365
4,17,4,11,2,4,0.1001239182360249,8,True,256,0.0034303662334343983,0.020355544984340668,2.953389845788479,2.9643258079886436,365
5,15,5,12,1,3,0.1329649463072747,7,False,128,0.003719601611762246,0.012492147274315357,1.4989848248660564,1.508049201220274,365
6,8,31,16,3,6,0.20848830670076296,6,False,32,0.004922786407712477,0.02005757950246334,1.3064749538898468,1.3497420586645603,365
7,28,17,25,3,6,0.05146121408990421,6,False,128,0.0038388900572569155,0.018649287521839142,1.494733802974224,1.527343038469553,365
8,12,20,32,3,2,0.023268180722026733,10,False,32,0.0014281065791127703,0.010318294167518616,1.2571710161864758,1.2536571361124516,365
9,23,7,9,2,8,0.26187887576522184,6,False,256,0.0033033083578609813,0.022951776161789894,3.173832967877388,3.1854532659053802,365
