,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,5,55,25,2,0.11774238105712378,64,0.003208165761327366,0.10425600409507751,0.073221594,12.731179594993591
1,29,59,22,3,0.24032148509316625,256,0.0033757880169165717,0.035469990223646164,0.026081685,4.577736184000969
2,14,20,29,2,0.013853112691914426,32,0.0023109899022458425,0.062276750802993774,0.04728593,8.157384395599365
3,11,59,31,1,0.08245995944605404,256,0.0015398263447815898,0.027119692414999008,0.018214842,3.2070614397525787
4,31,52,10,1,0.08088959921793865,128,0.0023753210912512744,0.02714335359632969,0.018584393,3.239962086081505
5,18,57,11,2,0.15383700332549485,64,0.0018442226010170035,0.02678651735186577,0.017926,3.1215444207191467
6,5,36,10,1,0.28587983388521393,128,0.0015781470760510233,0.028045842424035072,0.019658223,3.424369916319847
7,24,60,12,3,0.11937521594381656,256,0.004503899398648497,0.026492061093449593,0.01774209,3.1185446307063103
8,17,50,22,2,0.19662037912325392,256,0.004395350379539215,0.026550795882940292,0.017847538,3.1347744166851044
9,29,41,17,3,0.26273085135191504,64,0.0041898421089828965,0.034460630267858505,0.024511538,4.311578348278999
10,22,27,16,3,0.0018548246479429542,32,0.0049187766624487084,0.06097482517361641,0.04510095,7.823646068572998
11,22,47,16,2,0.19280205223643582,256,0.004213198046364663,0.027992092072963715,0.019369354,3.3457841724157333
12,21,49,23,3,0.19086183881039753,256,0.004902017404663793,0.02663910947740078,0.01787754,3.136622905731201
13,11,41,19,2,0.21118433414941556,256,0.00400150586315118,0.02646084502339363,0.01751529,3.065675310790539
14,9,12,13,3,0.13834231825403526,256,0.0036480577541995276,0.02660982497036457,0.017886715,3.1447872519493103
15,25,41,19,2,0.2243653038940428,256,0.0037904956961671895,0.026498643681406975,0.017520502,3.063824772834778
16,2,5,13,3,0.06612606280558338,256,0.0010066460234327518,0.026646986603736877,0.017712004,3.1115369871258736
17,13,33,26,2,0.15273731792042416,128,0.002784568073634615,0.027970021590590477,0.019164635,3.382866457104683
18,8,62,8,3,0.12811163405080936,32,0.004536641225351293,0.03280891105532646,0.023956481,4.203866049647331
19,19,45,18,1,0.2972758560466811,256,0.0039763610728886295,0.029495051130652428,0.021374993,3.696884959936142
20,25,38,15,3,0.17111447640851873,256,0.004678030397532835,0.026624983176589012,0.01789591,3.1468402594327927
21,26,42,20,2,0.21437945917109788,256,0.0037714010170617302,0.028127426281571388,0.020058485,3.4657347947359085
22,25,39,19,2,0.23067659110668862,256,0.003446318314081682,0.026526859030127525,0.017557947,3.07568795979023
23,15,27,14,2,0.2547414131760807,256,0.003940804232243834,0.02850998379290104,0.021088393,3.726096823811531
24,27,45,25,2,0.21774972845617319,256,0.0028146016326566223,0.026623431593179703,0.017748212,3.0911145731806755
25,20,35,20,2,0.10656933080497799,256,0.004202214274507069,0.0275473240762949,0.019234847,3.3327173441648483
26,23,53,12,2,0.17727586163171494,64,0.00369537472395661,0.028049759566783905,0.019273946,3.34625206887722
27,16,30,8,2,0.044396696612771236,128,0.0031518491895119252,0.026966558769345284,0.018242715,3.191763162612915
28,11,25,18,1,0.26920174340411207,32,0.0046731635949488,0.03902347758412361,0.027997429,4.865553230047226
29,6,21,26,3,0.11770446867490011,64,0.0034136654154688522,0.04571107402443886,0.029861825,5.188734829425812
30,31,43,24,2,0.16553114331524607,256,0.003999130972299507,0.026779059320688248,0.017865982,3.1112467870116234
31,25,40,19,2,0.23005853091648124,256,0.003471783515581017,0.026701925322413445,0.01767855,3.0812524259090424
32,28,38,21,2,0.23967503774480342,256,0.003074083874511126,0.026750626042485237,0.017937709,3.1417720019817352
33,24,39,28,2,0.20563681357817326,256,0.003335258140705704,0.026522284373641014,0.017867945,3.129987046122551
34,23,44,28,2,0.20687691465052946,256,0.0043516486311554105,0.026558155193924904,0.017684666,3.090505488216877
35,13,32,30,2,0.24841989179763038,256,0.002756894038944345,0.027772292494773865,0.0187931,3.293244168162346
36,24,47,32,2,0.10171509073134954,256,0.0038709676320768855,0.027720719575881958,0.019015452,3.3573079854249954
37,28,36,22,1,0.13470362246025933,32,0.0023875192636806817,0.07136255502700806,0.051086664,8.794999867677689
38,19,56,28,3,0.18094802068519783,128,0.003614673741756743,0.028916172683238983,0.020557685,3.538608178496361
39,11,61,10,2,0.2067330004681774,64,0.0044741810137766905,0.038189999759197235,0.027021375,4.730907082557678
40,30,42,15,3,0.1602356015295038,256,0.00323251327552458,0.026480238884687424,0.017528702,3.069717437028885
41,29,41,15,3,0.1578643141954889,256,0.0032487592523194023,0.026538094505667686,0.017685952,3.1050188466906548
42,31,42,17,3,0.22809885062478946,256,0.0028996386274149286,0.02670646831393242,0.018127017,3.192926198244095
43,29,37,12,3,0.2750118813159397,256,0.004149979712249192,0.0263978224247694,0.017484622,3.066627122461796
44,30,37,11,3,0.27563268023734633,256,0.0041186488557083305,0.027285898104310036,0.018364754,3.1804315745830536
45,27,48,14,3,0.2862462376100938,256,0.004313552099832902,0.02729211188852787,0.018977595,3.3536169677972794
46,30,45,12,3,0.07992837586020152,256,0.004808304919813014,0.026428518816828728,0.017636582,3.0967194586992264
47,29,51,12,3,0.08235427023794456,128,0.004988478358052256,0.026874318718910217,0.018403888,3.2448336482048035
48,30,59,9,3,0.03131522121468275,256,0.004738480802898327,0.026909254491329193,0.018069781,3.1748823821544647
49,27,53,11,3,0.09990658345440918,32,0.0048120901773719025,0.04913203790783882,0.0351972,6.078094616532326
50,31,46,13,3,0.06530044029092427,256,0.004525949241616823,0.0265151746571064,0.017782094,3.121826611459255
51,26,34,16,3,0.1415895485012952,256,0.0040881730544085025,0.027587149292230606,0.018978184,3.339869901537895
52,28,43,14,3,0.07190239458982858,256,0.003826947114786863,0.02839876152575016,0.020483699,3.555535525083542
53,30,40,12,3,0.11623315332244594,256,0.004583649187791432,0.026488838717341423,0.017756052,3.1207645311951637
54,30,40,12,3,0.11854198733546942,256,0.004535559643527154,0.026492411270737648,0.017766215,3.1227711588144302
55,3,55,9,3,0.0964008113205709,256,0.004310440762748385,0.02643566019833088,0.017482134,3.0602803453803062
56,2,31,9,3,0.056474996602828,256,0.004288068649339376,0.026530427858233452,0.017639995,3.0957913026213646
57,5,29,10,3,0.09476217298582948,256,0.0025493638998460772,0.026635343208909035,0.018273963,3.2176174223423004
58,4,49,9,3,0.0896131985532558,64,0.0019280023439588064,0.027514804154634476,0.018920561,3.3393356949090958
59,9,35,11,1,0.11183579369417274,256,0.004850195500930019,0.028256291523575783,0.019989295,3.4634672105312347
60,7,55,13,3,0.12692629971964267,128,0.00467426275237434,0.02857958897948265,0.020236557,3.524443507194519
61,1,60,15,3,0.1416502664821354,256,0.0043933106981786495,0.02660839445888996,0.017707687,3.1090399250388145
62,29,57,12,3,0.12233011041595215,256,0.004603478589493356,0.02659512124955654,0.017953167,3.1598877161741257
63,30,44,10,3,0.08919495310715743,256,0.0040517520898854225,0.026440998539328575,0.017697066,3.107200749218464
64,30,45,10,3,0.07407750240552073,256,0.004086115498220031,0.026552939787507057,0.017893534,3.1470928341150284
65,31,43,8,3,0.04919739298570869,256,0.0035412570078037636,0.02644854225218296,0.01751174,3.0620424076914787
66,31,44,8,3,0.01924131820165985,256,0.003552946767438169,0.02651694416999817,0.017558096,3.066202998161316
67,13,50,9,3,0.050125913317244995,32,0.0037608228809763904,0.08863136917352676,0.05984187,10.528761893510818
68,28,42,8,1,0.033261956368281706,256,0.0039251726031079,0.026747291907668114,0.017993022,3.157130256295204
69,26,46,10,3,0.05899724463464672,256,0.0032969419870192704,0.02639993466436863,0.017662281,3.098790906369686
70,26,46,10,3,0.0072069557492989295,64,0.0042307478473838705,0.027401190251111984,0.018746847,3.2963473349809647
71,17,47,11,3,0.041998225636771185,256,0.003044520576579281,0.0264934990555048,0.017454576,3.0485719442367554
72,27,43,9,3,0.06220971645107942,256,0.003524178518408092,0.02646523341536522,0.017498283,3.063502535223961
73,29,44,9,3,0.055434636731302486,256,0.003689507238086876,0.02650805003941059,0.017589366,3.083563409745693
74,28,43,8,3,0.06208128470263753,256,0.004005108777516851,0.02641420252621174,0.017484967,3.060138039290905
75,10,38,8,3,0.08693320661249583,256,0.004048633783810163,0.02643904648721218,0.017629867,3.0940353870391846
76,28,38,8,3,0.08727016817992414,256,0.004116267002121718,0.02644348330795765,0.017628685,3.0940430238842964
77,4,33,8,3,0.08900668359713833,256,0.004132638142048796,0.02646820619702339,0.017720543,3.112589381635189
78,26,37,11,3,0.07538106884737267,256,0.004435125971801537,0.02656511217355728,0.017491352,3.0491381883621216
79,28,39,10,3,0.09125920470542587,256,0.004011727775403076,0.026399804279208183,0.017616238,3.0900727957487106
80,21,39,10,3,0.10285909730502205,128,0.003963069027598851,0.026582976803183556,0.01809806,3.1831111758947372
81,28,38,10,3,0.08735248153898464,256,0.004201019854423239,0.026460621505975723,0.017706163,3.109591454267502
82,27,36,8,3,0.08066295768161172,256,0.003856097697877968,0.02642681822180748,0.017567217,3.080930933356285
83,27,36,9,3,0.07709918858614788,256,0.003819635277201779,0.026457589119672775,0.017498542,3.0663080513477325
84,10,35,11,3,0.06689643037970185,256,0.004027491591495739,0.026552269235253334,0.017489035,3.055511973798275
85,25,40,10,3,0.10978051950572079,256,0.004342400867461831,0.026503555476665497,0.017827835,3.1336624175310135
86,23,37,13,3,0.09854573407530023,32,0.003883763263639905,0.05470116063952446,0.036459286,6.321719288825989
87,12,53,9,1,0.032876118260013326,256,0.0037122142082432314,0.027343252673745155,0.01829175,3.214556723833084
88,29,48,8,3,0.08206241262077772,256,0.0033182133428218373,0.02646394446492195,0.017583884,3.0822373926639557
89,15,33,10,3,0.039849666628603196,256,0.004233426474947563,0.026449337601661682,0.01768295,3.1053051352500916
90,26,46,11,3,0.06715028672607631,64,0.003616569731669891,0.0268251895904541,0.017799372,3.098159283399582
91,28,39,8,3,0.09105985150262619,256,0.004037654556942467,0.02644065022468567,0.017619053,3.0918944627046585
