,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,2,62,23,3,0.09442376772438794,256,0.004881605748218031,0.1043490320444107,0.08123732,17.177511751651764
1,3,5,28,3,0.15774069440301194,256,0.0030521317532054004,0.04799487441778183,0.03168549,6.99014812707901
2,21,36,24,2,0.13578251469758043,128,0.0021644566706281844,0.048460543155670166,0.0335111,7.378491759300232
3,19,31,16,2,0.07127510258741644,256,0.002239481853690863,0.048118483275175095,0.031798124,6.960511952638626
4,2,6,21,1,0.20274249319748125,64,0.0028291069438667943,0.05876098573207855,0.043806646,9.417799860239029
5,4,32,23,2,0.056700598171513836,64,0.0028531326374849316,0.10068205744028091,0.07967018,16.920846700668335
6,10,27,20,3,0.1315982725783668,128,0.0012418823259780476,0.048691313713788986,0.033721372,7.410817593336105
7,2,13,9,3,0.17790888545773254,256,0.0026316949538847355,0.048072364181280136,0.031775914,7.0212580263614655
8,6,54,13,1,0.06279065557251336,256,0.0016535574713654388,0.04845752567052841,0.033060525,7.348079234361649
9,21,29,32,2,0.16773362384959603,128,0.0029108109681341724,0.11434676498174667,0.08879194,18.823343515396118
10,31,44,30,3,0.291214152968484,32,0.00393941287648472,0.08940888196229935,0.06768951,14.337493479251862
11,11,13,8,3,0.21834755321356566,256,0.0035232114843659636,0.04803253337740898,0.031693537,6.988442689180374
12,13,20,28,3,0.2522989516307289,256,0.0038333930596213535,0.04826761409640312,0.032203842,7.1503229439258575
13,9,17,8,3,0.005612969232645981,32,0.0036192387850699044,0.10879239439964294,0.0786345,16.67550355195999
14,15,45,13,3,0.21657026181609573,256,0.004445172113593075,0.04820884019136429,0.032182418,7.129925489425659
15,8,10,27,3,0.23939528508089644,256,0.003379012014618312,0.04821831360459328,0.032204688,7.1349650621414185
16,12,23,18,1,0.2848565468930667,256,0.004319674893962368,0.04988189786672592,0.033898238,7.331229001283646
17,17,24,12,3,0.19307966451295622,32,0.003297560953351854,0.08477919548749924,0.061268892,12.999933958053589
18,29,38,27,3,0.11303275793299558,64,0.00232327458907039,0.11792155355215073,0.094040535,20.125411450862885
19,7,13,16,1,0.23957974846491853,256,0.0032935245954167107,0.04876789078116417,0.032749318,7.297256588935852
20,5,7,25,3,0.15966520372211393,256,0.004347821070655868,0.04818830266594887,0.032102615,7.115195691585541
21,2,14,8,3,0.17735788795187926,256,0.002506246287456993,0.04804783686995506,0.031860445,7.054457068443298
22,4,5,10,3,0.21668965666133655,256,0.0017306955642934962,0.04819532111287117,0.032088622,7.126045972108841
23,26,32,11,3,0.14996350858520577,256,0.0031562392406850426,0.04811188206076622,0.031963054,7.0733048021793365
24,1,2,8,3,0.25607885228813454,256,0.0024954220215833104,0.0652986466884613,0.053492207,12.073712050914764
25,12,18,15,3,0.1832845531910124,256,0.0018858626240251671,0.048123884946107864,0.031952865,7.077562063932419
26,9,15,10,3,0.21464678679411428,64,0.00372621428531729,0.04833726957440376,0.03211277,6.987094134092331
27,5,11,18,3,0.11533002291524072,128,0.003542385181576275,0.04817349836230278,0.032631177,7.260844111442566
28,14,21,14,2,0.14830047245036038,32,0.0026226903687344106,0.07743998616933823,0.059598602,12.699498236179352
29,2,8,30,1,0.09778504012702144,256,0.00499148228331614,0.048079922795295715,0.032408904,7.188297808170319
30,10,16,20,3,0.26737717981119463,256,0.0030667898531972168,0.048455607146024704,0.032465693,7.133790105581284
31,1,3,8,3,0.17621102508135678,256,0.0028057808462511975,0.04858899489045143,0.03237634,7.0372216403484344
32,3,12,10,3,0.19718384852316526,256,0.0021216053027469724,0.04810444265604019,0.03177331,7.003963738679886
33,7,13,9,3,0.13770206602745455,256,0.002500103352218718,0.04805172234773636,0.031805586,7.030832767486572
34,6,15,11,2,0.13147865647877055,256,0.004064534125424543,0.04794799163937569,0.032449517,7.166659832000732
35,6,26,12,2,0.08537406132482178,128,0.004045339327889593,0.04823129624128342,0.031933032,7.019965350627899
36,11,19,22,2,0.12039409423225811,64,0.004721587590234991,0.10494296997785568,0.0779874,16.270330548286438
37,4,9,18,2,0.15191907630241397,256,0.004129622555340983,0.04892285540699959,0.033875205,7.576500624418259
38,3,58,11,2,0.03504797486952149,256,0.003534386764155679,0.048520974814891815,0.032870997,7.255491614341736
39,17,22,25,2,0.22618978942735685,128,0.0010408053916415873,0.04855510592460632,0.03330744,7.414378970861435
40,7,15,9,2,0.09584366872921254,256,0.004670231012051088,0.04803825542330742,0.03269698,7.151644676923752
41,7,14,9,2,0.13406870893953418,256,0.004584939878648849,0.04798217490315437,0.03256373,7.167517393827438
42,8,16,11,2,0.0886527266813355,256,0.004664079345796446,0.047922283411026,0.03242602,7.128928601741791
43,9,18,12,2,0.07493952751768149,256,0.004691502644286534,0.04813893139362335,0.031881876,7.031040638685226
44,11,16,13,2,0.045372258086015874,256,0.004445047459686904,0.056327495723962784,0.04066647,8.777004480361938
45,6,10,14,2,0.13066147270469033,32,0.004207033134073117,0.06914135068655014,0.05204954,10.87958961725235
46,8,12,11,2,0.1107744596037199,256,0.004826054892763253,0.04782746732234955,0.032473225,7.1585215628147125
47,5,26,16,2,0.10608898863902075,64,0.004913614721250603,0.04860193654894829,0.03371625,7.306253165006638
48,22,25,32,2,0.1354960586659491,256,0.004583281672091662,0.049460310488939285,0.034368154,7.428113371133804
49,8,49,11,2,0.12372754424744939,256,0.004841928063997934,0.04819740355014801,0.03252861,7.178399711847305
50,8,36,23,2,0.07991579311522304,128,0.00389954969076649,0.05365464836359024,0.039548058,8.708459883928299
51,10,20,10,2,0.10474708010058215,256,0.004519226718922398,0.04826023429632187,0.03218968,7.065682113170624
