,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,14,49,15,1,0.08791779866400724,64,0.0012169760643901003,0.05204495042562485,0.036471304,7.819614559412003
1,2,43,25,3,0.19823127806762758,128,0.003402677125200714,0.06595039367675781,0.049591403,10.771705955266953
2,5,25,8,2,0.22101588984637607,32,0.0024846172606103212,0.05490162596106529,0.038979176,8.509847521781921
3,10,38,12,2,0.29269340079466544,128,0.0028926595516834976,0.04817618429660797,0.032214396,7.144530862569809
4,8,17,23,3,0.19481106428452044,256,0.003281866755321825,0.04832398518919945,0.03206825,7.022073864936829
5,23,49,30,2,0.28851794422241533,256,0.00197469044189399,0.04851168766617775,0.0325897,7.225874811410904
6,7,58,32,3,0.19224577365665732,128,0.004472101489814879,0.08864545077085495,0.07260812,15.590131282806396
7,6,51,15,3,0.2963597041509319,256,0.0011893223726437206,0.04804201424121857,0.03193617,7.074101269245148
8,9,22,12,2,0.12552477249201371,32,0.0032694596426394297,0.06129428371787071,0.04462631,9.648372232913971
9,10,58,31,2,0.1815650844292002,128,0.0030141961537969,0.0631026104092598,0.04861152,10.228847712278366
10,22,35,18,1,0.00428070902932437,256,0.0010467535925885842,0.04914240539073944,0.03313268,7.239405810832977
11,16,36,11,3,0.2991253697847656,64,0.0043247047846951,0.0824849009513855,0.060628988,13.014735281467438
12,30,40,17,3,0.25618785674395195,256,0.001913373748512317,0.04825938865542412,0.031756677,6.978043913841248
13,1,62,14,2,0.26060040114486643,128,0.003918237127583295,0.049274612218141556,0.033547718,7.430173456668854
14,14,29,8,1,0.2522366330870105,256,0.002370039382586768,0.05932474508881569,0.045681868,9.529998898506165
15,21,49,22,2,0.07181385408863222,128,0.004998908935003277,0.09780345857143402,0.0710734,15.151134133338928
16,12,46,19,3,0.13641499135176433,64,0.001680334084353093,0.050918180495500565,0.035280477,7.589509338140488
17,4,8,11,3,0.23872342402834565,32,0.002529510931404963,0.06487826257944107,0.04507228,9.70689207315445
18,18,54,14,2,0.27671580506333116,256,0.0014673779393737153,0.048670437186956406,0.032424994,7.050507515668869
19,11,31,16,1,0.22432353861616885,128,0.003778867441076044,0.04944789409637451,0.03327435,7.3311880230903625
20,6,40,27,3,0.16295953901044036,128,0.002757960034374417,0.051869284361600876,0.036840983,7.905840873718262
21,31,40,16,3,0.2700802413269416,256,0.001990210847662802,0.0482538640499115,0.032154605,7.118723541498184
22,28,42,21,3,0.29289176765980923,256,0.0020897603717734787,0.04819384217262268,0.031874914,6.988529860973358
23,27,45,21,3,0.29956787125008655,256,0.0014841844393909697,0.048301320523023605,0.03194321,6.982003152370453
24,26,53,20,3,0.22893124675528936,256,0.002239362896290913,0.04818054288625717,0.031958483,7.020413875579834
25,18,53,13,2,0.22723001819104935,256,0.0028537445163118406,0.04844744876027107,0.031991377,7.004113495349884
26,26,54,19,3,0.24536202113037517,64,0.002277273021938888,0.049598999321460724,0.034693282,7.579091936349869
27,3,62,10,3,0.2690764367345387,32,0.0017380351199401478,0.0592520534992218,0.044700857,9.767589718103409
28,14,34,25,1,0.21189497341446778,256,0.001325075657545399,0.04842361807823181,0.032367963,7.098957896232605
29,13,51,15,2,0.07502761134585276,64,0.0011716403458617837,0.048682618886232376,0.032904867,7.319769263267517
30,17,57,17,1,0.2760671821393601,128,0.0027109052705427145,0.08328390121459961,0.06359569,13.424444198608398
31,28,46,20,3,0.28608087560593704,256,0.002148780609878925,0.04819397255778313,0.032088093,7.087312638759613
32,24,42,23,3,0.2948478427436622,256,0.0016955711108926999,0.04816088452935219,0.032066256,7.09681510925293
33,25,38,24,3,0.2466985765728575,256,0.0016621515962557353,0.04819202795624733,0.032010436,7.08271861076355
34,20,44,27,3,0.27052762508258743,256,0.0013380733176863143,0.04825148731470108,0.032179095,7.123108953237534
35,24,48,26,3,0.2342552936646915,256,0.0025278073889894864,0.04861576110124588,0.03287294,7.332775741815567
36,6,30,23,3,0.21425036591963365,32,0.0031712723763392915,0.10223732888698578,0.08115311,17.085424065589905
37,9,52,29,2,0.10752529463126012,128,0.0034673721048585327,0.05249025300145149,0.036834773,7.989175617694855
38,20,56,9,3,0.16642144263585518,256,0.0017980442924916992,0.048096995800733566,0.032024108,7.111725956201553
39,20,56,9,2,0.021031507378131947,256,0.0010546058283707924,0.04830843582749367,0.032233726,7.150838524103165
40,8,25,12,3,0.16740974172958922,128,0.0018954657876545911,0.04814606532454491,0.03204584,7.091168314218521
41,8,22,12,3,0.17935615164315397,128,0.0018317709664716977,0.04819222539663315,0.032146286,7.129044830799103
42,7,26,10,3,0.1339920458522828,128,0.0014113056932911962,0.048222579061985016,0.03208878,7.120296359062195
43,4,21,8,3,0.16403060842770756,128,0.0016703980262662136,0.05300367251038551,0.037522674,7.9728394746780396
44,22,59,12,3,0.04549199146351837,128,0.0015493996688446577,0.04838815703988075,0.03232938,7.159261405467987
45,11,33,13,3,0.10910383669594931,128,0.0019017445109041598,0.04834152013063431,0.032337405,7.162817567586899
46,2,16,10,2,0.19602795448529098,256,0.0012238023497646942,0.049836743623018265,0.03532132,7.909604907035828
47,9,38,14,3,0.1522502401368326,64,0.0036399141317551794,0.05198466032743454,0.036765058,8.02268162369728
48,15,50,9,1,0.17887030297078912,32,0.0010510455538328383,0.0505000539124012,0.034728687,7.51580074429512
49,6,27,11,2,0.20742175511478966,128,0.004007981903836073,0.05041302368044853,0.0351752,7.69965723156929
50,23,42,13,3,0.29045400451943093,256,0.0024472667281530535,0.048106227070093155,0.031968724,7.084720581769943
51,23,47,12,3,0.28698890810380434,256,0.003011170531633455,0.04813986271619797,0.032066923,7.109810411930084
52,23,42,13,3,0.28585180937390536,256,0.002982150571849055,0.04807248339056969,0.03186996,7.04730823636055
53,22,47,13,3,0.2577119142743107,256,0.003023702287423202,0.04811416193842888,0.03197515,7.08145797252655
54,22,48,15,3,0.28187890538330546,256,0.002989394045231738,0.04830388352274895,0.03234796,7.1990326046943665
55,19,44,13,3,0.26411195717354924,256,0.0031344335786486384,0.04807285591959953,0.031869423,7.044424116611481
56,20,44,15,3,0.26627010918261296,256,0.003362401383802588,0.0485130213201046,0.032769244,7.310678064823151
57,19,43,13,3,0.2554576845846597,256,0.002665858279230123,0.04810178652405739,0.03194256,7.0724233984947205
58,18,38,17,3,0.2546021950161405,256,0.002662274672035794,0.04818112403154373,0.031738132,6.9763898849487305
59,19,42,16,3,0.29936212267609996,256,0.002397720359920927,0.04828014224767685,0.032172963,7.120797783136368
60,16,41,9,3,0.24245341932214898,256,0.002613994085993988,0.0482633076608181,0.032355238,7.204562425613403
61,21,44,13,3,0.2594099598397657,256,0.0031799260858741255,0.048076048493385315,0.031874545,7.045261561870575
62,19,60,14,3,0.2816460184006915,256,0.003194254533651751,0.048013392835855484,0.031762704,7.0178501307964325
63,19,55,14,3,0.26248920197193726,256,0.0031606748783219825,0.04804985970258713,0.03188003,7.0597805082798
64,21,61,15,3,0.27671728181777555,256,0.0035199331455285014,0.04841332882642746,0.032607216,7.267329841852188
65,16,57,14,3,0.2668036094157631,256,0.00363491198082823,0.04803069680929184,0.031837888,7.044101506471634
66,17,59,14,1,0.2646242567713089,256,0.0031930609763744216,0.048725347965955734,0.032705322,7.227514684200287
67,15,55,18,3,0.27968698865248415,256,0.004137382287962029,0.048415396362543106,0.0325136,7.2314828634262085
