,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,13,52,19,3,0.019109596594438137,256,0.0028370676699020843,0.029275845736265182,0.020038558,3.4977853298187256
1,2,8,26,1,0.03538751936266449,64,0.0011745876925530704,0.027985328808426857,0.019627051,3.386164829134941
2,29,60,13,2,0.26060409599612916,32,0.00211717272061908,0.02720572054386139,0.018493375,3.227721154689789
3,5,32,21,2,0.1720559782569551,32,0.0014854630831447797,0.04069046303629875,0.025438093,4.394187778234482
4,25,49,22,3,0.13435989529858525,256,0.0027503239202706434,0.02664059028029442,0.018001074,3.1692281365394592
5,31,55,22,2,0.04626723493715205,256,0.0018477840689130184,0.02633400447666645,0.017339494,3.0348068103194237
6,9,11,8,2,0.06276116934452569,32,0.00393221497582961,0.036887798458337784,0.020860244,3.628087043762207
7,20,58,12,1,0.23248867724896144,32,0.0026805065097905206,0.04680488631129265,0.039119508,6.6826120018959045
8,1,9,15,3,0.2493567414296452,128,0.004155086034265294,0.026418477296829224,0.017464157,3.0596623197197914
9,18,29,13,2,0.07900786254027697,256,0.001412638332291934,0.026919478550553322,0.01844001,3.25169637799263
10,31,54,32,2,0.13080892715378065,128,0.004628537515065243,0.031998954713344574,0.020286739,3.533598780632019
11,23,40,17,3,0.2983064997586881,128,0.003942876967326301,0.02671356499195099,0.018133866,3.19475494325161
12,13,21,25,3,0.1973234834721812,128,0.003635427773683483,0.027293924242258072,0.01882929,3.28577421605587
13,1,22,16,3,0.22104486558292735,64,0.004950707574530909,0.03406991809606552,0.020499172,3.538428246974945
14,9,43,26,1,0.10233490924075928,256,0.0020534007334348345,0.026681335642933846,0.018221203,3.1845159828662872
15,24,47,30,2,0.299496478673169,128,0.0034963184814544492,0.02741432934999466,0.018468492,3.218189626932144
16,15,33,17,3,0.1836299580491233,128,0.001983120852748669,0.026501040905714035,0.01774657,3.119385242462158
17,8,17,8,3,0.10303300375791623,256,0.0034028203288182348,0.02636483497917652,0.017429156,3.05270254611969
18,8,19,8,2,0.05777086129858924,256,0.003311969713812955,0.026738835498690605,0.01813149,3.1814903020858765
19,27,56,23,1,0.10307358193475112,256,0.0030571192810829994,0.026608137413859367,0.018035134,3.1489674001932144
20,20,62,28,3,0.004852443871357706,256,0.0023971606323578234,0.02645484358072281,0.017874217,3.137800469994545
21,5,14,10,3,0.10031153661671102,256,0.004343604062551948,0.026434537023305893,0.017581642,3.0857788398861885
22,5,6,19,3,0.14830637710263583,64,0.004102695793213652,0.039543766528367996,0.02164225,3.7987586110830307
23,11,25,14,3,0.05033533834127664,128,0.0031183957697110526,0.026798533275723457,0.018271444,3.2210469245910645
24,3,16,11,3,0.08336282743003441,256,0.003747865515098388,0.02640395425260067,0.017413339,3.0455034226179123
25,7,16,10,2,0.08246422137819816,256,0.003572786303924913,0.026394231244921684,0.017419536,3.042217530310154
26,16,26,9,2,0.03200984315446261,256,0.0033033400715934175,0.02627059631049633,0.017414423,3.049459308385849
27,16,26,8,2,0.02481237351072682,256,0.002400900873880854,0.0265858955681324,0.018044896,3.173190727829933
28,20,37,24,2,0.04004510018847744,256,0.003275712580450241,0.026520250365138054,0.017582757,3.0859405174851418
29,13,34,20,2,0.009142474663310363,256,0.0029142863180805076,0.026256989687681198,0.017495122,3.057866543531418
30,11,37,19,2,0.010232312232495593,256,0.001847326906460612,0.02682560496032238,0.018223988,3.1737536191940308
31,14,33,20,2,0.021096938768297824,256,0.0028538614430129415,0.026364829391241074,0.017731786,3.1113993376493454
32,14,33,20,2,0.03187445717602265,256,0.0028841669502759505,0.026444457471370697,0.017802969,3.126869723200798
33,17,29,18,2,0.0030576062721941466,64,0.0023904524728459507,0.03840634971857071,0.024324818,4.216143861413002
34,12,42,21,2,0.028327546682420716,256,0.0016844428403412074,0.026341399177908897,0.017628588,3.0845796689391136
35,11,50,22,2,0.04443612192192864,256,0.0016703844982485572,0.026392683386802673,0.01745962,3.0658291652798653
36,22,43,22,2,0.06674355497360165,32,0.00113640190834481,0.02784355916082859,0.019570366,3.4567929804325104
37,12,44,28,2,0.025088933640155325,256,0.0013574978128562216,0.02690209448337555,0.018078776,3.1657956540584564
38,17,39,24,1,0.040714366668862814,32,0.0016500746242091302,0.038533199578523636,0.029734649,5.067603290081024
39,26,36,21,2,0.07075604923818349,256,0.0025514188604069316,0.026558101177215576,0.017919444,3.1241953372955322
40,19,46,28,2,0.013542317948825593,64,0.0010463002390330312,0.028034724295139313,0.019476332,3.376656025648117
41,14,31,20,2,0.023067357602885273,256,0.0028953814738119322,0.026417255401611328,0.017780019,3.12026496976614
42,15,26,20,2,0.05470292223431928,256,0.0022062873527075692,0.026187635958194733,0.017439933,3.0532147735357285
43,16,24,26,2,0.05314303839788467,256,0.002230224840530853,0.02647402510046959,0.017467339,3.0498959124088287
44,30,35,18,2,0.001626413473677678,256,0.0018381638161303546,0.02625357359647751,0.01743538,3.0390048399567604
45,31,35,15,2,0.00132596812533297,256,0.002637555929440056,0.026417752727866173,0.017542161,3.072592429816723
46,29,51,18,2,0.11712752683562742,256,0.0018564003691463118,0.027270499616861343,0.018867614,3.329472616314888
47,29,40,23,1,0.039948538828509655,32,0.00218599566433942,0.06287670135498047,0.04726229,8.167015016078949
48,28,31,16,2,0.06293284576181186,256,0.0012943578227949336,0.02637626603245735,0.017486531,3.075125627219677
49,22,27,13,2,0.014315497596625064,256,0.0015424924941534485,0.026797795668244362,0.018359678,3.236132487654686
50,31,53,18,2,0.07603793572699133,64,0.0019229969209377507,0.02914181910455227,0.019320581,3.3898424357175827
51,13,28,21,2,0.0313290022949523,256,0.0016931717514203533,0.026269851252436638,0.017508954,3.0650949105620384
52,18,28,23,2,0.03420530619006428,256,0.0021042871728585042,0.026380179449915886,0.017358854,3.030845895409584
53,15,21,21,2,0.052698097447143544,256,0.0017520645195609132,0.026248494163155556,0.017475875,3.0599454417824745
54,15,23,19,2,0.00037924955734162935,256,0.0015071468633130567,0.02677779085934162,0.018141922,3.161315992474556
55,13,21,21,2,0.0895165875011149,256,0.0017526075943551304,0.026224348694086075,0.017436557,3.054019995033741
56,10,20,21,1,0.05240404286768407,256,0.0017324799449600007,0.027646426111459732,0.01938461,3.372172638773918
57,13,22,17,2,0.09316531813963869,256,0.001230329544296633,0.026274187490344048,0.017377464,3.0412282794713974
58,13,29,21,2,0.05969669214069566,128,0.0020358069785177423,0.028124818578362465,0.019204725,3.327171877026558
59,15,19,22,2,0.1267877115591926,256,0.0015100031726357625,0.02634943090379238,0.0173198,3.0277101323008537
60,10,24,19,2,0.08933958605610431,32,0.002269373077597261,0.05583462864160538,0.039127383,6.747936457395554
61,16,26,24,2,0.011877445368385534,256,0.0032536403846010788,0.02645939774811268,0.017517257,3.0622538179159164
62,12,30,20,2,0.16959672754801602,256,0.0018037002790205466,0.026300037279725075,0.01740213,3.0410900712013245
63,18,27,25,2,0.03340862054259105,256,0.0037517601591610075,0.026444636285305023,0.017656742,3.08636836707592
64,14,21,16,2,0.04790648677071922,256,0.0020173873493465077,0.026358885690569878,0.017521085,3.063502535223961
65,17,25,18,2,0.018351871471378928,256,0.0025287861603248097,0.026377378031611443,0.017661318,3.0989671126008034
66,15,34,22,2,0.07190773907326248,256,0.0030891835832506285,0.026369629427790642,0.017374523,3.0398886650800705
67,19,24,20,1,0.1119908522689844,256,0.0027474574974800207,0.026950841769576073,0.018193552,3.1903699040412903
68,9,13,23,2,0.03175323509205295,128,0.0014343540368022879,0.02647133730351925,0.017492246,3.050124831497669
69,13,19,12,2,0.05561925370722276,256,0.003444230238845141,0.026315705850720406,0.017351575,3.043142147362232
70,16,22,9,2,0.007899182131030484,64,0.0016070041150825706,0.026250028982758522,0.017352078,3.0276117846369743
71,16,22,10,2,0.01246739112579517,64,0.0018805503486717255,0.02742776833474636,0.019078162,3.312329202890396
72,15,20,9,2,0.020546964643189912,64,0.001626448113165479,0.02626163326203823,0.017491011,3.062842972576618
73,14,17,11,2,0.007698818441508201,64,0.001651351721785975,0.027975091710686684,0.019584931,3.384808823466301
74,12,20,9,2,0.019697065923560894,64,0.0015660989526525755,0.026249578222632408,0.017445708,3.053879179060459
75,12,20,9,2,0.024108452803490648,64,0.0013435049501932753,0.026251930743455887,0.017450484,3.0565064400434494
76,7,13,12,2,0.04144129406856255,64,0.0013262216810879409,0.02638223022222519,0.017336404,3.0284933745861053
77,11,15,9,2,0.020698466221219406,64,0.0010837556627812483,0.026221929118037224,0.017324537,3.0299533158540726
78,10,16,9,3,0.020587234616725746,64,0.001075339731758925,0.026385685428977013,0.017394256,3.0407097190618515
79,11,14,10,2,0.046156991617464824,64,0.0010153246490640835,0.02636605314910412,0.0174224,3.0511992052197456
80,7,10,9,2,0.27839153435521746,64,0.0012219362026049297,0.02627425082027912,0.017362019,3.038224019110203
81,11,18,11,2,0.006745594612798191,64,0.0014166004789223938,0.027348250150680542,0.018817268,3.2970931380987167
82,12,17,8,2,0.025620924565556508,64,0.001767647275649919,0.028671659529209137,0.01958465,3.3994652330875397
83,12,22,8,2,0.01850211746769887,64,0.0011717688503371454,0.02752864360809326,0.019127905,3.3157531172037125
84,9,20,9,2,2.1239996548710893e-05,64,0.0015578676116685664,0.02625952661037445,0.017517641,3.069721534848213
85,13,18,10,2,0.14308791522199854,64,0.0013132410101252734,0.02640438824892044,0.0174194,3.043675050139427
86,8,15,32,1,0.03783037610721589,64,0.0014177551961183912,0.02829515002667904,0.020002907,3.4619037061929703
87,10,38,11,2,0.010858659898063429,64,0.0019646082911290415,0.02665320597589016,0.018168334,3.17741259932518
88,17,21,14,2,0.026665126736224284,64,0.0021760258685815173,0.02762613445520401,0.019164585,3.331112861633301
89,14,19,8,3,0.06572710680942745,32,0.0015950182599823919,0.026404879987239838,0.017509108,3.069675713777542
90,15,23,20,2,0.007752090512391285,64,0.002292959374783159,0.02881818264722824,0.020251635,3.4955959767103195
91,6,12,9,2,0.001548288348104213,64,0.0017665220709888016,0.026545444503426552,0.018099518,3.183651342988014
92,9,21,10,2,0.016187230600299224,64,0.0015540480416414391,0.02664588950574398,0.01794337,3.1437095254659653
93,11,20,9,2,0.0007603207321983651,64,0.0012758820803551152,0.026262158527970314,0.01747616,3.0638080090284348
94,12,23,12,2,0.023835920909901515,64,0.0014665757536133643,0.026397667825222015,0.01758279,3.078136593103409
95,14,25,19,2,0.015479287786169634,128,0.001893677876262335,0.02733748033642769,0.018920772,3.295307606458664
96,10,15,8,2,0.22519628738267639,64,0.0013784985425333229,0.02748900279402733,0.018751016,3.2533176243305206
97,8,18,11,2,0.0071164288585552175,64,0.0020938780484856725,0.027259189635515213,0.018558113,3.2459646463394165
98,13,35,13,2,0.0464458502756399,64,0.001590494064089833,0.02624136582016945,0.017405696,3.0365463346242905
99,13,36,21,2,0.05066002467861232,32,0.004781242679428673,0.05765274539589882,0.043573994,7.517029345035553
