,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,22,43,32,3,0.04461325378892421,64,0.004285633189301264,0.08917436748743057,0.06765019,14.122594892978668
1,6,46,10,2,0.03110874455024741,128,0.0024039726439129766,0.04992879182100296,0.03450505,7.454413175582886
2,18,31,27,2,0.06496735447190545,32,0.0017361179302819605,0.16516579687595367,0.12564841,26.031935214996338
3,31,38,20,2,0.1697937890209797,256,0.0017467001417819494,0.04777578264474869,0.031598542,6.944817304611206
4,31,38,22,2,0.15192373923948826,256,0.00236539308334532,0.05060603842139244,0.034980197,7.50807523727417
5,1,16,32,1,0.24070561205567753,256,0.004304833692642762,0.04937055706977844,0.033710793,7.273737341165543
6,14,22,14,1,0.10954460004257845,256,0.0037088841556604845,0.05737151578068733,0.042917773,9.009017795324326
7,27,43,11,1,0.2961536363970218,128,0.002347024411291745,0.0481342151761055,0.032267783,7.086106389760971
8,19,20,11,3,0.29101699453164914,256,0.0014008026898292263,0.04833295941352844,0.032500997,7.243627309799194
9,21,57,28,3,0.2050369332642692,256,0.0019098614508474374,0.04788563400506973,0.032116093,7.08165243268013
10,12,60,18,2,0.16877321635405093,32,0.0010022333280342486,0.0488564558327198,0.034327496,7.318268716335297
11,24,62,23,3,0.21224676602948972,256,0.0029739335491707217,0.05334431305527687,0.03788908,8.07277262210846
12,31,55,26,3,0.20852989133341077,64,0.0018521329262061188,0.10546274483203888,0.073606394,15.287424623966217
13,26,52,16,2,0.10493761974864023,256,0.0031041699756981372,0.048052139580249786,0.03256228,7.113017141819
14,9,32,28,3,0.18635420347063772,256,0.0010011139423100226,0.04784572124481201,0.031769965,7.044703513383865
15,10,31,22,3,0.11302304042209427,256,0.0011044432015789884,0.04808921739459038,0.03182953,6.973119080066681
16,7,9,19,2,0.17289668267790126,32,0.0014926345801499412,0.1220703199505806,0.08569379,17.778168618679047
17,1,27,29,2,0.25099053546478484,128,0.002833446285428414,0.05210309103131294,0.037311427,7.887265831232071
18,7,38,24,3,0.13382958182160215,64,0.004827335159987663,0.10251498967409134,0.0735473,15.176524221897125
19,16,33,15,1,0.06917857077041316,256,0.0014125877641239558,0.048808567225933075,0.032834977,7.178191095590591
20,4,49,20,3,0.0006249938240883712,256,0.002112254807203468,0.048173680901527405,0.03211027,7.058751583099365
21,28,38,29,3,0.1962762494903763,256,0.001913320105966195,0.054147519171237946,0.03874316,8.314177393913269
22,23,36,26,3,0.18211266483625865,256,0.0012947141579131784,0.048095885664224625,0.032044634,7.052852958440781
23,20,57,29,3,0.23203576919491042,256,0.0015423384127633468,0.057096391916275024,0.041042205,8.604022860527039
24,10,26,25,3,0.2682432673358371,256,0.0020317793694676024,0.04818541556596756,0.032323062,7.188259810209274
25,16,44,21,2,0.1468798029741152,256,0.0026915202774533123,0.05326404049992561,0.03789918,8.013831824064255
26,12,49,17,3,0.2235840074062473,64,0.001759873841615163,0.05266854539513588,0.03777583,7.970596104860306
27,29,41,28,3,0.19112923986378308,128,0.001129804162241982,0.050324663519859314,0.03490673,7.4988313019275665
28,24,33,13,1,0.15386351339064386,32,0.0032817003947794446,0.17132334411144257,0.13775441,28.50746214389801
29,20,40,30,2,0.1259677680420985,256,0.0035544672720562915,0.049301497638225555,0.033756822,7.27575421333313
30,21,47,32,3,0.257775280754996,64,0.0026262274414427618,0.08479664474725723,0.059906915,12.440192699432373
31,26,53,17,2,0.08191187011052306,256,0.0032892920614132288,0.060578059405088425,0.046000805,9.502529352903366
32,29,52,17,2,0.09594587332888668,256,0.0038425932484597277,0.058562982827425,0.043314837,8.984196931123734
33,24,58,15,2,0.20535518258811414,256,0.002159829127118292,0.04815731197595596,0.032203097,7.167252898216248
34,26,52,20,2,0.16631861970395947,256,0.0016466569840247827,0.04784933850169182,0.03169357,7.010043412446976
35,30,56,20,2,0.17003130866244962,128,0.0015628613649825958,0.04907748103141785,0.033744246,7.263094186782837
36,18,35,24,2,0.15087389493543102,256,0.001730288765298292,0.04822887107729912,0.03206626,7.123317569494247
37,26,46,8,2,0.22358841582023029,32,0.002425155117915789,0.06487293541431427,0.041039634,8.845789730548859
38,22,49,22,1,0.18743066100792308,256,0.0012010494148238051,0.04932645335793495,0.033631805,7.2434283792972565
39,18,61,31,2,0.13230792897380977,256,0.0016243387371217485,0.04810434579849243,0.03202918,7.121771574020386
40,31,59,27,3,0.16046167572807937,256,0.0022256458856475003,0.04803600534796715,0.03187651,7.067114859819412
41,31,59,27,3,0.1622490421799077,256,0.0022657249324704466,0.04803396016359329,0.03187108,7.065432518720627
42,28,53,27,3,0.18159408072784475,256,0.0019478358996070462,0.0480317585170269,0.031854,7.058387994766235
43,28,54,24,3,0.18006289603623518,256,0.0019914992667161113,0.05591581389307976,0.040963266,8.616797626018524
44,25,50,20,3,0.20122115341539792,256,0.001360826635807019,0.04829232394695282,0.03239641,7.217994332313538
45,27,56,31,3,0.20711711284931253,256,0.0010241924535719718,0.04801991954445839,0.03191959,7.026905566453934
46,22,62,30,1,0.21784092338000055,128,0.0010551715740428997,0.051337871700525284,0.036017116,7.686347514390945
47,14,29,19,3,0.23411602561386397,32,0.0010161725830625157,0.0933673307299614,0.07037572,14.646227657794952
48,26,42,32,2,0.14128227498038604,64,0.0012558747827457353,0.05904649570584297,0.043591738,9.118130058050156
49,27,56,31,3,0.2776214700961755,256,0.0016617246320419414,0.04811174422502518,0.0322082,7.057695835828781
50,29,51,23,2,0.21036486643697838,256,0.002477450822674321,0.047926079481840134,0.03168555,7.0227861404418945
51,29,51,22,2,0.20204200028206454,256,0.002610304582356394,0.050762731581926346,0.03507578,7.554499059915543
52,30,55,25,2,0.2419740195704201,256,0.0024550493650264092,0.048056554049253464,0.031945746,7.0380836725234985
53,27,47,23,2,0.21263573214346482,256,0.0018078886221831003,0.0481010302901268,0.031892143,7.095111906528473
54,3,23,19,2,0.17056576658015707,256,0.0014383681629376321,0.04986092820763588,0.034267683,7.391613721847534
55,25,39,30,2,0.24898642661065457,256,0.0012762530527231824,0.04798543453216553,0.03183712,6.981204450130463
56,23,44,28,2,0.2511888869680373,256,0.001280577666012677,0.04808535426855087,0.031900685,7.022162526845932
57,30,36,21,2,0.2729266803418876,256,0.0014834790554768466,0.04808137193322182,0.031968158,6.992492079734802
58,8,31,26,2,0.22966951428599067,128,0.0018623861434728653,0.05095744505524635,0.035322502,7.594811916351318
59,24,38,28,2,0.19259687174814963,256,0.0016583026245224133,0.04856730252504349,0.032586437,7.070048153400421
60,25,33,18,1,0.28437938755438114,64,0.002062859885137832,0.05941655859351158,0.045292407,9.402421861886978
61,28,40,30,3,0.20834913614384612,256,0.0011736821652887665,0.05008313059806824,0.03462352,7.513163238763809
62,25,35,31,2,0.1790056713153909,256,0.0013906713040565035,0.04793267697095871,0.031650383,6.984247267246246
63,21,36,29,2,0.17926892818157447,256,0.0014042283390423497,0.04851733520627022,0.032343417,7.145128399133682
64,25,35,21,2,0.1630799638876913,256,0.004875554072146051,0.05466937646269798,0.038600832,8.162293583154678
65,23,39,30,2,0.12232283767411696,32,0.0013232298069628219,0.09699580073356628,0.06610008,13.750684261322021
66,15,31,32,2,0.26131044072908316,256,0.0015351611332675885,0.04782542958855629,0.031632062,6.966889649629593
67,13,29,32,2,0.029769246220991613,256,0.0015449434325395626,0.048393458127975464,0.03238464,7.053894549608231
68,17,31,23,2,0.298899370950295,256,0.001744488484529231,0.04808143526315689,0.03188642,7.0819370448589325
69,10,18,31,2,0.19172373543008092,256,0.00188641394581728,0.04793543741106987,0.031627387,6.949631869792938
70,5,25,29,2,0.2631423609481585,256,0.004387011838925503,0.051510632038116455,0.036201175,7.712142169475555
71,10,16,31,2,0.1884136874421498,256,0.0018866791479705811,0.04802688583731651,0.031983536,7.104596495628357
72,9,18,32,2,0.196034605047597,256,0.002315752039341577,0.04849259927868843,0.03251159,7.062047719955444
73,15,34,31,2,0.17442718819529784,256,0.00298664325952938,0.04797013849020004,0.0317049,7.005361467599869
74,8,10,25,2,0.15458891541499759,256,0.0021325575293447874,0.04805523157119751,0.03209764,7.05757737159729
75,11,23,28,2,0.18634882419879426,256,0.001587819652128103,0.04792873188853264,0.031859793,7.0356860756874084
76,12,29,26,1,0.2215057494240386,64,0.0016077925259676729,0.04922793433070183,0.033658877,7.180146872997284
77,14,27,28,2,0.14201857242632387,128,0.0011445308197016437,0.04983256012201309,0.03432998,7.369823753833771
78,11,24,18,2,0.16830456947298028,256,0.0014545589858711843,0.048027414828538895,0.032009184,7.098159939050674
79,19,32,29,2,0.15785985892449397,32,0.001658989563789243,0.12832945585250854,0.100643486,21.177513897418976
80,6,12,27,3,0.1739263877617737,256,0.0015217224622658325,0.04811752960085869,0.03203232,7.11197704076767
81,11,20,28,2,0.18599478530440205,256,0.0019886066745356925,0.04796918109059334,0.031882282,6.984533369541168
82,9,20,20,2,0.1990055406692719,256,0.0017736330949096042,0.047694187611341476,0.031431645,6.930556148290634
83,8,21,22,2,0.19847604447141018,256,0.0017869736418524057,0.04889652132987976,0.032784417,7.132185995578766
84,11,27,20,2,0.21833030619186497,256,0.0017030851132638816,0.04789937287569046,0.031931877,7.098069787025452
85,11,27,19,2,0.21317969853415897,256,0.0021667613539259143,0.05743590369820595,0.04336036,9.062851965427399
86,9,28,21,3,0.2359211723908909,256,0.002467042157159637,0.04875626415014267,0.03277825,7.149267941713333
87,13,24,20,2,0.19896666799702487,256,0.0028616510766411797,0.04833009093999863,0.032466415,7.037161290645599
88,17,23,18,1,0.22616555518141795,256,0.0017759017110787875,0.04943997785449028,0.033963084,7.363051921129227
89,13,26,23,2,0.21537888527769433,256,0.0017119911368694784,0.04799896106123924,0.031701516,7.0218391716480255
90,7,30,16,3,0.147025588730368,128,0.0020584478253188637,0.05087155103683472,0.035150565,7.474781572818756
91,29,32,20,2,0.1795232161427666,256,0.0013720654948347756,0.0481402762234211,0.032197878,7.172342389822006
92,9,22,21,2,0.24212318795172022,256,0.001574097781857258,0.04783932864665985,0.031662878,6.968347728252411
93,9,20,21,2,0.2406924793187259,256,0.0015766037326179671,0.047857969999313354,0.031631414,6.949307024478912
94,9,19,21,2,0.2602697855901633,256,0.001962674785685362,0.047952961176633835,0.031785395,6.974662095308304
95,7,17,19,2,0.23500610776349962,256,0.0018489399204412074,0.05991208925843239,0.04586701,9.570258110761642
96,9,21,21,2,0.24490052305920815,64,0.0015055351070999,0.0849991887807846,0.059576854,12.416674941778183
97,6,14,22,3,0.2561205714090695,256,0.003097262228544315,0.04920434579253197,0.033265766,7.1548424661159515
98,30,32,20,2,0.2402188903951409,256,0.0016616104441912539,0.04796038568019867,0.03202736,7.1264877915382385
99,31,37,24,2,0.2284373173520816,32,0.0025291840398195082,0.11556719988584518,0.09079994,18.819017708301544
