,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,26,43,30,1,0.06204242480782759,128,0.00402139876008212,0.04979164898395538,0.03377624,7.322465628385544
1,15,53,16,1,0.10229536925708047,128,0.004065127943553998,0.048446524888277054,0.03219059,7.099588215351105
2,31,51,23,3,0.1504473282045884,32,0.004753116996010153,0.0796605795621872,0.060100082,12.924744188785553
3,15,54,25,2,0.036313102667779894,128,0.0042995635417386845,0.048271194100379944,0.032083064,7.067417353391647
4,7,33,19,2,0.280482517886308,256,0.0029844202512725767,0.04840124398469925,0.032560125,7.250332832336426
5,24,59,22,2,0.08431406746030927,128,0.002771587313729754,0.04996673762798309,0.034121644,7.4605390429496765
6,29,54,9,1,0.269450629666812,64,0.00465919574658346,0.06218695640563965,0.04550378,9.590216726064682
7,22,62,17,1,0.16641015405351203,32,0.0024788749214900165,0.10584455728530884,0.08099791,16.945810616016388
8,17,44,27,1,0.15653521960565212,32,0.004680806645294543,0.11902041733264923,0.09012012,19.224005937576294
9,8,32,15,3,0.08123984345108108,128,0.004411992517767346,0.04799431189894676,0.031726453,7.012620568275452
10,2,9,10,3,0.013580158833227496,256,0.0015567544158188542,0.04804772511124611,0.031916495,7.070057839155197
11,1,8,10,3,0.009272805062161191,256,0.0010895451760440668,0.04812048375606537,0.031789105,7.023131102323532
12,6,16,14,3,0.010830845712147808,256,0.0016645646566158668,0.04805774614214897,0.031828385,7.045907527208328
13,6,24,12,3,0.11219009460923171,64,0.003572931595136046,0.04816869646310806,0.032157853,7.149655371904373
14,1,2,8,3,0.22478063987679262,256,0.0022602959094645205,0.05473928153514862,0.041179966,9.319989383220673
15,11,29,13,3,0.05663566325639828,128,0.003416008141293754,0.0480518564581871,0.031682447,6.9718919694423676
16,10,22,16,3,0.0006182762086289206,256,0.0019684153973494028,0.049319252371788025,0.033699453,7.377681881189346
17,4,15,11,3,0.12332013832088043,64,0.0012106103330973667,0.047991879284381866,0.031688266,6.996577233076096
18,11,37,19,3,0.19183992768731004,64,0.003429019664662885,0.05135922133922577,0.03588108,7.6268017292022705
19,4,18,12,3,0.11362755090863487,64,0.0010063139326258797,0.04806055501103401,0.031694744,6.95190355181694
20,19,37,15,2,0.20025132485645933,64,0.0037669118471102673,0.0484379306435585,0.032447003,7.1879856288433075
21,3,12,11,3,0.07627484841707566,64,0.0015521405352279687,0.04799940437078476,0.031640965,6.9656141102313995
22,9,27,11,3,0.08140700504774351,64,0.0016022754450417073,0.048067886382341385,0.03193102,7.082468271255493
23,4,14,8,3,0.1182101227780018,64,0.001269497206974818,0.04807315394282341,0.031697992,6.9523341953754425
24,13,21,14,3,0.13344239126570423,64,0.0020530539383363986,0.04806680977344513,0.031804036,7.018197327852249
25,4,11,18,3,0.047806927907902946,128,0.0013388477004864156,0.05018794909119606,0.03405624,7.333549112081528
26,8,30,21,3,0.08091096345106126,64,0.0025765820319311574,0.04803156852722168,0.031913187,7.067003101110458
27,4,7,12,3,0.1341768102503646,64,0.0019060631092699932,0.0486326590180397,0.033027995,7.383949309587479
28,13,19,14,2,0.035693648016559464,128,0.0031922050376119544,0.04814615845680237,0.031751115,6.9976747035980225
29,6,42,31,3,0.0727993004328997,128,0.004373141335823028,0.051750246435403824,0.036172606,7.697942852973938
30,3,13,10,1,0.09907217321598373,32,0.0022718740707482936,0.050007425248622894,0.033480793,7.262216508388519
31,8,31,21,3,0.08778206892439033,64,0.002731065054585082,0.04869655519723892,0.033158384,7.412662357091904
32,8,25,24,3,0.06808871407419026,64,0.001394454382541165,0.048304326832294464,0.031931527,6.966362148523331
33,13,33,26,3,0.13327383008884944,64,0.0038976945975500773,0.10257849097251892,0.07666428,16.269800066947937
34,6,42,16,3,0.033240586967248416,64,0.001772615488533848,0.0681036114692688,0.052026145,11.31426990032196
35,9,47,28,3,0.09965442916545993,128,0.00416498794590213,0.0581098236143589,0.04320121,9.34404581785202
36,2,37,20,2,0.05934175388867906,64,0.004977658465495697,0.10204779356718063,0.07888188,16.598060727119446
37,5,27,22,1,0.09626737858909182,128,0.002671869230047664,0.04955056682229042,0.033412684,7.215842604637146
38,18,23,18,3,0.17516762495003926,32,0.0029621034036923346,0.08028770238161087,0.058915805,12.63582706451416
39,15,33,17,2,0.12278135232105125,64,0.0022111668544199034,0.05828072130680084,0.04391586,9.22953188419342
40,27,47,23,1,0.1473710839772679,128,0.0012143687024141793,0.048471786081790924,0.032728504,7.275534421205521
41,2,4,10,3,0.028224107965247117,256,0.0016147841503526411,0.04806879535317421,0.03190526,7.066847383975983
42,1,9,9,3,0.04919059680929683,256,0.0014644618563726263,0.048090819269418716,0.031957433,7.086319476366043
43,7,16,11,3,0.018735968218754673,256,0.0017796568096279492,0.048079974949359894,0.031978875,7.09729865193367
44,3,12,13,3,0.07450616047490424,256,0.0011866779298059747,0.04810064285993576,0.031976532,7.08812028169632
45,7,16,11,3,0.0835280886864883,32,0.004409509750300646,0.04901411756873131,0.033585433,7.507839798927307
46,2,7,9,3,0.049983898045441136,64,0.0025543889401004444,0.05750942975282669,0.043035094,8.994623273611069
47,5,10,13,3,0.02239664375220702,256,0.0014850211893545702,0.048087216913700104,0.031869464,7.0491984486579895
48,11,19,16,1,0.10978156537771866,64,0.002122662734190877,0.048453301191329956,0.03226523,7.107657194137573
49,20,25,8,3,0.1489201156424501,128,0.0024104759375144945,0.048086877912282944,0.031973705,7.0953890681266785
50,3,5,15,3,0.299456744542176,256,0.0031248963243775164,0.04801328107714653,0.031794414,7.03987330198288
51,3,5,15,3,0.251326086310371,256,0.0030825232218939422,0.04799818620085716,0.031726953,7.013276964426041
52,3,6,15,3,0.2529520785585488,256,0.0031760194526499474,0.048011038452386856,0.031775262,7.032224535942078
53,3,5,15,3,0.29563265856541815,256,0.003158771437297398,0.048007361590862274,0.03177684,7.033587992191315
54,1,3,15,3,0.25175387825700396,256,0.0029394384309487285,0.04805302992463112,0.031733308,7.005089521408081
55,5,8,17,3,0.25185800288383514,256,0.0036367384844511077,0.04830222949385643,0.032418497,7.2220876812934875
56,3,6,13,3,0.2732193489933705,256,0.003352772431868475,0.04800877347588539,0.031656027,6.974902004003525
57,5,14,13,2,0.27818314261268234,256,0.003454255808938179,0.0483643002808094,0.032523297,7.250095158815384
58,1,2,14,3,0.2998098069895748,256,0.0032633361399469424,0.05050591379404068,0.03487839,7.443647086620331
59,4,11,12,3,0.2639969822474977,256,0.0038840115831396318,0.048097576946020126,0.032000892,7.103680819272995
60,6,9,18,3,0.2289657113739574,256,0.0037020215432556312,0.04825662076473236,0.032040764,7.089655846357346
61,3,6,15,3,0.2868935061407415,256,0.002876137563261518,0.04802314564585686,0.031806223,7.043416053056717
62,2,6,14,3,0.23761885049298875,256,0.0033375453306316465,0.0481010265648365,0.03190483,7.06544890999794
63,3,6,12,3,0.20527687876211786,256,0.0030957197817081386,0.04815094918012619,0.032103088,7.133505493402481
64,4,58,11,3,0.25745980521692435,256,0.003517601996662811,0.04798661917448044,0.03170438,7.003546506166458
65,31,62,11,3,0.2866528296497378,32,0.004505959923651571,0.04966646060347557,0.033987995,7.598686963319778
66,7,14,10,3,0.2668344327729239,128,0.0035338051141811746,0.04819343611598015,0.031848002,7.011733949184418
67,4,53,13,3,0.27392296379864434,256,0.004007184370437256,0.048192717134952545,0.032197032,7.158929109573364
68,5,56,12,2,0.23837677863100956,256,0.004839464911860406,0.04822748526930809,0.032287233,7.183805853128433
69,9,12,11,1,0.2892088489144593,128,0.001061253237023728,0.04859928786754608,0.03235488,7.11032971739769
70,2,60,16,3,0.2196862471139911,256,0.004233602594907756,0.05680224671959877,0.042850804,9.094352275133133
71,3,8,14,3,0.2606773113804621,256,0.0030325258299666894,0.0481647253036499,0.032147896,7.13835284113884
72,6,10,17,3,0.24921365207559248,256,0.002800583692213653,0.04816064238548279,0.032120857,7.1394577622413635
73,4,40,9,3,0.16936494697101503,256,0.003300629909301855,0.0480976477265358,0.031998087,7.100173085927963
74,1,4,19,3,0.21465342701827778,64,0.0033812345335607606,0.04804735258221626,0.031798486,7.035551220178604
75,24,26,15,3,0.25854670515486267,256,0.003193244384295288,0.04805072024464607,0.031873073,7.063116878271103
76,5,16,10,3,0.23665884932884568,256,0.0035158939536472887,0.04826005548238754,0.032326516,7.194440066814423
77,2,35,13,3,0.2736812750612715,32,0.003771916348080818,0.06434362381696701,0.04950455,10.45488715171814
78,7,11,11,3,0.18878832207704932,64,0.003103547107099716,0.04823260381817818,0.03185366,6.9558411836624146
79,4,47,12,3,0.09089896058933443,128,0.0027965186823847026,0.0480581670999527,0.031876035,7.064104825258255
80,8,13,17,1,0.2810309095304271,64,0.003239831488971476,0.0530431792140007,0.03680734,7.905279844999313
81,2,4,15,3,0.2453984009267215,256,0.003061904706567742,0.04812827333807945,0.032058712,7.119368016719818
82,3,6,15,3,0.2999822200463818,256,0.003148210281461346,0.048023585230112076,0.031811107,7.045129686594009
83,3,5,16,3,0.29099452212916194,256,0.002864793616089128,0.04851922392845154,0.03286383,7.338615506887436
84,1,3,14,3,0.27181666314277064,256,0.0036231414707620247,0.048722147941589355,0.032307267,7.009591162204742
85,6,9,13,3,0.2924590263903455,256,0.0026722955399551968,0.04805819317698479,0.03187478,7.06283375620842
86,4,8,18,2,0.12588209070883638,256,0.0029718179586322602,0.04801666736602783,0.0318494,7.056426256895065
87,3,49,16,3,0.10691298298458586,128,0.0034363422563344855,0.07369350641965866,0.05441794,11.738060414791107
88,5,21,14,3,0.06532032103313043,64,0.004538997876089952,0.07148228585720062,0.0524097,11.20573878288269
89,2,7,15,3,0.25592206777247345,256,0.002365346500454935,0.04801209270954132,0.031812012,7.045859843492508
90,10,13,12,3,0.25678601920988875,256,0.0019267173492910263,0.04839833080768585,0.03261389,7.274580001831055
91,2,5,15,3,0.2814401374916939,256,0.002492620021265254,0.04810026288032532,0.032024898,7.111061364412308
92,1,3,16,3,0.2647357132297758,256,0.0012724746494924548,0.0483037531375885,0.03242383,7.2177454829216
93,3,7,14,3,0.2789018257667397,256,0.002370457725145147,0.04828202351927757,0.03227931,7.172045111656189
94,4,10,13,3,0.29529348340403155,256,0.0017338861371360315,0.04850544035434723,0.032809637,7.325059175491333
95,2,5,9,3,0.15899081027805612,64,0.0033543759037116903,0.04845014587044716,0.032159757,6.997883319854736
96,5,8,10,3,0.07415480380940917,256,0.002898950952092761,0.048025019466876984,0.03176386,7.025019824504852
97,4,10,15,3,0.24513016427346163,32,0.0031972287457188698,0.04962923750281334,0.03457046,7.774680852890015
98,15,17,11,1,0.27077143423057687,128,0.003027096064342081,0.04869174212217331,0.032404814,7.048428803682327
99,6,12,17,3,0.23116975392105285,256,0.0013806366236298474,0.048759739845991135,0.033191577,7.423514872789383
