,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
0,22,4,6,8,False,4,2,0.21726768850841574,0.002346917133701472,128,0.04976174235343933,0.03353157,7.344154268503189
1,13,3,6,3,True,2,2,0.030404610323796377,0.0037869046593816402,64,0.07062512636184692,0.04957337,10.595525056123734
2,25,11,7,6,True,5,4,0.02049384569825242,0.003132510349810659,32,0.08849141746759415,0.06462055,13.979849219322205
3,15,7,2,5,False,2,5,0.13468123347195285,0.003728621538607634,256,0.048645228147506714,0.033014342,7.325452566146851
4,20,3,18,3,True,5,5,0.0010840267064608166,0.0018220303838126454,128,0.05396988242864609,0.037764464,8.134622871875763
5,13,4,12,7,False,1,3,0.2808009226894637,0.0023094007260801353,64,0.051892731338739395,0.035857312,7.783060520887375
6,22,7,16,6,False,5,4,0.10126183513779123,0.0015218497178090488,64,0.06526735424995422,0.050763525,10.770358145236969
7,8,4,5,2,True,5,4,0.1085553326220547,0.0025682611664425378,32,0.05324214696884155,0.03758508,8.26595202088356
8,27,2,15,4,False,5,4,0.12491568358197029,0.0023190151964725524,64,0.05284988880157471,0.03615317,7.8825801610946655
9,12,4,8,6,True,3,4,0.23184166545273904,0.0037257720716989584,32,0.05046885088086128,0.034247905,7.500725984573364
10,2,1,1,5,False,1,1,0.18477316880984063,0.0049918847367621585,256,0.05236930400133133,0.03718422,7.964315265417099
11,30,24,27,8,False,3,2,0.1882893537804971,0.001044888185606639,256,0.05492866039276123,0.04013624,8.580388128757477
12,18,9,2,8,False,4,2,0.24492021149002208,0.004212790810424756,128,0.04912208393216133,0.033534974,7.288152724504471
13,17,11,1,5,False,2,1,0.2774850794372736,0.004649591002138575,256,0.04861109331250191,0.03272425,7.205913215875626
14,7,6,1,5,False,2,1,0.2999967387911918,0.0049153494301616045,256,0.048580046743154526,0.032537337,7.198791950941086
15,7,5,1,4,False,2,1,0.2789560251465082,0.004924702616621701,256,0.05096018314361572,0.03529177,7.75192603468895
16,3,1,1,4,False,2,1,0.2889354390784836,0.00441524729511685,256,0.049674034118652344,0.03458156,7.506689429283142
