,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
0,17,14,4,4,False,1,1,0.26020244779089885,0.0018868134667914182,256,0.06021733209490776,0.04524362,10.048282146453857
1,26,6,25,8,False,3,3,0.22505537459625935,0.0029948865412187586,64,0.06156320497393608,0.047482084,9.990426898002625
2,8,4,4,3,False,2,2,0.27983006069688277,0.0025181295366391455,128,0.05049287527799606,0.035119805,7.648828625679016
3,18,10,3,7,True,1,4,0.29817222008241845,0.001148739742159329,128,0.05231578275561333,0.036857218,8.120636641979218
4,3,2,2,7,True,1,2,0.13856781110203414,0.0018866141698108633,128,0.04865904524922371,0.032523505,7.097116112709045
5,21,10,3,3,False,2,5,0.0655400943981992,0.003177584450633399,64,0.04907049983739853,0.033462964,7.390514761209488
6,5,2,1,8,False,2,4,0.26627431508376087,0.002554696111380121,256,0.048302702605724335,0.03267409,7.260524481534958
7,4,3,2,5,True,5,3,0.2582759116617283,0.0022782185135971802,128,0.04826942831277847,0.032479245,7.2052717208862305
8,27,25,22,4,True,4,3,0.092597824603952,0.002747962433054769,256,0.04869174212217331,0.032510243,7.05612376332283
9,18,12,7,6,True,5,1,0.04208440522849988,0.0011977743633011695,256,0.11130718141794205,0.09327154,20.415087044239044
10,11,5,7,5,True,5,5,0.18899738543938258,0.004256040540306155,32,0.04986155033111572,0.03465628,7.742232084274292
11,2,1,1,5,False,3,4,0.21768701141817087,0.003774635674694048,32,0.048618219792842865,0.032240853,7.006395608186722
12,9,3,1,8,False,4,4,0.14831373525016942,0.004982863556993575,128,0.049384430050849915,0.033123247,7.211524993181229
13,7,2,2,2,True,2,3,0.240814520079653,0.0021290405847090316,256,0.04833104461431503,0.032435633,7.20655620098114
14,12,1,5,6,False,4,4,0.18821292739108642,0.003658527724284556,256,0.04967162013053894,0.03343282,7.216672599315643
15,5,2,1,6,True,3,2,0.29958289665441923,0.0022272737936354344,128,0.04851419851183891,0.03304197,7.370427250862122
16,13,4,9,7,False,5,5,0.002220815988078939,0.0015718593015471044,64,0.06420420110225677,0.047073815,9.949065744876862
17,31,26,13,4,True,2,4,0.1882173076114323,0.0033183486480060946,32,0.06899049133062363,0.054705814,11.439131945371628
18,6,3,2,5,True,4,3,0.25466878409755134,0.002501615199322031,256,0.04830896854400635,0.032589573,7.220357656478882
19,14,7,9,8,False,3,3,0.11236389758577534,0.0015733673681723047,128,0.052293919026851654,0.035846524,7.7741459012031555
20,2,1,1,6,False,2,2,0.21412972032328925,0.0027247750298801826,256,0.04894991219043732,0.033608958,7.5051449239254
21,6,3,2,5,True,4,3,0.2524309222053537,0.00232627290413828,256,0.048298392444849014,0.032512095,7.199622690677643
22,5,3,2,4,True,5,3,0.2678200496783744,0.002159130535469575,256,0.06580005586147308,0.05219923,11.555321514606476
23,10,4,3,5,True,4,4,0.242706508291858,0.002370831355294606,256,0.04840388894081116,0.032621227,7.199544459581375
24,4,2,2,5,True,5,3,0.275811839033085,0.0028459677191863047,256,0.04840308427810669,0.03258974,7.239995151758194
25,8,3,3,3,True,4,2,0.1707661484363314,0.0018809070389443853,128,0.0486287921667099,0.032918915,7.333903759717941
