,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
0,22,17,6,6,True,4,1,0.12382956207038354,0.0026133771713886915,128,0.03114965185523033,0.022285173,3.873731940984726
1,11,6,7,4,True,3,5,0.14251281433359753,0.002809817305924072,32,0.027606870979070663,0.01844127,3.216121718287468
2,15,7,8,6,True,1,2,0.03202999377660114,0.0013636792569752996,128,0.029817458242177963,0.020635951,3.604516386985779
3,10,9,5,5,True,4,1,0.010549364258818405,0.004442450838365086,32,0.035348404198884964,0.02380819,4.172262921929359
4,8,7,5,6,False,5,2,0.1215719162469233,0.004808120442890702,128,0.029677797108888626,0.02210479,3.9001621305942535
5,7,5,4,4,True,2,2,0.2054777872155267,0.0026166047979515926,64,0.026865607127547264,0.018318806,3.2090026885271072
6,16,6,3,2,True,3,3,0.23767116087284085,0.004167795036658441,64,0.02693885751068592,0.01804374,3.1640589237213135
7,7,1,1,8,False,5,5,0.17240784413567808,0.004363666451107067,128,0.027693191543221474,0.019446306,3.4035857766866684
8,27,2,25,2,True,5,2,0.07406736867840809,0.003318924918810223,64,0.03946170583367348,0.02717035,4.729887098073959
9,7,6,3,7,False,2,5,0.2431898849027606,0.0033706845192069735,32,0.03440098837018013,0.027062817,4.809108376502991
10,30,26,15,4,False,1,3,0.2963722167366889,0.0015699690637755632,256,0.04219038784503937,0.033401784,5.878821387887001
11,3,1,1,2,True,2,3,0.21265741500912022,0.0022363092040630934,64,0.026855431497097015,0.018368201,3.1921610236167908
12,3,1,1,3,True,2,4,0.20200979912573022,0.0023064137868560757,64,0.026612896472215652,0.018302279,3.2146211713552475
13,2,1,1,3,True,2,4,0.2016876029408603,0.0019817066237158088,64,0.027764858677983284,0.019643094,3.3933930099010468
14,2,1,1,3,True,2,4,0.2943799539486275,0.001979667889289431,64,0.02794577181339264,0.019863104,3.428991138935089
15,21,14,12,2,True,1,4,0.24289586729651327,0.0021546005114692316,256,0.03005683608353138,0.021522647,3.7704501301050186
16,4,1,1,3,True,3,4,0.17463256870058821,0.0035848454626095315,64,0.028462432324886322,0.020367665,3.5100139677524567
17,13,4,3,3,True,2,3,0.0780632888171197,0.0010775408019450658,64,0.02881167270243168,0.02119494,3.740271180868149
18,20,12,10,2,False,4,4,0.20233544674723475,0.002323797691642761,64,0.029242588207125664,0.021023585,3.706498444080353
19,4,2,2,5,True,1,3,0.2593715653963525,0.0015926230019645622,256,0.04675944149494171,0.03572648,6.232886388897896
20,12,3,2,4,True,3,3,0.17199133172237735,0.003830976383659913,64,0.02669273503124714,0.017945131,3.152160719037056
21,5,2,2,4,True,3,3,0.1711899612978396,0.0037583561757486904,64,0.027301743626594543,0.018264826,3.1690437346696854
22,11,3,2,3,True,3,3,0.22059395551055627,0.0030166643086764018,64,0.026956770569086075,0.01838187,3.21386456489563
23,18,4,4,5,True,2,4,0.14707821500616086,0.0039032218178082397,64,0.02699296362698078,0.018126056,3.1792812049388885
24,9,3,2,2,True,3,2,0.27346520216322356,0.0030735787543067178,64,0.026378288865089417,0.017589672,3.079858236014843
25,14,3,4,3,True,4,2,0.28226190275698815,0.0029448916661283533,64,0.026651130989193916,0.01797285,3.1523413956165314
26,9,3,3,3,False,4,1,0.27140954040805315,0.002979049780014232,64,0.026449674740433693,0.017696343,3.103744052350521
27,9,2,3,2,False,4,1,0.2631180050913351,0.0030817009714732705,256,0.028444262221455574,0.019098273,3.3450212329626083
28,6,2,2,3,False,4,1,0.2691256544005071,0.0025499432374126276,32,0.028262754902243614,0.019269781,3.3846192061901093
29,25,10,16,2,False,3,1,0.2286476547012094,0.0025351996058229145,128,0.02777622640132904,0.01921253,3.357923775911331
30,9,4,3,5,False,4,1,0.2743186556293957,0.0032093875162969273,64,0.02709413506090641,0.018793112,3.272710368037224
31,14,3,4,3,True,4,2,0.2856525479287803,0.002856849441818075,64,0.02663203328847885,0.017928053,3.14282663166523
32,18,5,6,4,False,5,2,0.29975076554755026,0.0026970080000289593,64,0.027501432225108147,0.018586555,3.2520104199647903
33,13,3,5,3,True,3,2,0.2554328317404006,0.0028447112640581215,64,0.026771824806928635,0.018046571,3.162413090467453
34,11,4,4,4,True,4,1,0.2809296318015775,0.0034549432679725806,32,0.028306126594543457,0.019502712,3.390733152627945
35,9,3,2,2,True,4,2,0.2522694352156435,0.00184865436962076,64,0.02681741490960121,0.018097918,3.1768161803483963
36,15,5,7,3,False,5,2,0.0987376911793574,0.0024822054212803707,128,0.030803119763731956,0.021875298,3.8408610969781876
37,5,3,1,3,True,3,1,0.2274924258294731,0.0028050112441259717,64,0.026511499658226967,0.017597407,3.071904554963112
38,5,3,1,5,True,3,1,0.22967429997251584,0.0030966109746698623,64,0.02672242373228073,0.018032681,3.168324753642082
39,7,2,2,6,False,3,1,0.18996067270635006,0.0023844029766388383,32,0.028162550181150436,0.0191485,3.33084873855114
40,6,2,1,2,True,2,5,0.12701336131943164,0.004989716620377454,128,0.0334547758102417,0.023733953,4.137600213289261
41,10,4,3,3,True,4,2,0.2813649457787004,0.0027911105967646003,64,0.02669551782310009,0.018323576,3.224950283765793
42,8,3,4,4,True,4,1,0.23795840466516935,0.002794277374224222,64,0.027523458003997803,0.019561976,3.4328248351812363
43,4,1,1,3,True,3,2,0.0006691972546703784,0.0035929089422739183,64,0.027806373313069344,0.019071627,3.3233512192964554
44,17,9,5,8,True,5,1,0.24811290138315176,0.003234323018210623,64,0.031409211456775665,0.021646915,3.8272101432085037
45,3,1,1,2,True,3,2,0.21983706160502953,0.002690870973655578,64,0.02646203152835369,0.017511314,3.056839480996132
46,2,1,1,2,True,2,1,0.19074002590358619,0.0026052108621916915,64,0.027540108188986778,0.019406352,3.3842314034700394
47,3,1,1,2,False,3,5,0.2190838288576338,0.002016122308916967,256,0.032183751463890076,0.024087049,4.259425401687622
48,6,2,1,2,True,3,2,0.18950005074995038,0.0021918305796548997,64,0.026424286887049675,0.017474039,3.049331158399582
49,6,2,2,2,True,3,2,0.16160531541747566,0.0017592356679874833,64,0.02694229781627655,0.018042639,3.15873846411705
50,8,2,2,2,True,3,2,0.18948219679426487,0.002164556884272597,32,0.027280714362859726,0.01820329,3.167228028178215
51,3,1,1,2,True,2,1,0.2085103253459078,0.002402865827711869,64,0.028170175850391388,0.02004062,3.484797477722168
52,5,3,1,2,True,3,2,0.23403619381177027,0.002698614491459002,64,0.026454439386725426,0.01762482,3.085453622043133
53,6,3,1,2,True,3,2,0.22947457274805547,0.0026686448923282794,64,0.026685161516070366,0.01811544,3.18552628159523
54,5,3,1,7,True,3,2,0.26769942231457944,0.003212198995989811,64,0.026809219270944595,0.01812705,3.1842179596424103
55,8,4,2,2,True,3,3,0.21625467257621633,0.0034457064550759385,64,0.026814060285687447,0.018601988,3.253103792667389
56,4,2,1,2,True,3,2,0.04516590272747835,0.0029401798201287633,64,0.02648337185382843,0.017704142,3.094133734703064
57,4,2,1,2,False,3,2,0.04685707534594032,0.002992182130680778,128,0.02644645981490612,0.017600032,3.079136088490486
58,2,1,1,2,False,3,2,0.025239368254127387,0.0030945598596766985,128,0.02634410373866558,0.017387742,3.0415473505854607
59,2,1,1,2,False,3,3,0.02410670462270997,0.004033714258834713,128,0.027086526155471802,0.018745704,3.2656867057085037
60,10,6,2,2,False,2,2,0.05134826619465399,0.0036558481673038545,128,0.027216406539082527,0.01868498,3.2746221870183945
61,3,1,1,2,False,3,2,0.0203280212072992,0.003021150010015265,128,0.026361100375652313,0.017442737,3.0564244836568832
62,7,2,1,2,False,3,2,0.023468085457565124,0.0033408298204537267,128,0.02631826512515545,0.017491829,3.062652423977852
63,7,2,1,2,False,3,3,0.019205338591341024,0.0033799926073998245,128,0.026939302682876587,0.01838359,3.208889439702034
64,7,2,2,3,False,3,2,0.04213177844177181,0.004313933824501241,128,0.032127637416124344,0.023628207,4.102952405810356
65,31,24,30,2,False,3,2,0.057164967554138094,0.0032851125951692517,128,0.027005422860383987,0.018435178,3.203423321247101
66,4,2,1,3,False,3,2,0.03258155845781739,0.0031276077194948757,128,0.027304261922836304,0.018370138,3.213738650083542
67,12,1,3,2,False,3,3,0.0013894916480088025,0.003040473554839574,128,0.02733892761170864,0.018995611,3.304145112633705
68,9,1,2,3,False,2,3,0.0746813801033154,0.0035196698542697053,128,0.02932457998394966,0.02034349,3.5308167338371277
69,2,1,1,2,False,4,2,0.0638612561092964,0.003754839054921115,128,0.026524413377046585,0.01764082,3.0806947499513626
70,4,2,1,2,False,3,2,0.09072027415273876,0.0014519484980498225,128,0.0266959797590971,0.018371666,3.226235508918762
71,5,3,1,2,False,3,2,0.023397918030434315,0.002963663417083493,128,0.02670002169907093,0.017955028,3.148258477449417
72,6,3,1,2,False,3,2,0.015345733623892032,0.0033292119707818936,128,0.026664938777685165,0.01790993,3.1399205327033997
73,3,1,1,2,False,3,2,0.032569954834733045,0.0031507252932943554,256,0.02661636844277382,0.018006478,3.1662922352552414
74,24,7,6,2,False,3,2,0.03427830653662596,0.002905433929906891,128,0.02666606195271015,0.017816352,3.1052937731146812
75,8,2,2,3,False,4,2,0.01096164118440679,0.0030249303252587773,128,0.03284361958503723,0.024019893,4.174211248755455
76,7,3,1,3,False,3,2,0.04138332313371586,0.002742618896297183,128,0.029644351452589035,0.02217975,3.925711289048195
77,4,2,1,6,False,2,2,0.0638021125165328,0.002223668802641681,128,0.026628732681274414,0.01776799,3.117378056049347
78,6,3,3,2,False,3,3,0.29006416942404867,0.0033853496850852908,32,0.027107466012239456,0.01861447,3.2791685312986374
79,11,5,2,2,False,3,1,0.2725440875275558,0.002505462995261997,256,0.039696913212537766,0.02972422,5.146210640668869
80,10,4,2,3,False,4,2,0.11344518163926343,0.0010264857047088622,128,0.04321670904755592,0.03476754,6.000485643744469
81,3,1,1,2,True,3,2,0.2423492497478098,0.0026478257564683545,64,0.026480933651328087,0.01756728,3.0626004561781883
82,5,1,1,2,False,3,2,0.15595445460843171,0.002868492368221822,64,0.02672499790787697,0.017919656,3.119621053338051
83,2,1,1,2,True,3,2,0.1348083172930214,0.0031352026958529878,64,0.026507053524255753,0.017582096,3.0702946707606316
84,3,1,1,2,False,3,2,0.26055607974059697,0.0029820208768667356,64,0.02648366056382656,0.017704325,3.0906932428479195
85,5,3,1,2,True,3,2,0.0252711570537125,0.003245080043929786,64,0.026466013863682747,0.01768573,3.092370741069317
86,3,1,1,2,True,3,1,0.18133562982365065,0.002449464771136604,128,0.03042229451239109,0.022577286,3.8902360945940018
87,4,2,1,3,False,3,1,0.1983216666681597,0.0027226707538788924,64,0.026951057836413383,0.01792757,3.130115196108818
88,8,2,2,2,True,4,2,0.25494598347894504,0.0022999387666127603,32,0.02727259136736393,0.018458238,3.2020051032304764
89,2,1,1,2,False,3,3,0.23514436418838688,0.0025925595425060777,64,0.028372667729854584,0.020304382,3.4992214292287827
90,7,3,1,3,True,3,2,0.01162513061809373,0.0012242675235261697,128,0.03139689937233925,0.024288531,4.310838878154755
91,5,3,1,2,True,3,2,0.026519628639109106,0.003067485803920436,64,0.026463976129889488,0.017701393,3.097454085946083
92,6,3,1,2,True,3,2,0.007794757261238291,0.0030541753269073997,64,0.026754600927233696,0.01822209,3.2070837914943695
93,5,3,1,2,True,3,2,0.03827190336845668,0.002896462986098217,64,0.026463059708476067,0.017779563,3.1154515221714973
94,6,3,1,2,True,3,2,0.04925934052224161,0.0027824736926119545,64,0.026912229135632515,0.018552179,3.268260136246681
95,3,1,1,2,True,3,2,0.03883611284285806,0.0020447760107017796,64,0.02652774006128311,0.017657915,3.078216500580311
96,4,2,1,2,True,3,2,0.24964867759530324,0.0029136991191727134,64,0.026365630328655243,0.017486235,3.0638061463832855
97,2,1,1,2,True,3,2,0.27683758041322437,0.0032061660991537927,256,0.02640530839562416,0.017541643,3.075304441154003
98,2,1,1,3,False,3,2,0.26752303731739696,0.0031827929482092948,256,0.06751328706741333,0.05499677,9.677159041166306
99,4,2,1,4,True,2,1,0.2770302786054277,0.0035217351780381795,256,0.028567416593432426,0.0195373,3.4259382635354996
