,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE,type
0,29,29,12,3,4,0.0429529551699255,10,128,False,0.0013599895770320149,0.026676807552576065,0.017688625,3.10408528894186,30
1,19,5,29,1,2,0.19446118796373515,8,32,False,0.0034023077054092,0.028897002339363098,0.019653963,3.4099645912647247,30
2,17,13,31,1,8,0.15027521762836815,9,128,False,0.003810789970744935,0.026544442400336266,0.017869193,3.106270916759968,30
3,21,9,13,3,4,0.28473254963579786,6,256,True,0.003914509937921783,0.02695227786898613,0.017904429,3.112504258751869,30
4,8,26,16,1,7,0.2943005909775068,10,128,False,0.003713803984902501,0.02890256978571415,0.0195434,3.4292835742235184,30
5,26,1,24,2,4,0.13479634137853932,9,64,False,0.003727540440209442,0.026309672743082047,0.017423695,3.0546173453330994,30
6,2,19,22,1,3,0.13648085891892728,8,32,False,0.0017524557415124749,0.03675167262554169,0.024647288,4.256640374660492,30
7,2,18,9,2,6,0.1712157086940973,10,256,False,0.0032400444257771354,0.027071965858340263,0.018914863,3.327985107898712,30
8,3,12,9,2,8,0.1802758470157846,6,64,False,0.003119696843516941,0.029661495238542557,0.020686198,3.5897932946681976,30
9,22,4,10,1,7,0.1346821914539069,10,128,False,0.0011237296496630577,0.027017144486308098,0.018288326,3.2247640192508698,30
10,31,1,24,2,5,0.0017519855022397612,7,64,True,0.004810232316388639,0.028288915753364563,0.020099722,3.566545248031616,30
11,16,12,32,2,5,0.10242393017550039,9,64,True,0.004385042485848999,0.02797304280102253,0.018677127,3.2696139067411423,30
12,26,22,26,1,8,0.2348588721435238,9,128,False,0.0023483102064669166,0.026645788922905922,0.017822744,3.1329069286584854,30
13,13,9,18,2,3,0.08134207675480976,9,64,False,0.0027141808853626934,0.027349572628736496,0.01937932,3.3477704972028732,30
14,25,15,32,3,6,0.2239811227707698,9,64,True,0.004224032377772762,0.028659047558903694,0.020604813,3.5630501806735992,30
15,11,1,28,1,4,0.08926813035924319,8,128,False,0.004810234674365791,0.02721579372882843,0.018710589,3.2353203743696213,30
16,17,7,21,2,6,0.1289680458172461,7,32,False,0.0025507767711535406,0.03290648013353348,0.020056225,3.5336967557668686,30
17,25,22,28,1,2,0.05623887046531077,9,256,False,0.0037314869453903155,0.02615342289209366,0.01770997,3.082873299717903,30
18,26,23,23,2,2,0.03529286604734466,7,256,True,0.00434933968992154,0.02861163765192032,0.020980382,3.7242937833070755,30
19,23,30,26,3,3,0.04895708078470051,9,256,False,0.002081348546012444,0.026212971657514572,0.017439406,3.0593518167734146,30
20,23,31,27,3,3,0.05334626734534735,8,256,False,0.001964920541340648,0.026349639520049095,0.018043375,3.1770721077919006,30
21,28,26,25,3,2,0.0008758308928576986,9,256,False,0.003504433984051014,0.0262367594987154,0.017428849,3.05767972022295,30
22,30,26,26,3,2,0.0018016005462640145,9,256,False,0.0028457529562495834,0.02877594158053398,0.02088533,3.5990726202726364,30
23,29,27,29,3,2,0.030439521380049295,8,256,False,0.0021724713255387596,0.0263628289103508,0.017648762,3.097923658788204,30
24,24,23,18,3,3,0.06490344845039159,10,256,False,0.0034262452072686255,0.0271562822163105,0.018638505,3.234010562300682,30
25,20,30,25,3,2,0.014042405333094967,9,256,False,0.0016312831322751508,0.028106017038226128,0.020511353,3.624076396226883,30
26,28,21,30,3,3,0.06412054019977514,9,256,True,0.0041194974155555585,0.026392946019768715,0.01749493,3.0615922063589096,30
27,27,28,20,3,2,0.02144229712183046,10,256,False,0.0029335270932918456,0.026316501200199127,0.017758278,3.1075485050678253,30
28,23,25,27,3,3,0.09768093976377766,8,256,False,0.002519874108661514,0.02643630839884281,0.018151982,3.198983520269394,30
29,31,29,23,3,4,0.047702696154282964,10,256,False,0.0035408906445643052,0.026316754519939423,0.017479634,3.058083914220333,30
30,28,20,28,1,2,0.07641069243532143,9,256,False,0.0014622866867392843,0.026245124638080597,0.017656103,3.0917661264538765,30
31,28,20,28,1,2,0.07022908388210526,9,256,False,0.0013045509398216918,0.026277394965291023,0.017632151,3.0838795006275177,30
32,19,24,30,1,2,0.11396932732719389,9,256,False,0.001608596313871573,0.026264693588018417,0.01751656,3.0606234446167946,30
33,29,17,26,1,3,0.04816408375653065,8,32,False,0.001914743786019806,0.04739828780293465,0.03450591,5.988612771034241,30
34,24,15,29,1,2,0.024215113534677434,9,256,False,0.0013883614501013553,0.026462864130735397,0.018097958,3.185027465224266,30
35,21,28,25,1,3,0.039846193818035586,10,256,False,0.0032396473627917567,0.027126135304570198,0.018235628,3.1767722219228745,30
