,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE
0,15,27,28,3,2,0.26864278854271584,7,64,True,0.001377901814369391,0.052388325333595276,0.036508318,8.005482703447342
1,28,29,14,3,8,0.02885242217564231,7,64,False,0.0036578139294570697,0.06235075742006302,0.04343106,9.419726580381393
2,19,27,25,3,3,0.27701816107485905,10,256,True,0.001686182689562486,0.04872164502739906,0.032717258,7.230310887098312
3,17,17,19,3,8,0.2060452085158049,8,128,False,0.002653481825858593,0.0486452542245388,0.03263389,7.244449108839035
4,21,26,25,1,3,0.030921827616642084,6,32,True,0.003881299341325636,0.09090554714202881,0.07498626,15.529149770736694
5,18,30,29,1,4,0.042168861595100006,9,32,True,0.0048190525439996915,0.0566803403198719,0.04141448,8.904500305652618
6,4,10,12,1,6,0.1457323960388859,7,128,True,0.002478879216608381,0.048638515174388885,0.032475214,7.032148540019989
7,14,18,16,1,2,0.08256674112824071,6,128,True,0.0026829488680636723,0.04895413666963577,0.03268583,7.112830877304077
8,15,21,20,3,6,0.13171652296396488,9,128,False,0.0022659975342959036,0.05511215329170227,0.03805931,8.229632675647736
9,19,18,12,3,6,0.004298595857785325,9,32,False,0.004293369145151127,0.08206638693809509,0.05980904,12.887422740459442
10,3,6,8,2,5,0.1754019422371738,7,256,True,0.0033140754266133016,0.04816454276442528,0.031823274,6.985875964164734
11,1,7,9,2,6,0.17962363876158435,7,256,True,0.0032128074689255666,0.04817578196525574,0.031754185,6.96299746632576
12,2,2,8,2,5,0.2044792641897418,8,256,True,0.003301068617726328,0.04810245707631111,0.032043524,7.1123383939266205
13,8,1,8,2,5,0.2145915963781579,8,256,True,0.0033383534058691908,0.04812077432870865,0.03213201,7.139772176742554
14,8,1,8,2,5,0.23129861486407138,8,256,True,0.004167116499402508,0.04837298020720482,0.03264553,7.280658185482025
15,10,1,16,2,4,0.23704905636649878,8,256,True,0.003436244523016555,0.048309631645679474,0.031922426,6.975962221622467
16,7,10,11,2,7,0.10907886813164418,10,256,True,0.001812668896612261,0.048622045665979385,0.03242988,7.20689594745636
17,11,5,16,2,4,0.2037353399869928,9,256,True,0.004992757019792606,0.04808709770441055,0.03225356,7.122226059436798
18,12,5,23,2,4,0.17880630507469994,9,256,False,0.004817188936620411,0.048282165080308914,0.03183892,6.977785378694534
19,26,12,32,2,3,0.29730396973096224,10,64,True,0.00441554794578187,0.049891065806150436,0.033958547,7.303871214389801
20,5,14,19,2,4,0.2550517004219528,9,256,True,0.004895007371037858,0.048487450927495956,0.03261868,7.2673603892326355
21,10,3,10,2,5,0.2085718604174157,8,256,True,0.002867510825813143,0.048420220613479614,0.032622535,7.27006196975708
22,1,4,14,2,5,0.21131540359900144,8,256,True,0.003745960405429224,0.049113497138023376,0.03385729,7.587975263595581
23,7,8,15,2,7,0.1735907351905007,9,256,True,0.002130862138149004,0.04824223741889,0.031950563,7.0102691650390625
24,11,1,12,2,4,0.23361660645487345,8,256,True,0.003038499050529544,0.04800914227962494,0.031702153,6.974088400602341
25,23,3,13,2,3,0.24424581902712958,9,256,True,0.0030125531745483778,0.049258507788181305,0.032990653,7.110624760389328
26,12,9,17,2,4,0.19455401678182385,8,256,False,0.004541571748595333,0.048410966992378235,0.032459464,7.197539508342743
27,12,5,10,2,4,0.1461011851447444,10,64,True,0.0010283638108472977,0.04921320825815201,0.033619672,7.314133644104004
28,5,13,21,2,3,0.11216773483522163,9,32,True,0.00407126161126266,0.05475582927465439,0.038757004,8.41035395860672
29,14,22,17,1,2,0.2711295038538004,7,64,True,0.0030701764868609955,0.048697058111429214,0.032617964,7.199506461620331
30,10,3,11,2,7,0.22639902166398765,8,256,True,0.0035272081907642035,0.048956479877233505,0.033510976,7.476004213094711
31,8,1,8,2,5,0.22227895732257127,8,256,True,0.0038979162821362713,0.0483037605881691,0.03251464,7.245397567749023
32,6,1,13,2,5,0.25718674806524494,8,256,True,0.002812353657515994,0.050707995891571045,0.034979895,7.449918985366821
33,3,7,10,2,4,0.2913086001582009,8,256,True,0.003290179509038084,0.048425253480672836,0.032082852,7.0420049130916595
34,9,3,14,3,6,0.19162612843918933,7,256,False,0.0024412450401312307,0.04869391769170761,0.032358166,7.013699412345886
35,16,6,9,2,5,0.16084444819457366,8,64,True,0.0036792288003810454,0.048133861273527145,0.031747542,6.990458071231842
36,12,4,12,2,4,0.19877935471640146,8,256,True,0.0018871157571919454,0.047998085618019104,0.031688258,6.9641053676605225
37,21,11,18,3,3,0.19328101719724264,7,128,True,0.0018946015063804466,0.06161605194211006,0.043706883,9.207294136285782
38,12,4,12,1,4,0.24570444870649935,6,32,False,0.0010481884265573806,0.04900636151432991,0.032576077,7.088761031627655
39,16,8,13,2,3,0.15711394936032166,9,256,True,0.001500091265311425,0.04808380454778671,0.031737756,6.987122446298599
40,17,8,15,1,2,0.12873065967992783,10,128,True,0.0013810749927306463,0.04900088906288147,0.032588284,7.074812799692154
41,14,5,13,2,3,0.15869371682500102,9,256,True,0.0016601625356037863,0.0483376570045948,0.031966884,6.9701142609119415
42,20,3,11,2,4,0.2034872953713439,9,256,True,0.0014433960696078256,0.048273343592882156,0.032388963,7.177291810512543
43,17,6,15,2,3,0.16204252268817995,9,256,True,0.002195420706091226,0.05004480853676796,0.033611167,7.257220894098282
44,14,2,12,3,4,0.0754909107511217,8,256,True,0.001970140661420339,0.048459555953741074,0.03270087,7.282121479511261
45,23,9,14,2,3,0.19091664912510395,9,32,True,0.002413036537559735,0.060376424342393875,0.045056522,9.550715237855911
46,11,15,9,2,4,0.22068268480727057,8,256,True,0.00167621172074253,0.04865000769495964,0.033258095,7.442252337932587
47,16,7,13,2,2,0.14097516735994794,8,256,False,0.001199773059124519,0.04843830317258835,0.032188676,7.106418162584305
48,31,26,16,1,4,0.17076012783855438,7,128,True,0.0025877447215150572,0.048155538737773895,0.03204306,7.078671455383301
49,13,5,21,2,6,0.261611199771556,9,256,True,0.0014664410724333082,0.048196516931056976,0.03194054,7.024450600147247
50,18,31,26,3,3,0.23815822096459857,10,256,True,0.0020509346482059055,0.048487648367881775,0.032205,7.027279585599899
51,9,2,8,2,5,0.20623776329632088,8,256,True,0.003461924001129116,0.04816484451293945,0.031729087,6.936204433441162
52,2,2,11,2,5,0.21493484498576393,8,256,True,0.0031038355378973552,0.048521775752305984,0.032648038,7.249585539102554
53,15,4,9,2,6,0.18134440207058936,8,256,True,0.002820280058873584,0.04828966408967972,0.03210446,7.109189033508301
54,11,20,10,2,5,0.23240260047521072,8,256,True,0.003225532866149374,0.04819570854306221,0.032171182,7.141513377428055
55,7,1,12,2,5,0.20202889400842777,7,256,True,0.0026552061568734667,0.04852867126464844,0.03218344,7.007020711898804
56,4,4,10,2,4,0.24888932636030736,9,256,True,0.0038258535198772516,0.04810517281293869,0.031997852,7.070548087358475
57,3,4,11,2,4,0.28318447948071584,9,64,False,0.004658961414809203,0.04871763288974762,0.032964904,7.354317605495453
58,4,6,9,2,3,0.24636152927609162,9,32,True,0.004118266246326562,0.054313480854034424,0.039216343,8.28266367316246
59,5,8,12,2,4,0.26665522711926565,9,256,True,0.004997342893093109,0.04811261221766472,0.03175918,6.975739449262619
60,2,2,16,2,4,0.18513358579876524,10,256,True,0.003857203885348253,0.05230414867401123,0.038068887,8.596490323543549
61,5,8,12,2,4,0.2710681760356782,9,256,True,0.004904848825690371,0.04811279848217964,0.03175742,6.975651532411575
62,6,10,10,2,4,0.25246663549858095,9,256,True,0.004727019817270447,0.04819265380501747,0.0322258,7.132434844970703
63,1,5,13,2,4,0.2836437508498724,9,256,True,0.004408769815625413,0.04805038124322891,0.031716388,6.985172629356384
64,1,5,13,2,3,0.2800346799791827,9,256,True,0.004555564990222881,0.04811833053827286,0.031739872,6.9859035313129425
65,2,4,14,2,4,0.29014976143402016,9,256,True,0.0042729257121731186,0.048091523349285126,0.03180895,7.023712247610092
66,2,7,17,2,3,0.2992554151783924,8,256,True,0.004342059182733076,0.04815181717276573,0.032145087,7.128065824508667
67,1,2,14,1,8,0.29034632766424057,10,256,True,0.003998395438715901,0.04793774336576462,0.03175803,7.0190683007240295
68,1,3,14,1,8,0.28440762684206616,10,128,True,0.004260162599338067,0.049031443893909454,0.032661323,7.059086859226227
69,3,6,15,1,7,0.2867749415404819,10,256,False,0.004484492900628156,0.048308115452528,0.031922016,7.002395391464233
70,13,2,18,1,8,0.2752684529909392,10,64,True,0.004064365965333139,0.04933656007051468,0.03299177,7.195379585027695
71,2,4,14,1,5,0.29653655859659644,8,256,True,0.0043992126270748465,0.04877670481801033,0.033267096,7.421966642141342
72,1,1,14,1,4,0.26523554597603827,9,256,True,0.003606512547994223,0.048155397176742554,0.031902093,7.029715180397034
73,4,3,15,2,5,0.22229281885112878,8,256,True,0.004197602182022141,0.04876578226685524,0.03243697,7.042130827903748
74,9,5,16,3,7,0.0013600614150885704,9,256,True,0.003975808045883484,0.04822626709938049,0.031973105,7.000879943370819
75,3,2,15,2,2,0.23655892503832188,10,256,True,0.004722049748877753,0.048294778913259506,0.031894762,7.02756941318512
76,6,6,13,2,6,0.17018147391336816,8,256,True,0.0028735234797967494,0.04868721216917038,0.03227633,7.0115238428115845
77,19,3,30,2,4,0.19911245822152965,9,32,True,0.002300220065737593,0.05042177811264992,0.034911316,7.658182084560394
78,11,1,11,1,3,0.13566331976150495,8,256,True,0.00341174415354034,0.048790499567985535,0.033054147,7.375489920377731
